#frame	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	46.248434	46.248434	132.670039	66.841177	46.206792	46.206792	133.349929	66.720862	45.381790	45.381790	137.617906	64.359591
2	46.668600	46.668600	130.334589	68.061196	45.931537	45.931537	134.599269	65.928314	45.092977	45.092977	139.514494	63.543017
3	45.730143	45.730143	136.192544	65.351436	45.913550	45.913550	134.170517	65.876690	45.966378	45.966378	134.851243	66.028373
4	45.646928	45.646928	136.052321	65.113813	45.144673	45.144673	139.900264	63.688797	45.385176	45.385176	138.656027	64.369193
5	45.183052	45.183052	139.094423	63.797132	45.167581	45.167581	138.997943	63.753448	45.195282	45.195282	138.985325	63.831673
6	46.081532	46.081532	134.049425	66.359612	45.273544	45.273544	138.760584	64.052932	44.645893	44.645893	142.753558	62.289243
7	46.856764	46.856764	129.244268	68.611135	44.930660	44.930660	140.745699	63.086381	44.644383	44.644383	142.341272	62.285031
8	46.176462	46.176462	133.189441	66.633301	44.545733	44.545733	143.043961	62.010072	45.709342	45.709342	136.346242	65.291999
9	44.950337	44.950337	140.289921	63.141649	44.628483	44.628483	142.440966	62.240672	44.866907	44.866907	141.363190	62.907478
10	45.264872	45.264872	138.807939	64.028394	44.829591	44.829591	141.306406	62.802882	45.240823	45.240823	139.128442	63.960378
11	44.954235	44.954235	140.645644	63.152601	44.884803	44.884803	140.776339	62.957674	45.930209	45.930209	135.221456	65.924502
12	45.801908	45.801908	135.072457	65.556712	45.728616	45.728616	135.641540	65.347074	46.331423	46.331423	133.164552	67.081274
13	45.563786	45.563786	136.674765	64.876832	45.902342	45.902342	135.010878	65.844531	45.496280	45.496280	137.076455	64.684734
14	45.399382	45.399382	138.340667	64.409497	46.242729	46.242729	133.293501	66.824687	45.663689	45.663689	136.202160	65.161640
15	45.936343	45.936343	134.772623	65.942114	46.328232	46.328232	132.389951	67.072035	45.064167	45.064167	140.146657	63.461850
16	46.406337	46.406337	132.027745	67.298378	46.085955	46.085955	133.301547	66.372352	45.525625	45.525625	137.100307	64.768205
17	47.789868	47.789868	124.849845	71.370985	45.637616	45.637616	136.728420	65.087251	45.238472	45.238472	138.719358	63.953730
18	46.110033	46.110033	133.529158	66.441723	45.777050	45.777050	135.720805	65.485571	46.317191	46.317191	132.686525	67.040069
19	46.559562	46.559562	130.998472	67.743525	45.752543	45.752543	135.625597	65.415474	45.452228	45.452228	138.160765	64.559533
20	46.761451	46.761451	129.530878	68.332291	45.651445	45.651445	135.156447	65.126701	45.109436	45.109436	139.562112	63.589413
21	46.095743	46.095743	133.826181	66.400549	45.676087	45.676087	136.052687	65.197028	44.943124	44.943124	141.364981	63.121387
22	45.929088	45.929088	134.966460	65.921286	46.205402	46.205402	133.655630	66.716849	45.651472	45.651472	135.944804	65.126778
23	46.269183	46.269183	133.098161	66.901166	46.054199	46.054199	133.517047	66.280913	46.535674	46.535674	131.542835	67.674031
24	45.841344	45.841344	135.071701	65.669652	46.404754	46.404754	131.706811	67.293786	46.876470	46.876470	129.737262	68.668856
25	45.019004	45.019004	139.701251	63.334711	45.534667	45.534667	136.676780	64.793934	46.027895	46.027895	134.285475	66.205224
26	45.596422	45.596422	136.392225	64.969804	45.682647	45.682647	136.520066	65.215758	45.734661	45.734661	135.962955	65.364351
27	45.778886	45.778886	135.395620	65.490825	46.757946	46.757946	130.317729	68.322048	45.055108	45.055108	139.830446	63.436337
28	46.103850	46.103850	133.945184	66.423907	46.491662	46.491662	130.672452	67.546083	45.032956	45.032956	140.055717	63.373973
29	45.452708	45.452708	137.205256	64.560895	45.345360	45.345360	138.252098	64.256302	45.497275	45.497275	137.215681	64.687563
30	45.516018	45.516018	136.799308	64.740873	45.369141	45.369141	138.266903	64.323717	45.843977	45.843977	135.937014	65.677193
31	45.700869	45.700869	135.885353	65.267795	45.791437	45.791437	135.778824	65.526740	45.583841	45.583841	136.581845	64.933956
32	46.229406	46.229406	133.278705	66.786188	45.926385	45.926385	134.192488	65.913526	46.138447	46.138447	133.806887	66.523635
33	46.433437	46.433437	131.849734	67.377003	45.896082	45.896082	134.628420	65.826574	46.588536	46.588536	130.802883	67.827864
34	46.522388	46.522388	131.221571	67.635392	45.603473	45.603473	136.367947	64.989899	46.082082	46.082082	134.141611	66.361196
35	46.976918	46.976918	128.643079	68.963463	45.756677	45.756677	135.509566	65.427296	46.343196	46.343196	132.561915	67.115371
36	47.024797	47.024797	128.767831	69.104111	46.018647	46.018647	134.731925	66.178622	45.493012	45.493012	136.950288	64.675442
37	47.009125	47.009125	127.696419	69.058056	46.952576	46.952576	128.416795	68.892014	45.019457	45.019457	140.420593	63.335984
38	47.089284	47.089284	128.329122	69.293771	45.665808	45.665808	135.867310	65.167689	45.450480	45.450480	137.409858	64.554567
39	46.070329	46.070329	134.122021	66.327351	45.378734	45.378734	137.410237	64.350921	45.406627	45.406627	137.905161	64.430057
40	45.074089	45.074089	139.645991	63.489797	46.039442	46.039442	133.786420	66.238445	46.082793	46.082793	133.742296	66.363244
41	46.163092	46.163092	133.141780	66.594720	45.605928	45.605928	136.810171	64.996896	45.417810	45.417810	138.602994	64.461795
42	45.763145	45.763145	135.799078	65.445796	45.843992	45.843992	134.522976	65.677237	45.883693	45.883693	135.611180	65.791039
43	45.376254	45.376254	137.879853	64.343890	46.089529	46.089529	133.856030	66.382646	45.500698	45.500698	137.433290	64.697296
44	45.912693	45.912693	134.526121	65.874231	45.467577	45.467577	137.643546	64.603142	44.958601	44.958601	140.723337	63.164870
45	45.065455	45.065455	140.022775	63.465477	45.566629	45.566629	136.646877	64.884927	45.700487	45.700487	135.960161	65.266704
46	44.965544	44.965544	140.406742	63.184378	45.832224	45.832224	135.560253	65.643525	45.514527	45.514527	137.338984	64.736631
47	46.237698	46.237698	132.628350	66.810147	45.772170	45.772170	135.939660	65.471611	45.883046	45.883046	135.230151	65.789183
48	46.349977	46.349977	131.968544	67.135012	46.131893	46.131893	134.056963	66.504736	45.953065	45.953065	134.807849	65.990132
49	46.109180	46.109180	133.563263	66.439266	45.853440	45.853440	134.271798	65.704312	46.284987	46.284987	132.726637	66.946875
50	45.667730	45.667730	136.488571	65.173174	46.819002	46.819002	129.199777	68.500592	46.781908	46.781908	129.443156	68.392090
