z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-24.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-23.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-22.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-21.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-20.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-19.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
-18.500000	0.020000	0.030000	0.020000	0.020000	0.030000	0.030000	0.020000	0.030000	0.030000	0.025556	0.001757
-17.500000	0.050000	0.070000	0.050000	0.050000	0.070000	0.070000	0.050000	0.070000	0.060000	0.060000	0.003333
-16.500000	0.100000	0.140000	0.100000	0.100000	0.130000	0.140000	0.110000	0.140000	0.120000	0.120000	0.006009
-15.500000	0.190000	0.240000	0.190000	0.180000	0.230000	0.240000	0.190000	0.250000	0.200000	0.212222	0.009095
-14.500000	0.300000	0.370000	0.310000	0.290000	0.360000	0.370000	0.310000	0.380000	0.320000	0.334444	0.011680
-13.500000	0.430000	0.500000	0.440000	0.420000	0.490000	0.500000	0.440000	0.510000	0.440000	0.463333	0.011902
-12.500000	0.550000	0.620000	0.570000	0.540000	0.600000	0.620000	0.560000	0.620000	0.560000	0.582222	0.010901
-11.500000	0.650000	0.700000	0.680000	0.650000	0.690000	0.710000	0.660000	0.700000	0.660000	0.677778	0.007778
-10.500000	0.720000	0.760000	0.750000	0.720000	0.750000	0.760000	0.730000	0.760000	0.730000	0.742222	0.005720
-9.500000	0.770000	0.790000	0.790000	0.770000	0.780000	0.790000	0.770000	0.790000	0.780000	0.781111	0.003093
-8.500000	0.790000	0.810000	0.810000	0.790000	0.800000	0.810000	0.800000	0.810000	0.800000	0.802222	0.002778
-7.500000	0.800000	0.810000	0.810000	0.810000	0.810000	0.810000	0.810000	0.820000	0.810000	0.810000	0.001667
-6.500000	0.800000	0.810000	0.810000	0.810000	0.810000	0.810000	0.810000	0.810000	0.810000	0.808889	0.001111
-5.500000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.000000
-4.500000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.000000
-3.500000	0.760000	0.750000	0.760000	0.760000	0.750000	0.750000	0.760000	0.750000	0.760000	0.755556	0.001757
-2.500000	0.730000	0.730000	0.730000	0.730000	0.730000	0.730000	0.730000	0.730000	0.730000	0.730000	0.000000
-1.500000	0.710000	0.700000	0.710000	0.710000	0.700000	0.700000	0.710000	0.700000	0.700000	0.704444	0.001757
-0.500000	0.690000	0.690000	0.690000	0.690000	0.690000	0.690000	0.690000	0.690000	0.680000	0.688889	0.001111
0.500000	0.690000	0.700000	0.690000	0.690000	0.700000	0.690000	0.690000	0.690000	0.680000	0.691111	0.002003
1.500000	0.710000	0.710000	0.710000	0.710000	0.710000	0.710000	0.700000	0.710000	0.700000	0.707778	0.001470
2.500000	0.730000	0.730000	0.730000	0.730000	0.730000	0.740000	0.730000	0.730000	0.730000	0.731111	0.001111
3.500000	0.760000	0.760000	0.760000	0.760000	0.760000	0.760000	0.760000	0.760000	0.760000	0.760000	0.000000
4.500000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.000000
5.500000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.000000
6.500000	0.810000	0.810000	0.810000	0.810000	0.800000	0.800000	0.810000	0.810000	0.810000	0.807778	0.001470
7.500000	0.810000	0.810000	0.810000	0.810000	0.800000	0.800000	0.810000	0.810000	0.810000	0.807778	0.001470
8.500000	0.800000	0.790000	0.800000	0.800000	0.780000	0.790000	0.810000	0.800000	0.810000	0.797778	0.003239
9.500000	0.770000	0.760000	0.780000	0.770000	0.750000	0.760000	0.790000	0.770000	0.790000	0.771111	0.004547
10.500000	0.730000	0.700000	0.730000	0.730000	0.690000	0.690000	0.750000	0.710000	0.750000	0.720000	0.007817
11.500000	0.650000	0.610000	0.660000	0.650000	0.600000	0.610000	0.680000	0.620000	0.680000	0.640000	0.010274
12.500000	0.550000	0.500000	0.560000	0.550000	0.490000	0.500000	0.570000	0.510000	0.580000	0.534444	0.011440
13.500000	0.430000	0.370000	0.440000	0.420000	0.360000	0.370000	0.440000	0.380000	0.450000	0.406667	0.012019
14.500000	0.300000	0.250000	0.310000	0.300000	0.250000	0.260000	0.300000	0.260000	0.320000	0.283333	0.009280
15.500000	0.190000	0.150000	0.190000	0.180000	0.150000	0.160000	0.190000	0.160000	0.200000	0.174444	0.006479
16.500000	0.100000	0.080000	0.110000	0.100000	0.080000	0.080000	0.100000	0.080000	0.110000	0.093333	0.004410
17.500000	0.050000	0.040000	0.050000	0.050000	0.040000	0.040000	0.050000	0.040000	0.050000	0.045556	0.001757
18.500000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.000000
19.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
20.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
