z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-74.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-73.500000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.000000	0.000000	0.010000	0.002222	0.001470
-72.500000	0.010000	0.010000	0.000000	0.020000	0.000000	0.010000	0.000000	0.000000	0.020000	0.007778	0.002778
-71.500000	0.030000	0.050000	0.020000	0.060000	0.020000	0.020000	0.020000	0.020000	0.050000	0.032222	0.005472
-70.500000	0.080000	0.130000	0.090000	0.150000	0.060000	0.070000	0.060000	0.060000	0.130000	0.092222	0.011759
-69.500000	0.180000	0.270000	0.210000	0.300000	0.160000	0.150000	0.170000	0.150000	0.280000	0.207778	0.019985
-68.500000	0.350000	0.450000	0.400000	0.490000	0.330000	0.270000	0.340000	0.300000	0.470000	0.377778	0.026076
-67.500000	0.550000	0.640000	0.620000	0.680000	0.540000	0.450000	0.550000	0.490000	0.660000	0.575556	0.026305
-66.500000	0.730000	0.790000	0.800000	0.820000	0.760000	0.660000	0.750000	0.680000	0.820000	0.756667	0.019365
-65.500000	0.870000	0.890000	0.910000	0.910000	0.900000	0.830000	0.870000	0.830000	0.920000	0.881111	0.011235
-64.500000	0.940000	0.940000	0.960000	0.960000	0.960000	0.920000	0.940000	0.930000	0.970000	0.946667	0.005528
-63.500000	0.970000	0.970000	0.980000	0.980000	0.980000	0.970000	0.970000	0.970000	0.980000	0.974444	0.001757
-62.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-61.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.981111	0.001111
-60.500000	0.990000	0.980000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.983333	0.001667
-59.500000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.990000	0.990000	0.983333	0.001667
-58.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.982222	0.001470
-57.500000	0.990000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.983333	0.001667
-56.500000	0.980000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.982222	0.001470
-55.500000	0.980000	0.990000	0.990000	0.990000	0.990000	0.990000	0.980000	0.980000	0.980000	0.985556	0.001757
-54.500000	0.980000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.982222	0.001470
-53.500000	0.990000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.983333	0.001667
-52.500000	0.980000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.982222	0.001470
-51.500000	0.980000	0.990000	0.980000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.982222	0.001470
-50.500000	0.980000	0.980000	0.990000	0.980000	0.990000	0.980000	0.980000	0.990000	0.980000	0.983333	0.001667
-49.500000	0.990000	0.980000	0.990000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.983333	0.001667
-48.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-47.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.981111	0.001111
-46.500000	0.990000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.990000	0.980000	0.984444	0.001757
-45.500000	0.990000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.983333	0.001667
-44.500000	0.980000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-43.500000	0.990000	0.980000	0.990000	0.980000	0.990000	0.980000	0.980000	0.990000	0.990000	0.985556	0.001757
-42.500000	0.990000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.983333	0.001667
-41.500000	0.990000	0.990000	0.990000	0.990000	0.980000	0.980000	0.980000	0.990000	0.980000	0.985556	0.001757
-40.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.981111	0.001111
-39.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-38.500000	0.990000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.983333	0.001667
-37.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-36.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-35.500000	0.990000	0.980000	0.990000	0.980000	0.980000	0.980000	0.990000	0.990000	0.980000	0.984444	0.001757
-34.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-33.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.990000	0.990000	0.980000	0.983333	0.001667
-32.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-31.500000	0.990000	0.980000	0.990000	0.980000	0.980000	0.980000	0.990000	0.990000	0.980000	0.984444	0.001757
-30.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-29.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.981111	0.001111
-28.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-27.500000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.000000
-26.500000	0.950000	0.950000	0.950000	0.950000	0.950000	0.950000	0.950000	0.960000	0.950000	0.951111	0.001111
-25.500000	0.920000	0.910000	0.920000	0.910000	0.920000	0.920000	0.920000	0.920000	0.910000	0.916667	0.001667
-24.500000	0.870000	0.860000	0.870000	0.860000	0.870000	0.880000	0.870000	0.880000	0.860000	0.868889	0.002606
-23.500000	0.810000	0.800000	0.800000	0.790000	0.810000	0.810000	0.810000	0.810000	0.800000	0.804444	0.002422
-22.500000	0.730000	0.720000	0.730000	0.720000	0.730000	0.740000	0.730000	0.740000	0.720000	0.728889	0.002606
-21.500000	0.650000	0.640000	0.650000	0.640000	0.650000	0.660000	0.650000	0.660000	0.640000	0.648889	0.002606
-20.500000	0.570000	0.570000	0.570000	0.560000	0.570000	0.580000	0.580000	0.580000	0.560000	0.571111	0.002606
-19.500000	0.510000	0.500000	0.500000	0.500000	0.510000	0.520000	0.510000	0.520000	0.500000	0.507778	0.002778
-18.500000	0.450000	0.440000	0.450000	0.440000	0.450000	0.460000	0.460000	0.460000	0.440000	0.450000	0.002887
-17.500000	0.400000	0.390000	0.400000	0.390000	0.400000	0.400000	0.400000	0.410000	0.390000	0.397778	0.002222
