z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-22.500000	0.000020	0.001470	0.000400	0.000360	0.000310	0.000190	0.000980	0.001190	0.000170	0.000566	0.000171
-21.500000	0.000350	0.004590	0.001750	0.001880	0.001660	0.000980	0.002440	0.004400	0.001870	0.002213	0.000475
-20.500000	0.001540	0.011490	0.005070	0.006520	0.005260	0.003500	0.008260	0.013320	0.006480	0.006827	0.001240
-19.500000	0.005420	0.029060	0.014020	0.018430	0.016270	0.011370	0.015730	0.032510	0.017650	0.017829	0.002787
-18.500000	0.019660	0.066210	0.037190	0.045780	0.042620	0.032680	0.045670	0.075240	0.042070	0.045236	0.005570
-17.500000	0.047800	0.139290	0.082870	0.095250	0.081270	0.069390	0.087470	0.146200	0.089260	0.093200	0.010450
-16.500000	0.101370	0.243070	0.161640	0.171360	0.150750	0.138200	0.174400	0.243390	0.167970	0.172461	0.015302
-15.500000	0.176410	0.368460	0.265760	0.286730	0.254660	0.230880	0.281860	0.368690	0.273670	0.278569	0.020327
-14.500000	0.287830	0.500740	0.391540	0.413670	0.374110	0.349620	0.409500	0.502860	0.402750	0.403624	0.022595
-13.500000	0.413310	0.618600	0.517230	0.557440	0.517360	0.481450	0.546640	0.640140	0.538570	0.536749	0.022660
-12.500000	0.541220	0.700060	0.633510	0.658750	0.631640	0.610820	0.664980	0.723990	0.657580	0.646950	0.017572
-11.500000	0.645910	0.753550	0.716600	0.756370	0.726910	0.700620	0.751580	0.790840	0.738120	0.731167	0.013741
-10.500000	0.732810	0.796460	0.785110	0.803160	0.790820	0.777470	0.789340	0.811980	0.796030	0.787020	0.007553
-9.500000	0.794090	0.803110	0.807880	0.834390	0.816600	0.802770	0.816140	0.817660	0.818160	0.812311	0.003928
-8.500000	0.817900	0.810530	0.825320	0.833690	0.830350	0.832780	0.827080	0.817360	0.826420	0.824603	0.002603
-7.500000	0.835720	0.804590	0.821280	0.830290	0.828390	0.822870	0.822150	0.811560	0.829600	0.822939	0.003251
-6.500000	0.829040	0.794860	0.815620	0.826260	0.823720	0.813790	0.817000	0.805670	0.822400	0.816484	0.003601
-5.500000	0.804840	0.795030	0.807040	0.805900	0.814120	0.800260	0.801320	0.789040	0.803360	0.802323	0.002405
-4.500000	0.789970	0.783070	0.777850	0.791470	0.778320	0.785430	0.786000	0.768650	0.784500	0.782807	0.002332
-3.500000	0.767790	0.749920	0.759030	0.759910	0.763540	0.765940	0.753680	0.750200	0.750660	0.757852	0.002336
-2.500000	0.728400	0.731890	0.724310	0.728460	0.725260	0.728030	0.723840	0.719010	0.723620	0.725869	0.001253
-1.500000	0.712800	0.703370	0.685850	0.688930	0.697730	0.700650	0.698210	0.693950	0.693010	0.697167	0.002687
-0.500000	0.681340	0.707420	0.674350	0.657750	0.664260	0.684180	0.690170	0.684890	0.682680	0.680782	0.004823
0.500000	0.689610	0.709040	0.678700	0.656600	0.668840	0.674680	0.694060	0.692860	0.680010	0.682711	0.005184
1.500000	0.702630	0.713910	0.699860	0.689620	0.687110	0.696650	0.716900	0.710350	0.706210	0.702582	0.003450
2.500000	0.720870	0.740150	0.728460	0.729900	0.728630	0.732280	0.734680	0.744760	0.736950	0.732964	0.002371
3.500000	0.756250	0.770350	0.764550	0.758130	0.757570	0.758910	0.760740	0.775500	0.769130	0.763459	0.002264
4.500000	0.781410	0.806230	0.782980	0.783880	0.790140	0.788190	0.783490	0.792640	0.784850	0.788201	0.002566
5.500000	0.798010	0.813400	0.807130	0.807450	0.806900	0.803450	0.800690	0.803800	0.806860	0.805299	0.001484
6.500000	0.822610	0.821690	0.824810	0.820750	0.810820	0.825050	0.816890	0.807830	0.819230	0.818853	0.002006
7.500000	0.831800	0.796560	0.827540	0.825900	0.820700	0.819480	0.817250	0.802870	0.825030	0.818570	0.003889
8.500000	0.823360	0.748520	0.824620	0.832940	0.822950	0.821700	0.801620	0.795220	0.830980	0.811323	0.008910
9.500000	0.809710	0.677570	0.809290	0.820680	0.812950	0.816590	0.782350	0.763410	0.788830	0.786820	0.015024
10.500000	0.790760	0.575970	0.795330	0.794110	0.772250	0.798440	0.718230	0.694930	0.741780	0.742422	0.024262
11.500000	0.753930	0.476720	0.738780	0.746350	0.719900	0.723970	0.646450	0.600230	0.656170	0.673611	0.030245
12.500000	0.660620	0.378970	0.648660	0.670130	0.622910	0.629500	0.543570	0.495260	0.545980	0.577289	0.031981
13.500000	0.555000	0.288850	0.524450	0.564130	0.515690	0.505080	0.436020	0.379950	0.417850	0.465224	0.030496
14.500000	0.412230	0.197880	0.384010	0.432610	0.389760	0.358590	0.315410	0.274980	0.289090	0.339396	0.025323
15.500000	0.270140	0.120650	0.250760	0.296860	0.262190	0.227780	0.206760	0.186070	0.182410	0.222624	0.018164
16.500000	0.156020	0.063310	0.142570	0.179640	0.155470	0.125070	0.121740	0.114770	0.098960	0.128617	0.011587
17.500000	0.074670	0.032510	0.068880	0.094480	0.085510	0.060430	0.063350	0.066700	0.047400	0.065992	0.006215
18.500000	0.030280	0.012720	0.029930	0.044530	0.040570	0.024170	0.026590	0.033250	0.019470	0.029057	0.003293
