z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-26.500000	0.000720	0.001170	0.004240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000681	0.000467
-25.500000	0.005870	0.003190	0.011810	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.008986	0.000893
-24.500000	0.024740	0.011560	0.035190	0.030000	0.030000	0.020000	0.030000	0.030000	0.030000	0.026832	0.002370
-23.500000	0.069290	0.037130	0.091070	0.080000	0.080000	0.070000	0.080000	0.070000	0.080000	0.073054	0.005057
-22.500000	0.146550	0.096120	0.186470	0.160000	0.160000	0.150000	0.160000	0.140000	0.150000	0.149904	0.008032
-21.500000	0.246790	0.192830	0.289920	0.270000	0.270000	0.260000	0.270000	0.250000	0.260000	0.256616	0.009036
-20.500000	0.339440	0.303030	0.369010	0.370000	0.360000	0.370000	0.370000	0.360000	0.360000	0.355720	0.007345
-19.500000	0.398070	0.399130	0.404340	0.420000	0.410000	0.420000	0.420000	0.410000	0.410000	0.410171	0.002868
-18.500000	0.393700	0.433150	0.371220	0.390000	0.390000	0.400000	0.390000	0.390000	0.390000	0.394230	0.005486
-17.500000	0.316990	0.346080	0.274830	0.300000	0.310000	0.320000	0.300000	0.310000	0.310000	0.309767	0.006332
-16.500000	0.226400	0.250110	0.188580	0.190000	0.200000	0.200000	0.200000	0.210000	0.210000	0.208343	0.006468
-15.500000	0.116280	0.142180	0.113670	0.110000	0.110000	0.110000	0.110000	0.120000	0.110000	0.115792	0.003509
-14.500000	0.055060	0.067940	0.054820	0.050000	0.050000	0.050000	0.050000	0.060000	0.050000	0.054202	0.002081
-13.500000	0.025020	0.024440	0.022110	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.021286	0.000692
-12.500000	0.007380	0.007560	0.004540	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.008831	0.000649
-11.500000	0.001470	0.001810	0.001410	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000521	0.000263
-10.500000	0.000060	0.000300	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000047	0.000033
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000013	0.000013
10.500000	0.000000	0.000660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000073	0.000073
11.500000	0.000680	0.001850	0.000940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000386	0.000218
12.500000	0.004010	0.005930	0.003890	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.008203	0.000918
13.500000	0.015520	0.026740	0.018450	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020079	0.000971
14.500000	0.049850	0.069280	0.047680	0.050000	0.050000	0.050000	0.050000	0.060000	0.050000	0.052979	0.002349
15.500000	0.112380	0.146180	0.098690	0.110000	0.110000	0.110000	0.110000	0.120000	0.110000	0.114139	0.004391
16.500000	0.218430	0.259670	0.183520	0.200000	0.200000	0.210000	0.200000	0.210000	0.200000	0.209069	0.007102
17.500000	0.339170	0.355320	0.280540	0.300000	0.310000	0.310000	0.300000	0.320000	0.310000	0.313892	0.007394
18.500000	0.405910	0.407760	0.384960	0.390000	0.390000	0.390000	0.380000	0.400000	0.400000	0.394292	0.003180
19.500000	0.409960	0.393110	0.422680	0.410000	0.410000	0.410000	0.410000	0.410000	0.420000	0.410639	0.002745
20.500000	0.344720	0.304030	0.389820	0.370000	0.360000	0.360000	0.370000	0.350000	0.370000	0.357619	0.007997
21.500000	0.249590	0.186860	0.285860	0.270000	0.270000	0.260000	0.270000	0.240000	0.260000	0.254701	0.009555
22.500000	0.134220	0.097880	0.178400	0.160000	0.160000	0.150000	0.170000	0.140000	0.150000	0.148944	0.007872
23.500000	0.060760	0.042160	0.085070	0.080000	0.080000	0.070000	0.090000	0.070000	0.070000	0.071999	0.004789
24.500000	0.021680	0.015960	0.032690	0.030000	0.030000	0.030000	0.030000	0.030000	0.030000	0.027814	0.001790
25.500000	0.005070	0.003840	0.009550	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.008718	0.000814
26.500000	0.001650	0.000820	0.001510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000442	0.000233
27.500000	0.000260	0.000130	0.000130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000058	0.000031
