z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-71.500000	0.000000	0.010000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.002222	0.001470
-70.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.020000	0.000000	0.020000	0.011111	0.002003
-69.500000	0.050000	0.040000	0.050000	0.020000	0.040000	0.050000	0.060000	0.020000	0.060000	0.043333	0.005000
-68.500000	0.150000	0.130000	0.130000	0.080000	0.110000	0.140000	0.140000	0.080000	0.130000	0.121111	0.008571
-67.500000	0.310000	0.270000	0.270000	0.220000	0.250000	0.310000	0.300000	0.200000	0.250000	0.264444	0.012922
-66.500000	0.530000	0.450000	0.480000	0.410000	0.440000	0.520000	0.510000	0.390000	0.430000	0.462222	0.016731
-65.500000	0.730000	0.640000	0.680000	0.630000	0.660000	0.720000	0.710000	0.610000	0.640000	0.668889	0.014380
-64.500000	0.890000	0.800000	0.830000	0.810000	0.830000	0.860000	0.860000	0.810000	0.810000	0.833333	0.010138
-63.500000	0.970000	0.920000	0.920000	0.920000	0.940000	0.940000	0.950000	0.920000	0.930000	0.934444	0.005800
-62.500000	0.990000	0.970000	0.970000	0.980000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.002357
-61.500000	1.000000	1.000000	0.990000	1.000000	1.000000	0.990000	1.000000	0.990000	1.000000	0.996667	0.001667
-60.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-59.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-58.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-57.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-56.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-55.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-54.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-53.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-52.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010000	1.000000	1.001111	0.001111
-51.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-50.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-49.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-48.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-47.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-46.500000	1.010000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001111	0.001111
-45.500000	1.000000	1.000000	1.010000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001111	0.001111
-44.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
