z	dens_traj1_401-600	dens_traj1_601-800	dens_traj1_801-1000	dens_traj2_401-600	dens_traj2_601-800	dens_traj2_801-1000	dens_traj3_401-600	dens_traj3_601-800	dens_traj3_801-1000	dens_mean	se
-70.500000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001140	0.001680	0.001120	0.001549	0.001079
-69.500000	0.040000	0.020000	0.010000	0.020000	0.010000	0.010000	0.004630	0.017140	0.020150	0.016880	0.003450
-68.500000	0.100000	0.060000	0.050000	0.060000	0.050000	0.040000	0.013980	0.061910	0.075670	0.056840	0.007886
-67.500000	0.200000	0.170000	0.130000	0.150000	0.130000	0.120000	0.066640	0.141130	0.223070	0.147871	0.015332
-66.500000	0.350000	0.360000	0.260000	0.320000	0.260000	0.290000	0.228570	0.332370	0.466670	0.318623	0.023749
-65.500000	0.550000	0.570000	0.460000	0.530000	0.450000	0.510000	0.485170	0.618560	0.746160	0.546654	0.030682
-64.500000	0.740000	0.770000	0.670000	0.740000	0.650000	0.720000	0.733570	0.841910	0.924830	0.754479	0.028137
-63.500000	0.880000	0.900000	0.840000	0.880000	0.820000	0.860000	0.901430	0.980340	0.984580	0.894039	0.018889
-62.500000	0.960000	0.970000	0.940000	0.950000	0.920000	0.940000	0.984860	0.990770	0.998460	0.961566	0.008836
-61.500000	0.990000	1.000000	0.990000	0.980000	0.970000	0.980000	1.001990	1.007130	0.993690	0.990312	0.003996
-60.500000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.987280	0.995340	1.006060	0.997631	0.001936
-59.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.985840	1.001240	0.997180	0.998251	0.001592
-58.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.003800	1.003890	0.999310	1.000778	0.000585
-57.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.991930	1.003380	1.007550	1.000318	0.001357
-56.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.987060	0.994390	1.004620	0.998452	0.001661
-55.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.997010	1.007340	0.995410	0.999973	0.001079
-54.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.979940	0.997310	0.998590	0.997316	0.002195
-53.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000360	0.996730	1.003380	1.000052	0.000556
-52.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.002200	1.008330	1.000920	1.001272	0.000917
-51.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.985750	0.995520	0.999510	0.997864	0.001591
-50.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.987500	0.999490	0.999810	0.998533	0.001380
-49.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.999700	1.004240	1.008080	1.001336	0.000967
-48.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990270	0.996780	0.995620	0.998074	0.001123
-47.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.994700	0.999520	1.002920	0.999682	0.000706
-46.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.995580	1.002900	1.013750	1.001359	0.001668
-45.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.988090	1.005530	0.985430	0.997672	0.002160
-44.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.993260	0.988040	1.007390	0.998743	0.001783
-43.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.995600	1.011590	1.002300	1.001054	0.001438
-42.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.999110	0.997470	0.998370	0.999439	0.000312
-41.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.984790	0.997020	0.994450	0.997362	0.001701
-40.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.998880	1.007840	1.002290	1.001001	0.000905
-39.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.980940	0.998130	1.007390	0.998496	0.002360
-38.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.999590	0.996660	0.998330	0.999398	0.000388
-37.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.997020	1.002410	0.995180	0.999401	0.000694
-36.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.991460	1.004050	1.016050	1.001284	0.002148
-35.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.988140	0.996200	0.998710	0.998117	0.001317
-34.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.992000	1.000420	0.996830	0.998806	0.000923
-33.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.991770	0.997180	1.005330	0.999364	0.001181
-32.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.999230	1.004470	0.997400	1.000122	0.000615
-31.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.989220	0.996780	0.990440	0.997382	0.001473
-30.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.996920	0.990990	1.011550	0.999940	0.001764
-29.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.992050	1.004300	1.004560	1.000101	0.001193
-28.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.984720	0.991740	0.992520	0.989887	0.000718
-27.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.988070	0.974850	0.975310	0.979803	0.001254
-26.500000	0.960000	0.960000	0.960000	0.960000	0.960000	0.960000	0.947350	0.953640	0.958930	0.957769	0.001476
-25.500000	0.920000	0.920000	0.920000	0.920000	0.930000	0.920000	0.924720	0.926320	0.900700	0.920193	0.002724
-24.500000	0.860000	0.860000	0.870000	0.860000	0.870000	0.860000	0.881010	0.866960	0.853420	0.864599	0.002746
-23.500000	0.790000	0.790000	0.800000	0.790000	0.800000	0.790000	0.813190	0.771350	0.780280	0.791647	0.004006
-22.500000	0.710000	0.710000	0.720000	0.710000	0.720000	0.720000	0.739440	0.701640	0.690970	0.713561	0.004541
-21.500000	0.630000	0.630000	0.640000	0.630000	0.640000	0.630000	0.649320	0.631300	0.617130	0.633083	0.003016
-20.500000	0.560000	0.550000	0.560000	0.560000	0.570000	0.560000	0.576610	0.552790	0.544840	0.559360	0.003236
-19.500000	0.500000	0.490000	0.510000	0.500000	0.510000	0.510000	0.510590	0.491850	0.495580	0.502002	0.002794
-18.500000	0.450000	0.440000	0.460000	0.450000	0.460000	0.460000	0.463130	0.450940	0.431770	0.451760	0.003492
-17.500000	0.380000	0.380000	0.400000	0.390000	0.400000	0.400000	0.403680	0.392470	0.372980	0.391014	0.003677
-16.500000	0.310000	0.310000	0.320000	0.310000	0.320000	0.320000	0.330790	0.308800	0.299490	0.314342	0.003061
-15.500000	0.220000	0.220000	0.240000	0.230000	0.230000	0.230000	0.254220	0.233240	0.204170	0.229070	0.004650
-14.500000	0.140000	0.140000	0.150000	0.140000	0.150000	0.150000	0.164420	0.147340	0.123800	0.145062	0.003693
-13.500000	0.080000	0.070000	0.080000	0.080000	0.080000	0.080000	0.093230	0.081250	0.059550	0.078226	0.003042
-12.500000	0.040000	0.030000	0.040000	0.040000	0.040000	0.040000	0.047580	0.036980	0.028770	0.038148	0.001907
