z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-28.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-27.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-26.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-25.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
-24.500000	0.030000	0.030000	0.030000	0.020000	0.030000	0.030000	0.030000	0.030000	0.020000	0.027778	0.001470
-23.500000	0.070000	0.070000	0.080000	0.070000	0.070000	0.070000	0.080000	0.080000	0.060000	0.072222	0.002222
-22.500000	0.150000	0.140000	0.160000	0.150000	0.160000	0.160000	0.160000	0.160000	0.140000	0.153333	0.002887
-21.500000	0.260000	0.240000	0.280000	0.260000	0.270000	0.280000	0.270000	0.270000	0.260000	0.265556	0.004120
-20.500000	0.360000	0.350000	0.390000	0.370000	0.370000	0.380000	0.360000	0.370000	0.370000	0.368889	0.003889
-19.500000	0.420000	0.410000	0.430000	0.430000	0.430000	0.430000	0.410000	0.420000	0.420000	0.422222	0.002778
-18.500000	0.390000	0.400000	0.400000	0.400000	0.400000	0.400000	0.390000	0.390000	0.400000	0.396667	0.001667
-17.500000	0.310000	0.320000	0.300000	0.310000	0.310000	0.300000	0.300000	0.300000	0.320000	0.307778	0.002778
-16.500000	0.200000	0.210000	0.190000	0.200000	0.190000	0.190000	0.200000	0.200000	0.210000	0.198889	0.002606
-15.500000	0.110000	0.120000	0.100000	0.110000	0.100000	0.100000	0.110000	0.110000	0.110000	0.107778	0.002222
-14.500000	0.050000	0.050000	0.040000	0.050000	0.040000	0.040000	0.050000	0.050000	0.050000	0.046667	0.001667
-13.500000	0.020000	0.020000	0.010000	0.020000	0.020000	0.010000	0.020000	0.020000	0.020000	0.017778	0.001470
-12.500000	0.010000	0.010000	0.000000	0.010000	0.000000	0.000000	0.010000	0.010000	0.000000	0.005556	0.001757
-11.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-10.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
