z	dens_traj1_401-600	dens_traj1_601-800	dens_traj1_801-1000	dens_traj2_401-600	dens_traj2_601-800	dens_traj2_801-1000	dens_traj3_401-600	dens_traj3_601-800	dens_traj3_801-1000	dens_mean	se
-66.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.001111	0.001111
-65.500000	0.000000	0.000000	0.000000	0.010000	0.010000	0.010000	0.020000	0.030000	0.020000	0.011111	0.003514
-64.500000	0.020000	0.020000	0.020000	0.030000	0.030000	0.040000	0.050000	0.080000	0.060000	0.038889	0.006961
-63.500000	0.090000	0.060000	0.070000	0.100000	0.090000	0.130000	0.130000	0.180000	0.130000	0.108889	0.012410
-62.500000	0.220000	0.170000	0.200000	0.230000	0.220000	0.290000	0.270000	0.340000	0.260000	0.244444	0.017087
-61.500000	0.400000	0.320000	0.410000	0.430000	0.420000	0.510000	0.470000	0.530000	0.440000	0.436667	0.020817
-60.500000	0.600000	0.530000	0.650000	0.640000	0.620000	0.710000	0.700000	0.720000	0.640000	0.645556	0.020008
-59.500000	0.790000	0.730000	0.840000	0.810000	0.800000	0.860000	0.880000	0.860000	0.810000	0.820000	0.015275
-58.500000	0.910000	0.880000	0.940000	0.930000	0.920000	0.940000	0.960000	0.940000	0.920000	0.926667	0.007638
-57.500000	0.970000	0.960000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.970000	0.976667	0.002887
-56.500000	0.990000	0.990000	1.000000	0.990000	0.990000	0.990000	1.000000	0.990000	0.990000	0.992222	0.001470
-55.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-54.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-53.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-52.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-51.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.990000	1.000000	0.997778	0.001470
-50.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-49.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-48.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-47.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-46.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.998889	0.001111
-45.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-44.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	1.000000	1.000000	0.998889	0.001111
-43.500000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	1.000000	1.000000	1.000000	0.998889	0.001111
-42.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.998889	0.001111
-41.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-40.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.990000	1.000000	0.997778	0.001470
-39.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
-38.500000	1.000000	1.000000	1.000000	1.000000	0.990000	0.990000	1.000000	0.990000	1.000000	0.996667	0.001667
-37.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.990000	1.000000	0.997778	0.001470
-36.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	1.000000	1.000000	0.998889	0.001111
-35.500000	1.000000	1.000000	1.000000	1.000000	0.990000	0.990000	1.000000	1.000000	1.000000	0.997778	0.001470
-34.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	1.000000	1.000000	0.998889	0.001111
-33.500000	1.000000	1.000000	1.000000	1.000000	0.990000	0.990000	1.000000	1.000000	1.000000	0.997778	0.001470
-32.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	1.000000	1.000000	0.998889	0.001111
-31.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.990000	1.000000	0.997778	0.001470
-30.500000	1.000000	1.000000	1.000000	1.000000	0.990000	0.990000	1.000000	1.000000	1.000000	0.997778	0.001470
-29.500000	1.000000	1.000000	1.000000	1.000000	1.000000	0.990000	1.000000	0.990000	0.990000	0.996667	0.001667
-28.500000	0.990000	1.000000	1.000000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.992222	0.001470
-27.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.980000	0.990000	0.990000	0.990000	0.988889	0.001111
-26.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.970000	0.980000	0.970000	0.970000	0.976667	0.001667
-25.500000	0.960000	0.960000	0.960000	0.950000	0.950000	0.950000	0.950000	0.950000	0.950000	0.953333	0.001667
-24.500000	0.920000	0.930000	0.920000	0.920000	0.920000	0.920000	0.920000	0.910000	0.910000	0.918889	0.002003
-23.500000	0.870000	0.880000	0.870000	0.870000	0.870000	0.870000	0.860000	0.860000	0.860000	0.867778	0.002222
-22.500000	0.810000	0.820000	0.810000	0.810000	0.810000	0.810000	0.800000	0.800000	0.800000	0.807778	0.002222
-21.500000	0.740000	0.750000	0.740000	0.730000	0.740000	0.730000	0.720000	0.730000	0.730000	0.734444	0.002940
-20.500000	0.660000	0.670000	0.660000	0.660000	0.660000	0.660000	0.650000	0.650000	0.660000	0.658889	0.002003
-19.500000	0.590000	0.600000	0.590000	0.590000	0.590000	0.580000	0.580000	0.580000	0.590000	0.587778	0.002222
-18.500000	0.530000	0.540000	0.530000	0.520000	0.520000	0.520000	0.520000	0.510000	0.520000	0.523333	0.002887
-17.500000	0.460000	0.470000	0.460000	0.450000	0.460000	0.450000	0.460000	0.450000	0.460000	0.457778	0.002222
-16.500000	0.390000	0.400000	0.390000	0.390000	0.390000	0.380000	0.390000	0.380000	0.390000	0.388889	0.002003
-15.500000	0.320000	0.320000	0.320000	0.310000	0.310000	0.310000	0.310000	0.300000	0.310000	0.312222	0.002222
-14.500000	0.230000	0.240000	0.240000	0.230000	0.230000	0.220000	0.220000	0.220000	0.230000	0.228889	0.002606
-13.500000	0.160000	0.160000	0.160000	0.150000	0.150000	0.150000	0.140000	0.140000	0.160000	0.152222	0.002778
-12.500000	0.090000	0.100000	0.090000	0.090000	0.090000	0.090000	0.080000	0.080000	0.090000	0.088889	0.002003
-11.500000	0.050000	0.050000	0.050000	0.050000	0.040000	0.040000	0.040000	0.040000	0.050000	0.045556	0.001757
-10.500000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.020000	0.000000
-9.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
