z	dens_traj1_401-600	dens_traj1_601-800	dens_traj1_801-1000	dens_traj2_401-600	dens_traj2_601-800	dens_traj2_801-1000	dens_traj3_401-600	dens_traj3_601-800	dens_traj3_801-1000	dens_mean	se
-72.500000	0.000000	0.000000	0.010000	0.010000	0.000000	0.010000	0.010000	0.010000	0.010000	0.006667	0.001667
-71.500000	0.010000	0.010000	0.020000	0.020000	0.020000	0.030000	0.020000	0.030000	0.020000	0.020000	0.002357
-70.500000	0.030000	0.040000	0.070000	0.060000	0.050000	0.080000	0.050000	0.070000	0.060000	0.056667	0.005270
-69.500000	0.070000	0.110000	0.170000	0.140000	0.140000	0.170000	0.120000	0.160000	0.140000	0.135556	0.010686
-68.500000	0.160000	0.240000	0.300000	0.280000	0.300000	0.320000	0.250000	0.310000	0.270000	0.270000	0.016415
-67.500000	0.320000	0.420000	0.470000	0.490000	0.500000	0.510000	0.430000	0.510000	0.440000	0.454444	0.020352
-66.500000	0.520000	0.630000	0.650000	0.700000	0.700000	0.710000	0.630000	0.700000	0.630000	0.652222	0.020123
-65.500000	0.720000	0.800000	0.800000	0.840000	0.830000	0.860000	0.800000	0.850000	0.800000	0.811111	0.013889
-64.500000	0.860000	0.910000	0.900000	0.930000	0.920000	0.930000	0.910000	0.940000	0.900000	0.911111	0.007896
-63.500000	0.940000	0.960000	0.950000	0.960000	0.970000	0.970000	0.960000	0.980000	0.960000	0.961111	0.003889
-62.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-61.500000	0.990000	0.980000	0.980000	0.980000	0.990000	0.990000	0.990000	0.980000	0.990000	0.985556	0.001757
-60.500000	0.980000	0.990000	0.980000	0.990000	0.980000	0.980000	0.990000	0.980000	0.990000	0.984444	0.001757
-59.500000	0.990000	0.990000	0.990000	0.980000	0.990000	0.990000	0.990000	0.980000	0.990000	0.987778	0.001470
-58.500000	0.980000	0.980000	0.990000	0.990000	0.990000	0.990000	0.990000	0.980000	0.990000	0.986667	0.001667
-57.500000	0.990000	0.980000	0.980000	0.990000	0.980000	0.990000	0.980000	0.980000	0.990000	0.984444	0.001757
-56.500000	0.990000	0.990000	0.990000	0.980000	0.990000	0.990000	0.990000	0.980000	0.990000	0.987778	0.001470
-55.500000	0.980000	0.990000	0.980000	0.990000	0.990000	0.990000	0.990000	0.980000	0.990000	0.986667	0.001667
-54.500000	0.980000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.980000	0.990000	0.987778	0.001470
-53.500000	0.990000	0.990000	0.990000	0.980000	0.990000	0.990000	0.990000	0.980000	0.990000	0.987778	0.001470
-52.500000	0.990000	0.980000	0.980000	0.990000	0.990000	0.990000	0.990000	0.980000	0.980000	0.985556	0.001757
-51.500000	0.990000	0.990000	0.990000	0.980000	0.980000	0.990000	0.980000	0.990000	0.990000	0.986667	0.001667
-50.500000	0.980000	0.990000	0.990000	0.980000	0.990000	0.990000	0.980000	0.980000	0.990000	0.985556	0.001757
-49.500000	0.990000	0.980000	0.980000	0.980000	0.990000	0.990000	0.990000	0.990000	0.980000	0.985556	0.001757
-48.500000	0.990000	0.990000	0.990000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.985556	0.001757
-47.500000	0.980000	0.980000	0.990000	0.980000	0.990000	0.990000	0.980000	0.990000	0.990000	0.985556	0.001757
-46.500000	0.980000	0.990000	0.990000	0.980000	0.990000	0.980000	0.980000	0.990000	0.980000	0.984444	0.001757
-45.500000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.980000	0.990000	0.980000	0.982222	0.001470
-44.500000	0.990000	0.990000	0.990000	0.980000	0.990000	0.990000	0.990000	0.980000	0.990000	0.987778	0.001470
-43.500000	0.990000	0.980000	0.990000	0.980000	0.990000	0.990000	0.980000	0.990000	0.990000	0.986667	0.001667
-42.500000	0.990000	0.990000	0.980000	0.980000	0.990000	0.990000	0.980000	0.990000	0.980000	0.985556	0.001757
-41.500000	0.980000	0.990000	0.990000	0.980000	0.990000	0.980000	0.980000	0.990000	0.990000	0.985556	0.001757
-40.500000	0.990000	0.980000	0.980000	0.980000	0.980000	0.990000	0.980000	0.990000	0.990000	0.984444	0.001757
-39.500000	0.980000	0.990000	0.980000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.983333	0.001667
-38.500000	0.980000	0.990000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.982222	0.001470
-37.500000	0.980000	0.990000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.990000	0.983333	0.001667
-36.500000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.981111	0.001111
-35.500000	0.980000	0.980000	0.990000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.981111	0.001111
-34.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-33.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-32.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-31.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-30.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-29.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
-28.500000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.000000
-27.500000	0.970000	0.960000	0.960000	0.960000	0.960000	0.960000	0.960000	0.960000	0.960000	0.961111	0.001111
-26.500000	0.950000	0.940000	0.940000	0.940000	0.940000	0.940000	0.940000	0.940000	0.940000	0.941111	0.001111
-25.500000	0.910000	0.900000	0.900000	0.910000	0.900000	0.900000	0.910000	0.900000	0.910000	0.904444	0.001757
-24.500000	0.870000	0.860000	0.860000	0.850000	0.850000	0.850000	0.860000	0.850000	0.860000	0.856667	0.002357
-23.500000	0.800000	0.790000	0.790000	0.790000	0.790000	0.790000	0.800000	0.790000	0.790000	0.792222	0.001470
-22.500000	0.730000	0.720000	0.720000	0.710000	0.710000	0.710000	0.720000	0.710000	0.720000	0.716667	0.002357
-21.500000	0.650000	0.640000	0.640000	0.630000	0.630000	0.630000	0.640000	0.640000	0.640000	0.637778	0.002222
-20.500000	0.580000	0.570000	0.560000	0.560000	0.560000	0.560000	0.570000	0.560000	0.570000	0.565556	0.002422
-19.500000	0.510000	0.510000	0.500000	0.500000	0.500000	0.500000	0.510000	0.500000	0.500000	0.503333	0.001667
-18.500000	0.460000	0.450000	0.450000	0.450000	0.450000	0.450000	0.450000	0.450000	0.450000	0.451111	0.001111
