Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.098000	0.091000	0.091000	0.092000	0.087000	0.090000	0.094000	0.092000	0.089000	0.091556	0.001042
3	0.208000	0.201000	0.202000	0.199000	0.203000	0.200000	0.201000	0.204000	0.201000	0.202111	0.000889
4	0.202000	0.199000	0.197000	0.194000	0.199000	0.195000	0.198000	0.201000	0.197000	0.198000	0.000866
5	0.212000	0.206000	0.206000	0.203000	0.207000	0.204000	0.206000	0.209000	0.204000	0.206333	0.000928
6	0.187000	0.183000	0.183000	0.179000	0.183000	0.180000	0.183000	0.185000	0.181000	0.182667	0.000816
7	0.179000	0.174000	0.175000	0.171000	0.174000	0.171000	0.174000	0.175000	0.173000	0.174000	0.000799
8	0.102000	0.101000	0.099000	0.098000	0.099000	0.096000	0.099000	0.103000	0.098000	0.099444	0.000729
9	0.060000	0.057000	0.053000	0.054000	0.054000	0.055000	0.056000	0.059000	0.055000	0.055889	0.000790
10	0.049000	0.046000	0.051000	0.046000	0.050000	0.041000	0.048000	0.044000	0.047000	0.046889	0.001033
11	0.076000	0.075000	0.078000	0.074000	0.077000	0.070000	0.075000	0.074000	0.076000	0.075000	0.000764
12	0.115000	0.115000	0.116000	0.112000	0.117000	0.109000	0.113000	0.115000	0.115000	0.114111	0.000807
13	0.120000	0.121000	0.121000	0.117000	0.123000	0.114000	0.117000	0.120000	0.120000	0.119222	0.000909
14	0.127000	0.124000	0.125000	0.121000	0.127000	0.119000	0.121000	0.124000	0.124000	0.123556	0.000915
15	0.115000	0.113000	0.113000	0.110000	0.116000	0.109000	0.110000	0.112000	0.113000	0.112333	0.000782
16	0.106000	0.103000	0.103000	0.099000	0.105000	0.099000	0.100000	0.101000	0.103000	0.102111	0.000841
17	0.082000	0.079000	0.079000	0.079000	0.081000	0.078000	0.078000	0.078000	0.080000	0.079333	0.000471
18	0.027000	0.026000	0.026000	0.026000	0.026000	0.025000	0.025000	0.026000	0.026000	0.025889	0.000200
