#frame	thickness-1	thickness-2	thickness-3
0	41.59	40.69	40.94
1	41.53	40.41	41.44
2	41.51	40.38	40.48
3	41.57	40.37	39.75
4	41.30	41.23	40.27
5	41.33	41.01	40.14
6	41.69	41.07	40.81
7	40.95	40.50	40.59
8	41.35	40.46	40.41
9	42.06	40.48	40.62
10	41.52	40.82	40.95
11	41.63	40.32	40.79
12	41.01	40.26	41.11
13	41.28	40.74	41.29
14	41.36	40.07	41.43
15	41.68	40.28	41.20
16	41.10	40.16	40.93
17	41.32	40.37	40.58
18	41.60	39.77	40.73
19	41.76	40.07	40.93
20	42.06	39.60	40.86
21	42.17	39.92	40.74
22	41.90	39.72	40.50
23	41.61	39.82	40.69
24	41.32	40.01	40.85
25	41.76	39.65	41.27
26	42.04	39.70	40.70
27	42.15	39.69	40.73
28	42.12	40.12	40.30
29	42.70	40.26	40.12
30	42.67	40.42	39.81
31	42.24	40.44	40.28
32	42.87	40.53	41.10
33	42.13	40.08	40.79
34	42.38	40.29	40.80
35	42.52	40.21	41.15
36	43.10	40.63	40.81
37	42.54	40.52	41.28
38	42.44	40.36	40.75
39	42.38	40.16	40.89
40	42.79	40.24	40.97
41	42.93	40.33	40.99
42	42.78	40.07	41.52
43	42.92	40.55	41.72
44	42.76	40.27	41.41
45	42.31	40.64	41.32
46	42.12	40.32	41.46
47	42.55	40.52	41.82
48	42.94	41.01	41.92
49	43.07	40.69	41.78
50	42.43	41.03	41.11
51	42.33	41.16	41.50
52	42.37	41.13	41.88
53	42.92	41.04	41.14
54	42.10	40.62	41.63
55	41.88	40.39	41.39
56	41.36	40.41	41.30
57	41.58	40.56	40.70
58	41.42	40.33	41.31
59	41.52	40.32	40.93
60	41.54	40.32	41.20
61	41.24	40.00	41.57
62	41.17	39.91	41.30
63	41.17	39.79	41.35
64	41.19	39.79	41.06
65	41.55	39.99	40.90
66	41.46	39.47	40.57
67	41.42	39.08	40.74
68	41.26	39.38	40.93
69	41.18	39.33	40.58
70	40.89	39.26	41.12
71	41.32	39.30	40.66
72	40.93	39.55	41.07
73	41.20	39.77	40.59
74	41.32	40.21	40.96
75	41.12	39.67	41.03
76	41.27	39.64	40.65
77	41.47	39.70	41.10
78	41.86	39.66	40.42
79	41.52	39.79	40.54
80	41.70	38.95	40.17
81	42.07	38.80	40.71
82	41.57	39.00	40.75
83	41.78	39.01	41.15
84	41.33	38.86	40.97
85	41.60	39.19	40.80
86	41.22	39.13	40.88
87	41.26	39.34	40.62
88	40.81	39.44	40.64
89	41.18	39.39	40.70
90	40.24	39.18	40.76
91	40.19	39.58	40.41
92	40.51	39.31	40.42
93	40.41	39.24	40.44
94	40.23	39.74	40.39
95	41.15	39.77	40.23
96	41.12	39.56	39.88
97	41.27	39.84	40.08
98	40.76	39.68	40.26
99	40.55	39.76	39.57
100	40.68	39.49	40.19
101	40.90	38.98	40.08
102	41.02	39.80	40.25
103	40.71	40.39	40.38
104	40.50	39.62	40.33
105	40.70	39.66	40.34
106	40.51	39.82	40.33
107	40.39	39.62	39.61
108	39.95	40.20	39.73
109	39.83	39.94	40.09
110	39.51	39.98	40.13
111	39.89	39.71	40.47
112	40.10	39.34	39.93
113	39.94	39.11	39.58
114	39.43	39.24	39.12
115	39.75	39.65	39.32
116	39.05	39.94	39.19
117	39.29	39.30	39.34
118	39.47	39.78	39.38
119	39.49	39.66	39.77
120	39.88	39.56	39.94
121	40.07	39.25	40.01
122	40.06	39.09	39.92
123	40.07	39.50	39.72
124	40.00	40.24	39.72
125	40.41	40.07	39.71
126	40.23	39.96	39.61
127	40.51	40.45	39.81
128	40.28	40.33	39.57
129	40.48	40.21	39.69
130	40.28	40.08	39.67
131	40.10	40.31	39.65
132	39.70	40.50	39.64
133	39.99	40.16	39.63
134	39.97	40.46	39.33
135	39.82	40.40	39.49
136	40.07	40.19	39.46
137	39.75	40.92	39.65
138	39.25	40.44	39.30
139	40.17	39.78	39.71
140	39.98	39.73	39.58
141	39.97	39.84	38.97
142	39.90	40.25	39.43
143	39.48	40.39	39.86
144	40.03	40.19	39.31
145	39.95	40.24	39.53
146	39.59	41.03	39.62
147	39.67	40.42	39.87
148	39.82	39.62	39.78
149	40.08	39.69	39.77
150	40.04	39.69	39.88
151	40.16	40.05	40.10
152	39.66	40.43	39.51
153	40.02	40.12	39.53
154	40.08	40.29	40.13
155	40.21	40.37	39.98
156	40.26	40.32	39.43
157	40.06	40.57	39.81
158	40.24	40.53	39.51
159	40.12	40.64	39.10
160	39.95	40.81	39.59
161	40.02	40.53	39.14
162	40.16	40.46	39.46
163	39.92	40.47	39.33
164	39.88	40.33	39.76
165	39.89	40.79	39.19
166	40.15	41.02	39.20
167	40.00	40.20	38.93
168	40.03	40.14	39.05
169	39.75	40.27	39.14
170	40.24	40.37	39.08
171	40.77	39.81	39.04
172	40.10	39.89	39.64
173	39.33	40.00	40.03
174	39.53	40.39	40.18
175	40.05	41.01	40.17
176	39.71	40.71	40.13
177	40.05	40.65	40.04
178	39.87	40.69	39.99
179	39.72	40.86	39.80
180	39.83	40.70	40.18
181	39.52	40.19	40.32
182	39.47	40.23	39.80
183	39.21	40.35	39.94
184	39.09	40.31	40.01
185	39.29	39.67	39.85
186	39.41	39.87	39.59
187	40.54	40.48	39.62
188	40.03	40.23	39.60
189	39.83	41.07	39.70
190	39.22	40.12	39.49
191	40.03	40.31	39.03
192	39.56	40.08	39.19
193	40.03	39.64	38.95
194	39.91	39.51	39.30
195	40.01	39.74	39.35
196	40.14	39.86	39.31
197	39.79	40.19	38.81
198	39.80	40.77	38.85
199	40.15	40.44	39.05
200	39.71	40.20	38.80
201	40.30	40.32	38.74
202	40.15	40.47	39.11
203	40.02	40.50	38.93
204	40.41	40.57	38.85
205	39.95	40.38	39.03
206	39.88	40.25	39.11
207	40.00	40.40	38.77
208	41.02	40.31	39.50
209	40.81	40.66	39.47
210	40.65	40.33	39.34
211	40.86	40.36	39.44
212	41.08	39.79	39.24
213	41.07	40.14	39.58
214	40.50	39.60	39.14
215	40.54	39.52	38.65
216	40.37	38.96	38.58
217	39.94	39.65	38.49
218	40.21	39.82	38.75
219	39.54	39.41	38.84
220	39.76	39.43	38.48
221	39.51	39.67	38.50
222	39.99	39.33	38.69
223	40.29	39.22	38.32
224	40.42	39.53	38.58
225	40.25	39.28	38.67
226	39.70	38.76	38.27
227	39.62	39.30	38.39
228	39.87	38.93	38.75
229	39.58	39.13	38.66
230	39.07	39.41	38.41
231	38.67	39.17	38.18
232	39.55	39.28	38.17
233	39.63	39.71	38.16
234	39.33	39.47	38.05
235	38.95	39.55	37.80
236	39.50	39.73	38.13
237	39.45	40.19	37.78
238	38.84	39.48	38.25
239	39.07	39.60	38.17
240	39.23	39.32	37.95
241	38.67	39.69	37.82
242	38.93	39.27	38.27
243	39.05	39.15	38.85
244	39.40	38.88	39.11
245	39.32	39.02	38.84
246	39.14	38.92	39.11
247	39.27	39.51	38.63
248	39.64	39.03	38.40
249	39.06	39.09	38.31
250	39.12	39.38	38.51
251	39.00	39.06	38.32
252	38.58	39.14	38.48
253	38.64	39.12	38.25
254	38.85	38.63	37.76
255	38.77	38.49	37.72
256	38.16	38.31	38.18
257	38.16	38.86	38.14
258	38.74	39.02	38.45
259	38.43	39.40	38.47
260	38.81	39.25	38.19
261	39.24	39.31	38.08
262	39.20	39.43	37.99
263	39.34	39.63	38.18
264	39.18	39.93	37.82
265	39.16	39.75	38.21
266	39.25	39.54	37.98
267	39.28	39.57	37.87
268	39.55	39.50	38.20
269	38.95	39.42	38.46
270	38.79	39.90	38.15
271	39.58	39.99	37.86
272	39.97	40.07	38.36
273	39.41	40.11	38.42
274	39.26	40.35	38.00
275	39.48	39.80	38.00
276	39.09	40.14	38.02
277	39.24	39.85	38.05
278	39.24	40.27	38.34
279	39.49	39.92	37.95
280	39.32	39.77	37.99
281	39.73	39.82	38.03
282	38.93	39.72	37.91
283	38.99	40.05	38.24
284	38.50	39.90	37.96
285	38.73	40.01	38.65
286	38.73	39.58	38.38
287	38.28	39.79	38.71
288	38.28	40.13	38.60
289	38.27	39.60	38.51
290	38.27	39.77	38.60
291	38.63	40.14	38.22
292	38.79	39.55	37.69
293	38.19	39.49	38.29
294	38.69	39.85	38.43
295	38.17	39.74	38.15
296	38.71	40.07	38.44
297	38.66	40.32	37.99
298	38.28	40.03	37.72
299	38.41	39.83	38.22
300	38.59	40.19	38.72
301	38.36	39.93	38.15
302	38.36	40.15	38.12
303	38.59	40.46	38.06
304	38.52	40.12	38.32
