#frame	thickness-1	thickness-2	thickness-3
1	40.24	39.88	40.21
2	40.62	40.05	39.82
3	40.07	39.86	39.82
4	40.11	40.07	39.63
5	40.12	39.62	39.41
6	39.99	40.42	39.39
7	40.39	39.95	38.99
8	40.41	40.57	39.22
9	40.32	40.21	39.56
10	39.70	40.52	39.05
11	40.31	40.08	39.47
12	40.01	40.31	39.34
13	39.53	39.98	39.45
14	39.98	39.87	39.61
15	39.79	40.05	39.57
16	40.22	39.66	39.42
17	40.46	39.48	39.66
18	39.60	39.37	39.79
19	39.71	39.28	39.41
20	39.97	39.77	39.45
21	40.19	39.54	38.67
22	39.97	39.34	39.14
23	39.66	39.20	39.27
24	39.49	39.05	39.52
25	39.73	39.46	39.83
26	39.74	40.14	40.03
27	40.23	40.60	40.38
28	39.93	39.88	40.82
29	40.28	39.99	40.78
30	40.22	40.20	41.07
31	40.31	39.99	41.14
32	40.28	40.13	41.27
33	39.84	39.87	40.83
34	39.65	40.15	41.04
35	39.53	40.15	41.12
36	39.82	40.46	40.87
37	39.75	40.82	41.13
38	39.19	40.17	41.10
39	39.44	40.04	41.18
40	39.59	40.84	41.36
41	39.64	40.95	41.26
42	39.93	40.91	41.47
43	40.07	41.41	41.51
44	39.34	41.29	41.25
45	38.89	41.20	41.34
46	39.17	40.67	40.96
47	39.29	40.85	40.83
48	39.14	40.45	40.96
49	39.75	40.28	40.87
50	40.11	40.50	41.16
51	39.68	40.68	41.17
52	39.84	40.80	40.42
53	39.31	41.11	40.48
54	39.26	40.75	40.16
55	39.66	41.11	40.47
56	39.29	41.17	40.12
57	39.38	40.76	40.90
58	38.88	40.61	40.42
59	39.29	40.82	40.43
60	39.47	40.64	40.11
61	39.22	40.39	40.28
62	39.55	40.27	40.25
63	39.28	40.31	40.52
64	39.57	40.41	39.68
65	39.97	40.72	40.05
66	39.82	40.92	39.97
67	39.18	40.33	39.94
68	39.09	40.90	40.14
69	39.45	40.91	39.69
70	39.34	41.13	39.99
71	38.92	41.55	40.03
72	39.04	40.94	40.38
73	39.04	40.99	39.56
74	39.56	40.75	39.74
75	39.54	40.38	40.02
76	39.41	40.51	39.73
77	38.94	41.10	39.78
78	38.59	40.82	40.21
79	39.46	41.29	39.63
80	39.18	41.30	39.53
81	38.99	41.20	39.64
82	39.16	41.00	39.67
