#frame	thickness-1	thickness-2	thickness-3
1	38.57	38.68	39.02
2	38.84	39.20	38.93
3	38.70	38.87	39.35
4	38.75	39.22	38.66
5	38.78	38.44	38.51
6	39.13	38.91	39.10
7	39.05	38.75	38.92
8	38.90	38.50	39.08
9	38.91	38.13	38.92
10	39.33	38.19	38.84
11	39.40	38.09	38.90
12	38.76	38.03	39.16
13	38.98	38.16	39.31
14	39.14	38.83	38.96
15	38.99	38.81	38.66
16	38.60	38.54	38.79
17	38.73	38.50	39.08
18	38.65	38.71	39.28
19	38.50	39.02	39.00
20	38.65	38.82	39.38
21	38.82	38.88	38.44
22	38.58	38.65	39.02
23	38.48	38.35	38.91
24	39.22	38.30	39.17
25	39.10	38.40	39.68
26	39.21	38.74	39.29
27	39.42	38.78	39.09
28	39.12	38.05	39.15
29	39.24	37.83	39.35
30	38.92	38.21	38.93
31	39.07	38.40	38.97
32	38.74	38.39	39.05
33	38.61	38.34	39.03
34	39.26	38.17	38.99
35	39.14	37.96	39.36
36	39.24	38.26	39.29
37	38.89	38.18	38.77
38	39.11	38.25	39.32
39	39.36	38.98	39.20
40	39.18	38.40	38.99
41	38.83	38.25	38.56
42	38.67	38.50	39.08
43	38.92	38.65	38.48
44	38.64	38.86	38.59
45	39.05	38.96	38.60
46	38.88	39.16	38.60
47	39.01	39.23	38.52
48	39.03	39.08	38.90
49	39.00	39.36	39.04
50	39.00	38.96	38.93
51	38.65	39.16	38.99
52	39.17	38.62	39.24
53	38.85	38.84	39.74
54	38.95	38.65	39.34
55	39.04	38.54	39.61
56	38.80	38.78	38.93
57	38.70	38.75	39.19
58	38.81	38.81	39.22
59	38.58	38.53	39.32
60	38.58	38.70	39.83
61	38.49	38.78	40.09
62	38.08	38.81	39.91
63	37.85	38.76	39.77
64	38.08	39.21	39.50
65	37.79	39.11	39.51
66	38.26	39.04	39.29
67	38.75	39.60	39.40
68	38.32	39.39	39.13
69	37.88	39.21	39.21
70	38.14	39.36	38.98
71	38.11	38.99	38.96
72	38.18	39.32	39.13
73	38.20	39.32	39.09
74	37.87	39.19	39.22
75	37.61	39.23	39.87
76	37.53	39.24	39.75
77	38.19	38.90	39.45
78	37.64	39.26	39.45
79	37.65	39.26	39.34
80	37.87	39.10	39.63
81	37.83	38.91	39.17
82	38.00	39.39	39.02
83	38.17	38.97	39.13
84	37.89	38.93	38.79
85	37.91	38.66	38.51
86	37.52	38.49	38.67
87	38.10	38.79	38.20
88	37.98	38.96	38.66
89	38.27	38.87	38.56
90	38.04	38.41	38.77
91	37.32	38.56	38.10
92	37.79	38.71	37.53
93	37.50	38.91	38.23
94	37.95	39.05	37.79
95	37.74	39.57	37.86
96	37.71	39.24	37.99
97	37.78	39.10	37.73
98	37.64	39.07	37.99
99	37.48	38.77	38.00
100	38.25	39.21	37.87
101	38.24	39.04	38.01
102	38.04	39.32	37.67
103	37.89	39.39	38.24
104	37.88	39.61	38.44
105	38.12	39.53	38.62
106	38.42	39.37	38.72
107	38.43	39.14	38.54
108	39.08	39.02	38.30
109	38.56	39.24	38.40
110	38.28	39.59	37.86
111	38.10	39.31	37.87
112	38.22	39.24	38.44
113	38.83	39.42	37.76
114	39.23	39.33	37.66
115	38.81	39.44	37.37
116	38.66	39.25	37.94
117	39.43	39.39	38.21
118	39.24	39.22	37.78
119	39.07	38.67	37.37
120	38.92	39.08	37.64
121	38.86	39.06	37.70
122	38.45	39.44	38.18
123	38.86	39.17	38.21
124	38.72	39.77	38.00
125	38.65	39.27	38.46
126	38.91	39.25	38.34
127	38.55	39.15	38.70
128	38.81	38.73	38.06
129	38.50	39.02	38.07
130	38.51	39.00	38.30
131	38.39	39.05	38.04
132	37.99	38.81	38.26
133	38.33	38.80	38.60
134	37.67	38.77	38.17
135	37.79	37.97	38.27
136	37.58	38.29	38.42
137	37.68	37.95	38.62
138	38.43	38.58	38.37
139	38.31	38.72	38.36
140	38.01	38.79	38.14
141	38.54	38.98	37.28
142	38.34	38.68	37.65
143	37.96	38.34	37.81
144	38.18	38.49	38.00
145	37.97	38.92	38.13
146	37.72	38.47	38.19
147	37.67	38.62	38.08
148	37.35	38.92	38.22
149	37.12	38.75	37.63
150	37.63	38.52	37.35
151	37.52	38.42	37.76
152	37.75	38.73	37.57
153	37.93	38.32	37.53
