#frame	thickness-1	thickness-2	thickness-3
0	38.33	38.28	38.44
1	38.16	38.13	37.96
2	38.10	38.27	38.07
3	38.30	38.43	38.06
4	38.78	38.32	38.21
5	38.88	38.26	38.02
6	38.95	38.42	37.77
7	38.99	38.56	37.99
8	38.95	38.61	38.33
9	39.12	38.48	37.78
10	38.61	38.41	38.21
11	38.80	38.09	37.90
12	38.33	38.98	37.90
13	38.85	39.00	37.86
14	38.73	38.91	38.16
15	38.92	38.56	38.29
16	38.94	38.05	38.22
17	38.61	37.89	38.24
18	38.50	38.63	37.96
19	38.95	38.50	37.99
20	38.31	38.32	38.10
21	38.48	38.22	38.69
22	38.70	38.19	37.92
23	38.54	38.03	38.26
24	38.54	38.17	38.30
25	38.71	38.19	38.45
26	38.50	38.23	38.43
27	38.88	38.56	39.03
28	39.06	38.20	38.87
29	38.26	37.66	39.02
30	38.48	37.43	39.11
31	38.85	37.57	38.88
32	38.64	37.14	39.10
33	38.07	37.37	38.90
34	38.57	37.45	38.79
35	38.74	37.41	38.44
36	38.76	37.96	38.48
37	38.27	37.85	38.50
38	38.11	38.10	38.83
39	38.64	38.27	39.41
40	38.71	37.94	39.11
41	38.86	37.87	39.35
42	38.34	38.08	39.18
43	38.05	38.09	39.07
44	37.94	37.90	38.65
45	38.06	37.69	38.36
46	37.64	37.53	38.60
47	37.82	37.78	38.56
48	37.79	37.86	38.54
49	37.63	37.95	38.62
50	37.99	37.94	38.57
51	38.17	37.95	38.55
52	37.71	37.87	38.42
53	38.29	37.61	38.76
54	37.87	37.73	38.21
55	37.89	38.09	38.48
56	37.62	37.68	38.44
57	37.56	37.86	38.73
58	37.74	37.70	39.16
59	37.85	38.48	39.32
60	37.93	38.01	38.95
61	38.06	38.30	38.61
62	37.37	38.43	38.96
63	37.51	38.70	39.10
64	37.13	38.21	38.82
65	37.17	38.67	39.24
66	37.14	38.45	38.85
67	36.73	38.19	38.91
68	37.10	38.30	38.98
69	37.12	37.90	39.18
70	37.02	38.09	38.65
71	37.01	38.44	38.38
72	37.87	38.19	38.14
73	38.04	38.67	38.40
74	37.75	38.56	38.31
75	37.97	38.55	38.42
76	38.14	38.68	38.38
77	37.88	38.59	39.18
78	38.34	38.57	38.92
79	38.18	38.65	39.06
80	38.49	38.79	38.87
81	37.57	38.67	38.75
82	38.11	38.57	39.22
83	38.20	38.52	39.12
84	37.82	38.48	38.38
85	37.26	38.98	38.57
86	38.26	39.24	39.12
87	38.42	39.57	38.76
88	38.06	39.32	39.42
89	38.74	38.86	39.05
90	38.51	39.03	39.04
91	38.49	39.00	38.74
92	38.37	38.67	39.21
93	38.39	38.71	39.15
94	37.97	38.84	38.88
95	37.48	38.54	39.09
96	37.54	38.84	38.86
97	37.63	38.59	38.97
98	38.13	38.35	39.15
99	38.06	38.43	38.74
100	38.16	38.48	38.99
101	37.64	38.74	38.56
102	38.00	38.58	39.19
103	38.36	38.78	38.08
104	37.90	38.22	38.41
105	37.92	38.17	38.14
106	37.94	38.82	38.41
107	37.60	38.50	38.72
108	38.07	38.38	38.73
109	37.83	38.69	38.18
110	38.10	39.11	37.75
111	38.50	38.32	38.06
112	38.58	38.86	38.12
113	38.92	38.34	38.03
114	38.75	38.20	38.17
115	38.79	38.87	37.85
116	39.20	38.19	38.25
117	38.44	38.21	37.93
118	37.87	38.54	38.03
119	38.09	37.51	38.08
120	38.09	37.43	38.33
121	37.91	37.55	38.97
122	38.53	37.72	39.10
123	37.80	37.59	39.31
124	37.65	37.88	39.09
125	38.03	37.06	38.77
126	37.97	37.52	38.87
127	38.47	38.13	39.09
128	38.21	37.87	38.56
