z_center	theta_center	count	angle_type
-68.217385	1.865485	0	theta2
-68.217385	5.461845	0	theta2
-68.217385	9.058205	0	theta2
-68.217385	12.654566	0	theta2
-68.217385	16.250926	1	theta2
-68.217385	19.847286	0	theta2
-68.217385	23.443646	0	theta2
-68.217385	27.040006	0	theta2
-68.217385	30.636367	0	theta2
-68.217385	34.232727	0	theta2
-68.217385	37.829087	1	theta2
-68.217385	41.425447	1	theta2
-68.217385	45.021807	0	theta2
-68.217385	48.618167	0	theta2
-68.217385	52.214528	1	theta2
-68.217385	55.810888	0	theta2
-68.217385	59.407248	1	theta2
-68.217385	63.003608	0	theta2
-68.217385	66.599968	3	theta2
-68.217385	70.196329	3	theta2
-68.217385	73.792689	2	theta2
-68.217385	77.389049	2	theta2
-68.217385	80.985409	2	theta2
-68.217385	84.581769	2	theta2
-68.217385	88.178129	1	theta2
-68.217385	91.774490	0	theta2
-68.217385	95.370850	1	theta2
-68.217385	98.967210	2	theta2
-68.217385	102.563570	0	theta2
-68.217385	106.159930	2	theta2
-68.217385	109.756291	0	theta2
-68.217385	113.352651	0	theta2
-68.217385	116.949011	3	theta2
-68.217385	120.545371	0	theta2
-68.217385	124.141731	0	theta2
-68.217385	127.738091	1	theta2
-68.217385	131.334452	0	theta2
-68.217385	134.930812	0	theta2
-68.217385	138.527172	0	theta2
-68.217385	142.123532	0	theta2
-68.217385	145.719892	0	theta2
-68.217385	149.316253	0	theta2
-68.217385	152.912613	0	theta2
-68.217385	156.508973	0	theta2
-68.217385	160.105333	0	theta2
-68.217385	163.701693	0	theta2
-68.217385	167.298053	0	theta2
-68.217385	170.894414	0	theta2
-68.217385	174.490774	0	theta2
-68.217385	178.087134	0	theta2
-65.358423	1.865485	0	theta2
-65.358423	5.461845	0	theta2
-65.358423	9.058205	1	theta2
-65.358423	12.654566	1	theta2
-65.358423	16.250926	1	theta2
-65.358423	19.847286	4	theta2
-65.358423	23.443646	8	theta2
-65.358423	27.040006	4	theta2
-65.358423	30.636367	8	theta2
-65.358423	34.232727	8	theta2
-65.358423	37.829087	7	theta2
-65.358423	41.425447	6	theta2
-65.358423	45.021807	8	theta2
-65.358423	48.618167	7	theta2
-65.358423	52.214528	11	theta2
-65.358423	55.810888	16	theta2
-65.358423	59.407248	19	theta2
-65.358423	63.003608	10	theta2
-65.358423	66.599968	14	theta2
-65.358423	70.196329	14	theta2
-65.358423	73.792689	11	theta2
-65.358423	77.389049	15	theta2
-65.358423	80.985409	18	theta2
-65.358423	84.581769	20	theta2
-65.358423	88.178129	20	theta2
-65.358423	91.774490	17	theta2
-65.358423	95.370850	15	theta2
-65.358423	98.967210	7	theta2
-65.358423	102.563570	10	theta2
-65.358423	106.159930	13	theta2
-65.358423	109.756291	8	theta2
-65.358423	113.352651	8	theta2
-65.358423	116.949011	6	theta2
-65.358423	120.545371	4	theta2
