z	401-600ns	601-800ns	801-1000ns
  -74.500000     0.000002     0.000002     0.000000
  -73.500000     0.000035     0.000006     0.000006
  -72.500000     0.000106     0.000041     0.000069
  -71.500000     0.000404     0.000170     0.000221
  -70.500000     0.001056     0.000543     0.000738
  -69.500000     0.002043     0.001420     0.001683
  -68.500000     0.003588     0.003003     0.003365
  -67.500000     0.005525     0.005122     0.005561
  -66.500000     0.007320     0.007691     0.007789
  -65.500000     0.009085     0.009283     0.009281
  -64.500000     0.009775     0.010513     0.010293
  -63.500000     0.010088     0.010892     0.010546
  -62.500000     0.010204     0.010969     0.010177
  -61.500000     0.010740     0.011277     0.010615
  -60.500000     0.010504     0.010993     0.010629
  -59.500000     0.010189     0.011147     0.010380
  -58.500000     0.010159     0.011098     0.010522
  -57.500000     0.009960     0.011321     0.010647
  -56.500000     0.010226     0.011021     0.010714
  -55.500000     0.010118     0.011092     0.010856
  -54.500000     0.009921     0.011139     0.010631
  -53.500000     0.010009     0.010989     0.010714
  -52.500000     0.009968     0.010871     0.010528
  -51.500000     0.009935     0.011106     0.010745
  -50.500000     0.010171     0.010472     0.010621
  -49.500000     0.010589     0.010748     0.010597
  -48.500000     0.010486     0.010588     0.010331
  -47.500000     0.010817     0.010440     0.010586
  -46.500000     0.011069     0.010436     0.010443
  -45.500000     0.010870     0.010296     0.010400
  -44.500000     0.010624     0.010440     0.010615
  -43.500000     0.010764     0.010491     0.010511
  -42.500000     0.010849     0.010898     0.010418
  -41.500000     0.010859     0.011256     0.010868
  -40.500000     0.011048     0.010999     0.010996
  -39.500000     0.010815     0.011250     0.010895
  -38.500000     0.010888     0.011230     0.011466
  -37.500000     0.011345     0.011068     0.011556
  -36.500000     0.011243     0.011337     0.012022
  -35.500000     0.011590     0.011532     0.011931
  -34.500000     0.011785     0.011418     0.012427
  -33.500000     0.012332     0.012000     0.012565
  -32.500000     0.012857     0.012496     0.012831
  -31.500000     0.013322     0.013159     0.013340
  -30.500000     0.014029     0.013487     0.014558
  -29.500000     0.014291     0.014332     0.014596
  -28.500000     0.014035     0.014751     0.014757
  -27.500000     0.013603     0.014360     0.014116
  -26.500000     0.012378     0.012970     0.012875
  -25.500000     0.010516     0.010160     0.010469
  -24.500000     0.007872     0.007468     0.007471
  -23.500000     0.005015     0.004822     0.004580
  -22.500000     0.003088     0.002715     0.002601
  -21.500000     0.001478     0.001248     0.001352
  -20.500000     0.000715     0.000423     0.000685
  -19.500000     0.000288     0.000134     0.000245
  -18.500000     0.000148     0.000051     0.000077
  -17.500000     0.000093     0.000020     0.000075
  -16.500000     0.000030     0.000010     0.000030
  -15.500000     0.000004     0.000014     0.000018
  -14.500000     0.000004     0.000004     0.000002
  -13.500000     0.000000     0.000002     0.000000
  -12.500000     0.000000     0.000000     0.000000
  -11.500000     0.000000     0.000000     0.000000
  -10.500000     0.000000     0.000000     0.000000
   -9.500000     0.000000     0.000000     0.000000
   -8.500000     0.000000     0.000000     0.000000
   -7.500000     0.000000     0.000000     0.000000
   -6.500000     0.000000     0.000000     0.000000
   -5.500000     0.000000     0.000000     0.000000
   -4.500000     0.000000     0.000000     0.000000
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000000     0.000000     0.000000
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000000
    3.500000     0.000000     0.000000     0.000000
    4.500000     0.000000     0.000000     0.000000
    5.500000     0.000000     0.000000     0.000000
    6.500000     0.000000     0.000000     0.000000
    7.500000     0.000000     0.000000     0.000000
