           z         mean           se
  -69.500000     0.000001     0.000001
  -68.500000     0.000003     0.000002
  -67.500000     0.000006     0.000003
  -66.500000     0.000014     0.000007
  -65.500000     0.000043     0.000019
  -64.500000     0.000072     0.000025
  -63.500000     0.000115     0.000041
  -62.500000     0.000158     0.000056
  -61.500000     0.000190     0.000067
  -60.500000     0.000204     0.000069
  -59.500000     0.000201     0.000066
  -58.500000     0.000207     0.000070
  -57.500000     0.000199     0.000062
  -56.500000     0.000195     0.000061
  -55.500000     0.000195     0.000065
  -54.500000     0.000178     0.000054
  -53.500000     0.000191     0.000056
  -52.500000     0.000185     0.000058
  -51.500000     0.000204     0.000059
  -50.500000     0.000221     0.000062
  -49.500000     0.000208     0.000057
  -48.500000     0.000215     0.000061
  -47.500000     0.000227     0.000063
  -46.500000     0.000204     0.000062
  -45.500000     0.000226     0.000066
  -44.500000     0.000210     0.000059
  -43.500000     0.000198     0.000055
  -42.500000     0.000206     0.000055
  -41.500000     0.000210     0.000057
  -40.500000     0.000226     0.000062
  -39.500000     0.000203     0.000057
  -38.500000     0.000198     0.000060
  -37.500000     0.000195     0.000069
  -36.500000     0.000210     0.000070
  -35.500000     0.000190     0.000064
  -34.500000     0.000185     0.000063
  -33.500000     0.000187     0.000066
  -32.500000     0.000183     0.000067
  -31.500000     0.000188     0.000079
  -30.500000     0.000190     0.000086
  -29.500000     0.000188     0.000073
  -28.500000     0.000202     0.000075
  -27.500000     0.000204     0.000085
  -26.500000     0.000177     0.000065
  -25.500000     0.000153     0.000056
  -24.500000     0.000148     0.000057
  -23.500000     0.000127     0.000036
  -22.500000     0.000090     0.000027
  -21.500000     0.000111     0.000027
  -20.500000     0.000171     0.000028
  -19.500000     0.000433     0.000049
  -18.500000     0.001000     0.000097
  -17.500000     0.002265     0.000144
  -16.500000     0.005036     0.000237
  -15.500000     0.009735     0.000241
  -14.500000     0.016990     0.000387
  -13.500000     0.026571     0.000472
  -12.500000     0.035594     0.000703
  -11.500000     0.041331     0.000730
  -10.500000     0.041470     0.000604
   -9.500000     0.036723     0.000459
   -8.500000     0.030787     0.000487
   -7.500000     0.026486     0.000483
   -6.500000     0.024689     0.000479
   -5.500000     0.025415     0.000429
   -4.500000     0.027684     0.000360
   -3.500000     0.030857     0.000344
   -2.500000     0.033278     0.000305
   -1.500000     0.035351     0.000178
   -0.500000     0.035933     0.000266
    0.500000     0.035844     0.000391
    1.500000     0.035034     0.000283
    2.500000     0.033394     0.000328
    3.500000     0.030709     0.000376
    4.500000     0.027345     0.000309
    5.500000     0.024641     0.000298
    6.500000     0.024044     0.000267
    7.500000     0.026160     0.000225
    8.500000     0.031260     0.000337
    9.500000     0.037464     0.000455
   10.500000     0.042672     0.000534
   11.500000     0.043324     0.000657
   12.500000     0.038052     0.000934
   13.500000     0.028120     0.000839
   14.500000     0.018120     0.000527
   15.500000     0.010298     0.000327
   16.500000     0.005081     0.000177
   17.500000     0.002320     0.000107
   18.500000     0.000940     0.000057
   19.500000     0.000410     0.000043
   20.500000     0.000183     0.000029
   21.500000     0.000109     0.000031
   22.500000     0.000073     0.000025
   23.500000     0.000089     0.000037
   24.500000     0.000117     0.000045
   25.500000     0.000145     0.000054
   26.500000     0.000166     0.000060
   27.500000     0.000176     0.000065
   28.500000     0.000173     0.000065
   29.500000     0.000202     0.000078
   30.500000     0.000200     0.000079
   31.500000     0.000209     0.000080
   32.500000     0.000182     0.000068
   33.500000     0.000180     0.000071
   34.500000     0.000181     0.000070
   35.500000     0.000181     0.000074
   36.500000     0.000178     0.000077
   37.500000     0.000187     0.000085
   38.500000     0.000181     0.000074
   39.500000     0.000204     0.000093
   40.500000     0.000197     0.000087
   41.500000     0.000205     0.000088
   42.500000     0.000202     0.000089
   43.500000     0.000206     0.000089
   44.500000     0.000196     0.000073
   45.500000     0.000193     0.000078
   46.500000     0.000220     0.000092
   47.500000     0.000200     0.000083
   48.500000     0.000204     0.000088
   49.500000     0.000210     0.000099
   50.500000     0.000189     0.000090
   51.500000     0.000194     0.000098
   52.500000     0.000183     0.000095
   53.500000     0.000194     0.000096
   54.500000     0.000192     0.000095
   55.500000     0.000185     0.000089
   56.500000     0.000170     0.000078
   57.500000     0.000167     0.000072
   58.500000     0.000173     0.000073
   59.500000     0.000178     0.000072
   60.500000     0.000174     0.000062
   61.500000     0.000204     0.000078
   62.500000     0.000195     0.000073
   63.500000     0.000193     0.000069
   64.500000     0.000191     0.000069
   65.500000     0.000168     0.000060
   66.500000     0.000147     0.000052
   67.500000     0.000119     0.000043
   68.500000     0.000086     0.000032
   69.500000     0.000048     0.000019
   70.500000     0.000019     0.000009
   71.500000     0.000009     0.000005
   72.500000     0.000003     0.000002
   73.500000     0.000000     0.000000
