z	401-600ns	601-800ns	801-1000ns
  -73.500000     0.000004     0.000000     0.000002
  -72.500000     0.000010     0.000020     0.000008
  -71.500000     0.000028     0.000093     0.000079
  -70.500000     0.000186     0.000287     0.000275
  -69.500000     0.000576     0.000803     0.000729
  -68.500000     0.001568     0.001660     0.001619
  -67.500000     0.003160     0.003337     0.003278
  -66.500000     0.005384     0.005362     0.005355
  -65.500000     0.007701     0.007659     0.007325
  -64.500000     0.009586     0.009316     0.009333
  -63.500000     0.010915     0.010564     0.010318
  -62.500000     0.011072     0.011140     0.010892
  -61.500000     0.011414     0.011510     0.010972
  -60.500000     0.011279     0.011490     0.010787
  -59.500000     0.011307     0.011298     0.010847
  -58.500000     0.011230     0.011235     0.010637
  -57.500000     0.011497     0.011357     0.010900
  -56.500000     0.011048     0.011278     0.011293
  -55.500000     0.011432     0.011427     0.011063
  -54.500000     0.011513     0.011257     0.011144
  -53.500000     0.011196     0.011090     0.011106
  -52.500000     0.011333     0.011148     0.010940
  -51.500000     0.010899     0.011300     0.010972
  -50.500000     0.010967     0.011130     0.011154
  -49.500000     0.010874     0.011373     0.010874
  -48.500000     0.010739     0.011211     0.011140
  -47.500000     0.010565     0.010687     0.011277
  -46.500000     0.010167     0.010812     0.011174
  -45.500000     0.010240     0.011011     0.011027
  -44.500000     0.010268     0.010968     0.011166
  -43.500000     0.010256     0.010588     0.010960
  -42.500000     0.010119     0.010760     0.010872
  -41.500000     0.010210     0.010839     0.010516
  -40.500000     0.009980     0.010746     0.010549
  -39.500000     0.010143     0.010990     0.010710
  -38.500000     0.010234     0.010887     0.010423
  -37.500000     0.010099     0.010728     0.010149
  -36.500000     0.009838     0.010681     0.009812
  -35.500000     0.009646     0.010392     0.009408
  -34.500000     0.009699     0.010220     0.009299
  -33.500000     0.009662     0.010309     0.009010
  -32.500000     0.009454     0.010026     0.009224
  -31.500000     0.009293     0.009700     0.008986
  -30.500000     0.009052     0.009631     0.008696
  -29.500000     0.008228     0.008899     0.008296
  -28.500000     0.007303     0.008428     0.007571
  -27.500000     0.006572     0.007299     0.006913
  -26.500000     0.005652     0.006502     0.006029
  -25.500000     0.004897     0.005835     0.005464
  -24.500000     0.004101     0.005024     0.005014
  -23.500000     0.003901     0.003970     0.004612
  -22.500000     0.003757     0.003236     0.004309
  -21.500000     0.004097     0.002741     0.004069
  -20.500000     0.004885     0.002860     0.004225
  -19.500000     0.005998     0.002973     0.004499
  -18.500000     0.007250     0.003171     0.004368
  -17.500000     0.008222     0.003754     0.004665
  -16.500000     0.008491     0.003683     0.005095
  -15.500000     0.007184     0.003287     0.003966
  -14.500000     0.004986     0.002492     0.002432
  -13.500000     0.002667     0.001108     0.001510
  -12.500000     0.001228     0.000493     0.000721
  -11.500000     0.000578     0.000164     0.000327
  -10.500000     0.000182     0.000026     0.000105
   -9.500000     0.000048     0.000000     0.000002
   -8.500000     0.000000     0.000000     0.000002
   -7.500000     0.000000     0.000000     0.000000
   -6.500000     0.000000     0.000000     0.000000
   -5.500000     0.000000     0.000000     0.000000
   -4.500000     0.000000     0.000000     0.000000
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000000     0.000000     0.000000
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000000
    3.500000     0.000000     0.000000     0.000000
    4.500000     0.000000     0.000000     0.000000
    5.500000     0.000000     0.000000     0.000000
    6.500000     0.000000     0.000000     0.000000
    7.500000     0.000000     0.000000     0.000000
    8.500000     0.000000     0.000000     0.000000
    9.500000     0.000012     0.000000     0.000006
   10.500000     0.000077     0.000018     0.000042
   11.500000     0.000164     0.000156     0.000147
   12.500000     0.000638     0.000532     0.000523
   13.500000     0.001232     0.001050     0.001169
   14.500000     0.002244     0.001919     0.002305
   15.500000     0.003210     0.003396     0.003415
   16.500000     0.003970     0.005066     0.005095
   17.500000     0.004067     0.005930     0.005714
   18.500000     0.003751     0.005467     0.005718
   19.500000     0.003192     0.004474     0.005446
   20.500000     0.003368     0.003974     0.004939
   21.500000     0.003503     0.004015     0.004463
   22.500000     0.003582     0.004545     0.004414
   23.500000     0.004301     0.004905     0.004394
   24.500000     0.004818     0.004961     0.004435
   25.500000     0.005364     0.005412     0.005343
   26.500000     0.005937     0.005928     0.005965
   27.500000     0.006715     0.006949     0.006566
   28.500000     0.007293     0.007498     0.007402
   29.500000     0.007927     0.008721     0.008429
   30.500000     0.008640     0.009162     0.008720
   31.500000     0.008891     0.009376     0.009049
   32.500000     0.009600     0.009569     0.009824
   33.500000     0.009394     0.009945     0.010032
   34.500000     0.009806     0.009949     0.010042
   35.500000     0.009495     0.010086     0.010294
   36.500000     0.010060     0.010254     0.010306
   37.500000     0.010125     0.010305     0.010288
   38.500000     0.010030     0.010835     0.010329
   39.500000     0.010505     0.010671     0.010710
   40.500000     0.010761     0.010999     0.010972
   41.500000     0.010941     0.010893     0.010978
   42.500000     0.011018     0.011001     0.011320
   43.500000     0.011450     0.011253     0.011455
   44.500000     0.011000     0.010887     0.011209
   45.500000     0.011210     0.011104     0.011592
   46.500000     0.011040     0.010897     0.011314
   47.500000     0.011129     0.011051     0.011427
   48.500000     0.011074     0.011245     0.011665
   49.500000     0.011161     0.011035     0.011225
   50.500000     0.011178     0.011051     0.011251
   51.500000     0.011214     0.011112     0.010930
   52.500000     0.011331     0.010835     0.011158
   53.500000     0.010978     0.011314     0.011235
   54.500000     0.011268     0.011075     0.011414
   55.500000     0.011497     0.011243     0.011417
   56.500000     0.011264     0.011249     0.011453
   57.500000     0.011547     0.011597     0.011265
   58.500000     0.011468     0.011488     0.011433
   59.500000     0.011719     0.011506     0.011550
   60.500000     0.011258     0.011545     0.011209
   61.500000     0.011513     0.011660     0.011324
   62.500000     0.011614     0.011448     0.011622
   63.500000     0.011652     0.011613     0.011441
   64.500000     0.011054     0.011168     0.011459
   65.500000     0.011161     0.011310     0.011526
   66.500000     0.011464     0.010997     0.011079
   67.500000     0.010982     0.010402     0.010226
   68.500000     0.009567     0.009205     0.009138
   69.500000     0.007699     0.007481     0.007523
   70.500000     0.005166     0.005364     0.005488
   71.500000     0.002725     0.003078     0.003171
   72.500000     0.001228     0.001533     0.001615
   73.500000     0.000511     0.000678     0.000656
   74.500000     0.000149     0.000261     0.000196
   75.500000     0.000024     0.000069     0.000042
   76.500000     0.000004     0.000018     0.000004
   77.500000     0.000000     0.000002     0.000000
