z	401-600ns	601-800ns	801-1000ns
  -72.500000     0.000000     0.000000     0.000000
  -71.500000     0.000000     0.000000     0.000000
  -70.500000     0.000000     0.000000     0.000000
  -69.500000     0.000000     0.000000     0.000000
  -68.500000     0.000010     0.000010     0.000005
  -67.500000     0.000055     0.000101     0.000018
  -66.500000     0.000232     0.000231     0.000048
  -65.500000     0.000547     0.000569     0.000118
  -64.500000     0.001174     0.001251     0.000344
  -63.500000     0.002061     0.002043     0.001028
  -62.500000     0.003457     0.003287     0.001785
  -61.500000     0.004623     0.004567     0.002941
  -60.500000     0.005716     0.005820     0.003967
  -59.500000     0.006153     0.006940     0.004985
  -58.500000     0.006906     0.007211     0.005284
  -57.500000     0.006971     0.007487     0.005792
  -56.500000     0.007232     0.007406     0.005804
  -55.500000     0.006878     0.007297     0.006028
  -54.500000     0.007069     0.007233     0.006204
  -53.500000     0.007019     0.007152     0.006186
  -52.500000     0.006837     0.007379     0.005812
  -51.500000     0.006667     0.007258     0.006066
  -50.500000     0.006866     0.007512     0.005827
  -49.500000     0.006689     0.007302     0.005915
  -48.500000     0.006447     0.007376     0.005762
  -47.500000     0.006479     0.007157     0.005746
  -46.500000     0.006804     0.007096     0.005558
  -45.500000     0.007045     0.007032     0.005523
  -44.500000     0.006926     0.006926     0.005505
  -43.500000     0.006961     0.006968     0.005555
  -42.500000     0.006746     0.006886     0.005224
  -41.500000     0.006926     0.006652     0.004874
  -40.500000     0.006722     0.006660     0.005206
  -39.500000     0.006663     0.006623     0.004922
  -38.500000     0.006859     0.006162     0.004977
  -37.500000     0.006720     0.005973     0.004857
  -36.500000     0.006710     0.006039     0.004565
  -35.500000     0.006820     0.006116     0.004615
  -34.500000     0.006287     0.006005     0.004432
  -33.500000     0.006223     0.005985     0.004283
  -32.500000     0.006443     0.006293     0.004072
  -31.500000     0.005957     0.005778     0.003952
  -30.500000     0.005243     0.005141     0.003688
  -29.500000     0.004626     0.004700     0.003698
  -28.500000     0.003909     0.003964     0.003112
  -27.500000     0.003658     0.003612     0.002501
  -26.500000     0.003261     0.003048     0.002215
  -25.500000     0.003287     0.002969     0.001966
  -24.500000     0.003177     0.003028     0.001838
  -23.500000     0.003772     0.003858     0.002109
  -22.500000     0.004631     0.004875     0.002629
  -21.500000     0.005123     0.005643     0.004286
  -20.500000     0.006952     0.006522     0.007908
  -19.500000     0.010096     0.010158     0.013532
  -18.500000     0.016827     0.017079     0.021286
  -17.500000     0.025379     0.026994     0.031329
  -16.500000     0.037609     0.036426     0.040499
  -15.500000     0.044181     0.039853     0.047513
  -14.500000     0.042792     0.036155     0.048299
  -13.500000     0.031919     0.025526     0.039604
  -12.500000     0.018836     0.016395     0.026970
  -11.500000     0.008255     0.008302     0.013989
  -10.500000     0.002568     0.002479     0.004799
   -9.500000     0.000526     0.000478     0.001104
   -8.500000     0.000072     0.000121     0.000153
   -7.500000     0.000005     0.000066     0.000010
   -6.500000     0.000000     0.000047     0.000000
   -5.500000     0.000000     0.000017     0.000000
   -4.500000     0.000000     0.000000     0.000000
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000000     0.000000     0.000000
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000000
    3.500000     0.000000     0.000000     0.000000
    4.500000     0.000000     0.000000     0.000000
    5.500000     0.000000     0.000000     0.000000
    6.500000     0.000000     0.000000     0.000000
    7.500000     0.000014     0.000034     0.000043
    8.500000     0.000120     0.000199     0.000216
    9.500000     0.000562     0.000830     0.000812
   10.500000     0.002238     0.003361     0.002886
   11.500000     0.006041     0.009210     0.008667
   12.500000     0.013698     0.018657     0.019346
   13.500000     0.025823     0.032026     0.033865
   14.500000     0.038288     0.043905     0.047621
   15.500000     0.044809     0.049253     0.052593
   16.500000     0.041204     0.042719     0.047470
   17.500000     0.030040     0.030000     0.033802
   18.500000     0.019127     0.019226     0.021485
   19.500000     0.010942     0.011579     0.012627
   20.500000     0.006777     0.007196     0.007202
   21.500000     0.004415     0.004636     0.004733
   22.500000     0.003151     0.003129     0.003612
   23.500000     0.002405     0.002634     0.002790
   24.500000     0.002266     0.002693     0.002396
   25.500000     0.002393     0.002760     0.002232
   26.500000     0.002582     0.002750     0.002662
   27.500000     0.002883     0.002925     0.002961
   28.500000     0.003242     0.003240     0.003273
   29.500000     0.003679     0.003553     0.003612
