z	401-600ns	601-800ns	801-1000ns
  -70.500000     0.000005     0.000009     0.000000
  -69.500000     0.000026     0.000009     0.000010
  -68.500000     0.000048     0.000052     0.000000
  -67.500000     0.000154     0.000108     0.000050
  -66.500000     0.000429     0.000253     0.000110
  -65.500000     0.000736     0.000506     0.000409
  -64.500000     0.001250     0.000844     0.000728
  -63.500000     0.001922     0.001266     0.001456
  -62.500000     0.002250     0.001669     0.001641
  -61.500000     0.002647     0.001881     0.002030
  -60.500000     0.002737     0.002185     0.002194
  -59.500000     0.002515     0.002439     0.002075
  -58.500000     0.002563     0.002387     0.002269
  -57.500000     0.002563     0.002368     0.002055
  -56.500000     0.002552     0.002368     0.002035
  -55.500000     0.002557     0.002153     0.002189
  -54.500000     0.002091     0.002274     0.002344
  -53.500000     0.002218     0.002481     0.002374
  -52.500000     0.002298     0.002312     0.002678
  -51.500000     0.002213     0.002307     0.002479
  -50.500000     0.002001     0.002251     0.002613
  -49.500000     0.002271     0.002232     0.002788
  -48.500000     0.002293     0.002354     0.002389
  -47.500000     0.002097     0.002490     0.002239
  -46.500000     0.001985     0.002603     0.002194
  -45.500000     0.002197     0.002692     0.002100
  -44.500000     0.002218     0.002729     0.002199
  -43.500000     0.002229     0.002532     0.002164
  -42.500000     0.002144     0.002743     0.002070
  -41.500000     0.002144     0.002847     0.002369
  -40.500000     0.002060     0.002861     0.002479
  -39.500000     0.002462     0.002842     0.002608
  -38.500000     0.002398     0.003053     0.002364
  -37.500000     0.002303     0.002987     0.002354
  -36.500000     0.002271     0.002870     0.002229
  -35.500000     0.002303     0.003011     0.002065
  -34.500000     0.001880     0.002983     0.002040
  -33.500000     0.002229     0.002917     0.002110
  -32.500000     0.002245     0.002823     0.002229
  -31.500000     0.002155     0.002889     0.002124
  -30.500000     0.002075     0.002795     0.002354
  -29.500000     0.002250     0.002903     0.002309
  -28.500000     0.002282     0.002814     0.002623
  -27.500000     0.002134     0.003067     0.002798
  -26.500000     0.002091     0.002823     0.002668
  -25.500000     0.001938     0.002523     0.002324
  -24.500000     0.001557     0.002701     0.002154
  -23.500000     0.001355     0.002378     0.001496
  -22.500000     0.001191     0.002185     0.001506
  -21.500000     0.001588     0.002321     0.001716
  -20.500000     0.002510     0.003475     0.002823
  -19.500000     0.005655     0.005796     0.005496
  -18.500000     0.010536     0.010819     0.010957
  -17.500000     0.020416     0.020479     0.021963
  -16.500000     0.031857     0.033784     0.037603
  -15.500000     0.045951     0.051402     0.053940
  -14.500000     0.060326     0.064144     0.065884
  -13.500000     0.066372     0.068665     0.069111
  -12.500000     0.060723     0.061466     0.063306
  -11.500000     0.043680     0.042881     0.050200
  -10.500000     0.028442     0.024330     0.032975
   -9.500000     0.015232     0.011944     0.019380
   -8.500000     0.007195     0.004788     0.009710
   -7.500000     0.002748     0.001538     0.004229
