           z    400-600ns    600-800ns   800-1000ns
  -66.500000     0.000000     0.000000     0.000000
  -65.500000     0.000004     0.000003     0.000000
  -64.500000     0.000018     0.000013     0.000019
  -63.500000     0.000047     0.000047     0.000066
  -62.500000     0.000153     0.000181     0.000269
  -61.500000     0.000317     0.000610     0.000645
  -60.500000     0.000844     0.001196     0.001212
  -59.500000     0.001252     0.002027     0.002113
  -58.500000     0.001769     0.002794     0.002780
  -57.500000     0.002147     0.003366     0.003335
  -56.500000     0.002660     0.003688     0.003619
  -55.500000     0.002762     0.003798     0.003857
  -54.500000     0.002915     0.003822     0.003729
  -53.500000     0.003130     0.003624     0.003914
  -52.500000     0.003232     0.003554     0.003873
  -51.500000     0.003290     0.003628     0.003845
  -50.500000     0.003356     0.003628     0.004205
  -49.500000     0.003319     0.003614     0.003839
  -48.500000     0.003101     0.003832     0.003989
  -47.500000     0.003046     0.003731     0.003829
  -46.500000     0.002941     0.003701     0.004017
  -45.500000     0.002850     0.003755     0.003810
  -44.500000     0.002686     0.003745     0.003989
  -43.500000     0.002777     0.003668     0.004052
  -42.500000     0.002817     0.003594     0.004033
  -41.500000     0.002719     0.003604     0.004080
  -40.500000     0.002828     0.003852     0.004430
  -39.500000     0.002773     0.003795     0.004446
  -38.500000     0.002580     0.003755     0.004631
  -37.500000     0.002624     0.003986     0.004552
  -36.500000     0.002435     0.004123     0.004712
  -35.500000     0.002355     0.003966     0.005041
  -34.500000     0.002540     0.003946     0.005088
  -33.500000     0.002344     0.003946     0.005197
  -32.500000     0.002482     0.003788     0.005551
  -31.500000     0.002296     0.004147     0.005263
  -30.500000     0.002504     0.004003     0.005526
  -29.500000     0.002755     0.004030     0.005529
  -28.500000     0.003123     0.004026     0.005695
  -27.500000     0.003254     0.004177     0.005861
  -26.500000     0.003068     0.003718     0.005858
  -25.500000     0.003050     0.003500     0.005501
  -24.500000     0.002872     0.002971     0.005276
  -23.500000     0.002901     0.002676     0.004750
  -22.500000     0.002482     0.002264     0.004014
  -21.500000     0.002526     0.001986     0.003889
  -20.500000     0.003101     0.002693     0.003951
  -19.500000     0.004684     0.004840     0.005736
  -18.500000     0.008254     0.008843     0.009337
  -17.500000     0.014838     0.016266     0.016522
  -16.500000     0.023955     0.027926     0.027011
  -15.500000     0.037818     0.041950     0.040584
  -14.500000     0.049882     0.054672     0.051267
  -13.500000     0.055283     0.062396     0.058960
  -12.500000     0.053413     0.060879     0.056402
  -11.500000     0.042054     0.048857     0.045168
  -10.500000     0.028431     0.033834     0.029672
   -9.500000     0.016192     0.018781     0.015711
   -8.500000     0.008069     0.008803     0.007029
   -7.500000     0.003024     0.003303     0.002824
   -6.500000     0.000735     0.001293     0.000726
   -5.500000     0.000124     0.000312     0.000182
   -4.500000     0.000022     0.000084     0.000022
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000004     0.000000     0.000003
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000003
    3.500000     0.000018     0.000003     0.000022
    4.500000     0.000106     0.000074     0.000072
    5.500000     0.000353     0.000258     0.000244
    6.500000     0.001095     0.001303     0.000736
    7.500000     0.003457     0.003524     0.002442
    8.500000     0.009455     0.008615     0.006481
    9.500000     0.020246     0.016785     0.013952
   10.500000     0.034728     0.027701     0.024876
   11.500000     0.052506     0.040128     0.036388
   12.500000     0.064473     0.048948     0.044632
   13.500000     0.068276     0.050780     0.045569
   14.500000     0.056870     0.044047     0.039729
   15.500000     0.044310     0.032109     0.029347
   16.500000     0.028977     0.020141     0.018548
   17.500000     0.015941     0.011948     0.010852
   18.500000     0.008134     0.006850     0.006372
   19.500000     0.004120     0.003755     0.003591
   20.500000     0.002540     0.002271     0.002079
   21.500000     0.001736     0.002191     0.001819
   22.500000     0.001994     0.002351     0.002179
   23.500000     0.002657     0.002375     0.002931
   24.500000     0.003072     0.003095     0.003018
   25.500000     0.003035     0.003259     0.003529
   26.500000     0.003326     0.003293     0.003563
   27.500000     0.003563     0.003155     0.003889
   28.500000     0.003519     0.003306     0.003851
   29.500000     0.003632     0.003350     0.004108
   30.500000     0.003330     0.003410     0.003798
   31.500000     0.003272     0.003222     0.003789
   32.500000     0.003101     0.003162     0.003870
   33.500000     0.003003     0.003169     0.003857
   34.500000     0.002846     0.002770     0.003873
   35.500000     0.002832     0.002907     0.004196
   36.500000     0.002839     0.003021     0.003848
   37.500000     0.002864     0.002757     0.004127
   38.500000     0.002751     0.002995     0.003992
   39.500000     0.002850     0.002981     0.004005
   40.500000     0.002755     0.003005     0.004124
   41.500000     0.002912     0.003041     0.004089
   42.500000     0.002766     0.003095     0.004255
   43.500000     0.003094     0.003289     0.004233
   44.500000     0.003017     0.003393     0.004305
   45.500000     0.002995     0.003430     0.004521
   46.500000     0.002886     0.003430     0.004518
   47.500000     0.002875     0.003413     0.004696
   48.500000     0.003090     0.003504     0.004518
   49.500000     0.003144     0.003547     0.004098
   50.500000     0.003006     0.003691     0.004117
   51.500000     0.002930     0.003544     0.004052
   52.500000     0.003043     0.003561     0.003889
   53.500000     0.003046     0.003721     0.004036
   54.500000     0.002835     0.003514     0.003995
   55.500000     0.002802     0.003715     0.004192
   56.500000     0.002897     0.003748     0.004164
   57.500000     0.002915     0.003879     0.004055
   58.500000     0.002613     0.003798     0.004033
   59.500000     0.002704     0.003815     0.003989
   60.500000     0.002733     0.003675     0.003886
   61.500000     0.002548     0.003644     0.003814
   62.500000     0.002224     0.003058     0.003128
   63.500000     0.001893     0.002593     0.002495
   64.500000     0.001332     0.001661     0.001797
   65.500000     0.000772     0.001002     0.001021
   66.500000     0.000382     0.000399     0.000492
   67.500000     0.000098     0.000147     0.000207
   68.500000     0.000025     0.000064     0.000050
   69.500000     0.000007     0.000007     0.000019
   70.500000     0.000004     0.000000     0.000000
   71.500000     0.000000     0.000000     0.000000
