z	401-600ns	601-800ns	801-1000ns
  -68.500000     0.000000     0.000006     0.000006
  -67.500000     0.000000     0.000035     0.000006
  -66.500000     0.000000     0.000060     0.000026
  -65.500000     0.000000     0.000102     0.000029
  -64.500000     0.000000     0.000159     0.000048
  -63.500000     0.000000     0.000175     0.000071
  -62.500000     0.000006     0.000245     0.000071
  -61.500000     0.000013     0.000245     0.000110
  -60.500000     0.000016     0.000236     0.000091
  -59.500000     0.000013     0.000271     0.000074
  -58.500000     0.000016     0.000271     0.000094
  -57.500000     0.000035     0.000223     0.000142
  -56.500000     0.000038     0.000220     0.000136
  -55.500000     0.000016     0.000242     0.000120
  -54.500000     0.000022     0.000229     0.000171
  -53.500000     0.000026     0.000229     0.000155
  -52.500000     0.000032     0.000283     0.000191
  -51.500000     0.000038     0.000194     0.000133
  -50.500000     0.000032     0.000220     0.000142
  -49.500000     0.000022     0.000242     0.000168
  -48.500000     0.000026     0.000264     0.000133
  -47.500000     0.000019     0.000210     0.000129
  -46.500000     0.000022     0.000242     0.000116
  -45.500000     0.000019     0.000242     0.000149
  -44.500000     0.000013     0.000226     0.000136
  -43.500000     0.000026     0.000286     0.000188
  -42.500000     0.000010     0.000248     0.000136
  -41.500000     0.000029     0.000226     0.000165
  -40.500000     0.000013     0.000236     0.000165
  -39.500000     0.000045     0.000271     0.000133
  -38.500000     0.000032     0.000242     0.000120
  -37.500000     0.000032     0.000271     0.000145
  -36.500000     0.000026     0.000283     0.000103
  -35.500000     0.000045     0.000248     0.000139
  -34.500000     0.000026     0.000328     0.000113
  -33.500000     0.000038     0.000293     0.000129
  -32.500000     0.000048     0.000312     0.000152
  -31.500000     0.000058     0.000312     0.000129
  -30.500000     0.000048     0.000334     0.000097
  -29.500000     0.000032     0.000372     0.000136
  -28.500000     0.000010     0.000290     0.000116
  -27.500000     0.000054     0.000334     0.000120
  -26.500000     0.000029     0.000315     0.000139
  -25.500000     0.000016     0.000197     0.000129
  -24.500000     0.000045     0.000137     0.000097
  -23.500000     0.000032     0.000115     0.000120
  -22.500000     0.000064     0.000162     0.000091
  -21.500000     0.000070     0.000267     0.000152
  -20.500000     0.000099     0.000366     0.000252
  -19.500000     0.000265     0.000621     0.000356
  -18.500000     0.000575     0.001041     0.000540
  -17.500000     0.001237     0.001973     0.001410
  -16.500000     0.002679     0.004102     0.003268
  -15.500000     0.005678     0.007457     0.006663
  -14.500000     0.009822     0.011648     0.010985
  -13.500000     0.015637     0.016852     0.016449
  -12.500000     0.020535     0.021492     0.022853
  -11.500000     0.025299     0.025703     0.026470
  -10.500000     0.027659     0.027033     0.026852
   -9.500000     0.027502     0.027447     0.025840
   -8.500000     0.026651     0.025973     0.024799
   -7.500000     0.027607     0.026877     0.025025
   -6.500000     0.028630     0.028882     0.026687
   -5.500000     0.032035     0.031508     0.030744
   -4.500000     0.037253     0.036750     0.036020
   -3.500000     0.043395     0.042765     0.043743
   -2.500000     0.050304     0.049474     0.049453
   -1.500000     0.054617     0.053248     0.054428
   -0.500000     0.056036     0.055724     0.056316
    0.500000     0.055998     0.054992     0.056917
    1.500000     0.053658     0.052656     0.053852
    2.500000     0.049559     0.048493     0.049640
    3.500000     0.043388     0.041807     0.043973
    4.500000     0.037093     0.034611     0.037992
    5.500000     0.032371     0.029837     0.032428
    6.500000     0.029286     0.026648     0.029428
    7.500000     0.026623     0.025168     0.027945
    8.500000     0.026687     0.026008     0.027149
    9.500000     0.028170     0.026209     0.027689
   10.500000     0.028973     0.026743     0.027941
   11.500000     0.029014     0.025967     0.026784
   12.500000     0.024206     0.022539     0.022264
   13.500000     0.018003     0.017205     0.015524
   14.500000     0.010989     0.011031     0.009721
   15.500000     0.006199     0.006346     0.005447
   16.500000     0.003031     0.002960     0.002758
   17.500000     0.001202     0.001474     0.001338
   18.500000     0.000521     0.000691     0.000598
   19.500000     0.000198     0.000334     0.000239
   20.500000     0.000058     0.000175     0.000094
   21.500000     0.000003     0.000115     0.000026
   22.500000     0.000000     0.000054     0.000019
   23.500000     0.000000     0.000095     0.000019
   24.500000     0.000000     0.000216     0.000026
   25.500000     0.000000     0.000197     0.000074
   26.500000     0.000000     0.000178     0.000162
   27.500000     0.000000     0.000264     0.000168
   28.500000     0.000000     0.000302     0.000223
   29.500000     0.000000     0.000226     0.000239
   30.500000     0.000000     0.000267     0.000226
