           z    400-600ns    600-800ns   800-1000ns
  -69.500000     0.000000     0.000000     0.000000
  -68.500000     0.000000     0.000008     0.000000
  -67.500000     0.000000     0.000023     0.000000
  -66.500000     0.000035     0.000023     0.000000
  -65.500000     0.000026     0.000031     0.000000
  -64.500000     0.000105     0.000015     0.000023
  -63.500000     0.000070     0.000070     0.000039
  -62.500000     0.000035     0.000039     0.000016
  -61.500000     0.000079     0.000031     0.000047
  -60.500000     0.000044     0.000000     0.000039
  -59.500000     0.000035     0.000046     0.000016
  -58.500000     0.000035     0.000054     0.000016
  -57.500000     0.000061     0.000023     0.000008
  -56.500000     0.000026     0.000039     0.000008
  -55.500000     0.000044     0.000015     0.000031
  -54.500000     0.000070     0.000054     0.000016
  -53.500000     0.000061     0.000031     0.000000
  -52.500000     0.000026     0.000031     0.000008
  -51.500000     0.000070     0.000023     0.000000
  -50.500000     0.000052     0.000008     0.000016
  -49.500000     0.000044     0.000023     0.000016
  -48.500000     0.000105     0.000023     0.000008
  -47.500000     0.000009     0.000008     0.000023
  -46.500000     0.000070     0.000046     0.000000
  -45.500000     0.000052     0.000015     0.000023
  -44.500000     0.000044     0.000062     0.000000
  -43.500000     0.000026     0.000008     0.000023
  -42.500000     0.000052     0.000039     0.000031
  -41.500000     0.000070     0.000054     0.000039
  -40.500000     0.000026     0.000023     0.000016
  -39.500000     0.000052     0.000062     0.000031
  -38.500000     0.000061     0.000031     0.000008
  -37.500000     0.000061     0.000046     0.000023
  -36.500000     0.000079     0.000046     0.000023
  -35.500000     0.000052     0.000023     0.000047
  -34.500000     0.000035     0.000077     0.000062
  -33.500000     0.000035     0.000054     0.000070
  -32.500000     0.000052     0.000046     0.000086
  -31.500000     0.000017     0.000085     0.000101
  -30.500000     0.000052     0.000054     0.000039
  -29.500000     0.000009     0.000023     0.000062
  -28.500000     0.000000     0.000039     0.000054
  -27.500000     0.000009     0.000015     0.000023
  -26.500000     0.000009     0.000023     0.000039
  -25.500000     0.000035     0.000000     0.000023
  -24.500000     0.000026     0.000000     0.000016
  -23.500000     0.000061     0.000008     0.000023
  -22.500000     0.000052     0.000015     0.000023
  -21.500000     0.000148     0.000054     0.000016
