z	401-600ns	601-800ns	801-1000ns
  -71.500000     0.000000     0.000000     0.000000
  -70.500000     0.000016     0.000045     0.000077
  -69.500000     0.000081     0.000045     0.000352
  -68.500000     0.000260     0.000193     0.000689
  -67.500000     0.000749     0.000801     0.001287
  -66.500000     0.001302     0.001796     0.002497
  -65.500000     0.002703     0.002820     0.003247
  -64.500000     0.004087     0.004720     0.004136
  -63.500000     0.005617     0.005106     0.005346
  -62.500000     0.006284     0.005699     0.005637
  -61.500000     0.007587     0.006263     0.005912
  -60.500000     0.007424     0.006931     0.005790
  -59.500000     0.007261     0.006189     0.005453
  -58.500000     0.007392     0.006323     0.005085
  -57.500000     0.007945     0.006620     0.005162
  -56.500000     0.007929     0.006649     0.005254
  -55.500000     0.007050     0.006531     0.005284
  -54.500000     0.007424     0.006278     0.004840
  -53.500000     0.007310     0.007317     0.005575
  -52.500000     0.007864     0.007124     0.004932
  -51.500000     0.007847     0.007451     0.004963
  -50.500000     0.008189     0.006605     0.005483
  -49.500000     0.007864     0.007288     0.005621
  -48.500000     0.007880     0.007199     0.005223
  -47.500000     0.008271     0.006649     0.004473
  -46.500000     0.007652     0.006560     0.005223
  -45.500000     0.008124     0.007109     0.004672
  -44.500000     0.007701     0.006635     0.004641
  -43.500000     0.007701     0.006724     0.004978
  -42.500000     0.007945     0.007065     0.004595
  -41.500000     0.007489     0.007095     0.004733
  -40.500000     0.007245     0.007139     0.004978
  -39.500000     0.006529     0.006679     0.004794
  -38.500000     0.007603     0.007124     0.004702
  -37.500000     0.007278     0.006753     0.004794
  -36.500000     0.006871     0.007124     0.005453
  -35.500000     0.007489     0.006605     0.005744
  -34.500000     0.007750     0.006679     0.005407
  -33.500000     0.007392     0.006471     0.005407
  -32.500000     0.006887     0.006724     0.004978
  -31.500000     0.007115     0.006560     0.005085
  -30.500000     0.007278     0.006813     0.005560
  -29.500000     0.005943     0.006011     0.004825
  -28.500000     0.006105     0.006145     0.004519
  -27.500000     0.006626     0.005996     0.004963
  -26.500000     0.006008     0.005269     0.003952
  -25.500000     0.005129     0.004275     0.003845
  -24.500000     0.003826     0.003562     0.003017
  -23.500000     0.003272     0.002761     0.002037
  -22.500000     0.003224     0.002597     0.001930
  -21.500000     0.002540     0.002672     0.001807
  -20.500000     0.001937     0.003443     0.001807
  -19.500000     0.002296     0.005091     0.002742
  -18.500000     0.003093     0.007881     0.004166
  -17.500000     0.005519     0.011696     0.006203
  -16.500000     0.010111     0.018078     0.011197
  -15.500000     0.017828     0.020660     0.013770
  -14.500000     0.024715     0.023599     0.016711
  -13.500000     0.029566     0.025826     0.016787
  -12.500000     0.029094     0.021878     0.015700
  -11.500000     0.026131     0.017009     0.011748
  -10.500000     0.017404     0.012215     0.007322
   -9.500000     0.010322     0.008430     0.003936
   -8.500000     0.006089     0.004853     0.001731
   -7.500000     0.003093     0.002939     0.000904
   -6.500000     0.001351     0.001588     0.000735
   -5.500000     0.000602     0.000549     0.000490
   -4.500000     0.000407     0.000134     0.000123
   -3.500000     0.000065     0.000045     0.000046
   -2.500000     0.000163     0.000015     0.000000
   -1.500000     0.000098     0.000000     0.000000
   -0.500000     0.000358     0.000000     0.000000
    0.500000     0.000326     0.000000     0.000000
    1.500000     0.000374     0.000000     0.000000
    2.500000     0.000440     0.000030     0.000000
    3.500000     0.000488     0.000089     0.000031
    4.500000     0.000651     0.000490     0.000184
    5.500000     0.001319     0.001069     0.000689
    6.500000     0.001710     0.001544     0.003293
    7.500000     0.003875     0.003161     0.007980
    8.500000     0.006610     0.006590     0.011993
    9.500000     0.011429     0.013670     0.021704
   10.500000     0.015858     0.025529     0.036669
   11.500000     0.019342     0.035429     0.051189
   12.500000     0.022956     0.041158     0.053181
   13.500000     0.027792     0.039792     0.052108
   14.500000     0.026880     0.034345     0.049014
   15.500000     0.020726     0.026345     0.035076
   16.500000     0.014279     0.016549     0.024017
   17.500000     0.010387     0.010404     0.016006
   18.500000     0.005552     0.005358     0.012039
   19.500000     0.003240     0.002790     0.007322
   20.500000     0.003142     0.002449     0.005729
   21.500000     0.002507     0.002583     0.004473
   22.500000     0.003207     0.003028     0.005039
   23.500000     0.004966     0.003325     0.004519
   24.500000     0.005112     0.004913     0.004901
   25.500000     0.005340     0.004720     0.005912
   26.500000     0.006284     0.005210     0.006602
   27.500000     0.005959     0.005269     0.006985
   28.500000     0.005812     0.006323     0.007260
   29.500000     0.005829     0.006664     0.007046
   30.500000     0.006301     0.006976     0.006602
   31.500000     0.006398     0.006353     0.007015
   32.500000     0.007196     0.006738     0.006954
   33.500000     0.006740     0.006783     0.007061
   34.500000     0.006692     0.006085     0.006142
   35.500000     0.006171     0.006026     0.006602
   36.500000     0.006236     0.005670     0.005744
   37.500000     0.006008     0.006471     0.005606
   38.500000     0.006366     0.006516     0.005346
   39.500000     0.006529     0.005952     0.005284
   40.500000     0.006838     0.006649     0.005591
   41.500000     0.006187     0.006887     0.005361
   42.500000     0.006594     0.006234     0.005131
   43.500000     0.007310     0.006976     0.005070
   44.500000     0.006561     0.005892     0.004871
   45.500000     0.006854     0.006071     0.005300
   46.500000     0.007180     0.005907     0.005009
   47.500000     0.007180     0.005833     0.005177
   48.500000     0.007408     0.005833     0.005438
   49.500000     0.007799     0.005358     0.004947
   50.500000     0.007408     0.005952     0.005162
   51.500000     0.006545     0.006071     0.005024
   52.500000     0.007750     0.005863     0.005300
   53.500000     0.008189     0.006026     0.005759
   54.500000     0.007440     0.005833     0.005560
   55.500000     0.007864     0.005759     0.006127
   56.500000     0.007636     0.005417     0.006234
   57.500000     0.007734     0.006590     0.005606
   58.500000     0.006496     0.005952     0.005912
   59.500000     0.007864     0.005863     0.005897
   60.500000     0.007164     0.005403     0.006157
   61.500000     0.006985     0.004972     0.006020
   62.500000     0.007294     0.005536     0.005698
   63.500000     0.007115     0.004972     0.005866
   64.500000     0.006854     0.005121     0.005958
   65.500000     0.005910     0.005076     0.005958
   66.500000     0.004461     0.004631     0.005438
   67.500000     0.003338     0.003265     0.004151
   68.500000     0.001807     0.002048     0.003462
   69.500000     0.001237     0.001158     0.002573
   70.500000     0.000440     0.000564     0.001210
   71.500000     0.000179     0.000104     0.000398
   72.500000     0.000033     0.000074     0.000230
   73.500000     0.000016     0.000000     0.000015
   74.500000     0.000000     0.000000     0.000000
