           z    400-600ns    600-800ns   800-1000ns
  -69.500000     0.000000     0.000000     0.000000
  -68.500000     0.000000     0.000000     0.000009
  -67.500000     0.000000     0.000026     0.000055
  -66.500000     0.000007     0.000166     0.000238
  -65.500000     0.000065     0.000280     0.000394
  -64.500000     0.000182     0.000560     0.000816
  -63.500000     0.000494     0.001023     0.001347
  -62.500000     0.000618     0.001522     0.001741
  -61.500000     0.000923     0.001688     0.002080
  -60.500000     0.001141     0.001863     0.002181
  -59.500000     0.001453     0.001942     0.002355
  -58.500000     0.001497     0.002248     0.002383
  -57.500000     0.001344     0.002090     0.002364
  -56.500000     0.001272     0.001802     0.002493
  -55.500000     0.001453     0.001705     0.002465
  -54.500000     0.001257     0.002108     0.002511
  -53.500000     0.001330     0.002221     0.002383
  -52.500000     0.001315     0.001942     0.002263
  -51.500000     0.001199     0.001793     0.002108
  -50.500000     0.001185     0.002073     0.002208
  -49.500000     0.001272     0.002186     0.001989
  -48.500000     0.001199     0.001994     0.001989
  -47.500000     0.001192     0.002090     0.002172
  -46.500000     0.001374     0.002300     0.002135
  -45.500000     0.001323     0.002151     0.002080
  -44.500000     0.001199     0.002370     0.002254
  -43.500000     0.001323     0.002300     0.002089
  -42.500000     0.001112     0.002449     0.002080
  -41.500000     0.001141     0.002230     0.001704
  -40.500000     0.001206     0.002186     0.001888
  -39.500000     0.001192     0.002458     0.002062
  -38.500000     0.001083     0.002562     0.002135
  -37.500000     0.000974     0.002081     0.002126
  -36.500000     0.001119     0.002239     0.002025
  -35.500000     0.000879     0.002283     0.002034
  -34.500000     0.000981     0.002081     0.001906
  -33.500000     0.000959     0.002064     0.001677
  -32.500000     0.000901     0.001775     0.001924
  -31.500000     0.001010     0.001898     0.002089
  -30.500000     0.000821     0.001697     0.002007
  -29.500000     0.000799     0.001880     0.001695
  -28.500000     0.000727     0.001417     0.002025
  -27.500000     0.000858     0.001443     0.001723
  -26.500000     0.000661     0.001487     0.001567
  -25.500000     0.000683     0.001198     0.001375
  -24.500000     0.000567     0.001128     0.001145
  -23.500000     0.000712     0.001058     0.001054
  -22.500000     0.000698     0.001137     0.000999
  -21.500000     0.001308     0.001233     0.000944
  -20.500000     0.002049     0.001845     0.001310
  -19.500000     0.003379     0.003376     0.002227
  -18.500000     0.006199     0.006813     0.004261
  -17.500000     0.011831     0.012515     0.006964
  -16.500000     0.020589     0.021882     0.013397
  -15.500000     0.035465     0.037047     0.022369
  -14.500000     0.050749     0.051783     0.032925
  -13.500000     0.064957     0.063774     0.043152
  -12.500000     0.072312     0.069432     0.048146
  -11.500000     0.067689     0.062847     0.045241
  -10.500000     0.056970     0.048635     0.037021
   -9.500000     0.043154     0.033505     0.025979
   -8.500000     0.028896     0.019931     0.015551
   -7.500000     0.018212     0.010574     0.009237
   -6.500000     0.009528     0.005204     0.004646
   -5.500000     0.004651     0.002790     0.002346
   -4.500000     0.002260     0.001697     0.001503
   -3.500000     0.001119     0.001294     0.001026
   -2.500000     0.000618     0.001496     0.000724
   -1.500000     0.000538     0.001758     0.000715
   -0.500000     0.000676     0.002125     0.000651
    0.500000     0.000981     0.002335     0.000715
    1.500000     0.001177     0.002536     0.001164
    2.500000     0.000974     0.002178     0.001356
    3.500000     0.001032     0.002475     0.002025
    4.500000     0.001592     0.003044     0.002987
    5.500000     0.003423     0.004941     0.005031
    6.500000     0.006628     0.006935     0.007954
    7.500000     0.012304     0.011544     0.013113
    8.500000     0.019063     0.019652     0.021626
    9.500000     0.030124     0.030855     0.035244
   10.500000     0.042042     0.042014     0.054249
   11.500000     0.051432     0.048818     0.066125
   12.500000     0.052609     0.050087     0.071825
   13.500000     0.050131     0.045250     0.064082
   14.500000     0.039978     0.034983     0.051995
   15.500000     0.029448     0.024497     0.037040
   16.500000     0.018859     0.016451     0.023972
   17.500000     0.011374     0.010556     0.013892
   18.500000     0.006461     0.006209     0.008055
   19.500000     0.003954     0.002939     0.004893
   20.500000     0.002355     0.001557     0.002712
   21.500000     0.001468     0.001233     0.001851
   22.500000     0.001032     0.001242     0.001439
   23.500000     0.000952     0.001102     0.001714
   24.500000     0.001235     0.001242     0.002263
   25.500000     0.001352     0.001627     0.002538
   26.500000     0.001519     0.001968     0.002474
   27.500000     0.001490     0.002274     0.002511
   28.500000     0.001417     0.002116     0.002236
   29.500000     0.001359     0.002020     0.002612
   30.500000     0.001519     0.002178     0.002181
   31.500000     0.001337     0.002169     0.002465
   32.500000     0.001403     0.002283     0.002016
   33.500000     0.001228     0.002213     0.001998
   34.500000     0.001417     0.001968     0.002153
   35.500000     0.001563     0.002143     0.002208
   36.500000     0.001635     0.002003     0.002346
   37.500000     0.001432     0.002020     0.002337
   38.500000     0.001286     0.001889     0.002053
   39.500000     0.001337     0.002046     0.002227
   40.500000     0.001141     0.001767     0.001906
   41.500000     0.001185     0.001802     0.001714
   42.500000     0.001417     0.001749     0.002117
