z	401-600ns	601-800ns	801-1000ns
  -74.500000     0.000026     0.000000     0.000000
  -73.500000     0.000051     0.000000     0.000000
  -72.500000     0.000154     0.000000     0.000000
  -71.500000     0.000257     0.000013     0.000053
  -70.500000     0.000629     0.000119     0.000225
  -69.500000     0.001297     0.000450     0.000557
  -68.500000     0.002517     0.001496     0.001127
  -67.500000     0.004200     0.003218     0.002056
  -66.500000     0.006190     0.004781     0.003953
  -65.500000     0.007654     0.007919     0.005757
  -64.500000     0.008785     0.009588     0.007508
  -63.500000     0.009388     0.010674     0.009590
  -62.500000     0.010223     0.011680     0.010373
  -61.500000     0.010005     0.011680     0.011049
  -60.500000     0.009491     0.011468     0.011633
  -59.500000     0.010839     0.011428     0.012137
  -58.500000     0.009722     0.011707     0.011978
  -57.500000     0.010608     0.011177     0.011566
  -56.500000     0.010955     0.011071     0.011460
  -55.500000     0.010531     0.011124     0.011659
  -54.500000     0.010518     0.010104     0.011871
  -53.500000     0.010660     0.010833     0.011381
  -52.500000     0.011019     0.010184     0.012402
  -51.500000     0.011135     0.011124     0.012415
  -50.500000     0.010942     0.010210     0.012429
  -49.500000     0.010724     0.010462     0.011739
  -48.500000     0.010711     0.010886     0.011686
  -47.500000     0.009684     0.011654     0.011367
  -46.500000     0.010030     0.011256     0.011036
  -45.500000     0.010403     0.011309     0.010943
  -44.500000     0.010146     0.011548     0.010532
  -43.500000     0.010236     0.011601     0.010625
  -42.500000     0.010120     0.011720     0.010956
  -41.500000     0.010557     0.011786     0.010744
  -40.500000     0.009825     0.011534     0.010824
  -39.500000     0.010364     0.012250     0.010598
  -38.500000     0.010287     0.012435     0.010266
  -37.500000     0.010428     0.011640     0.011168
  -36.500000     0.009838     0.012647     0.011129
  -35.500000     0.010981     0.011932     0.010691
  -34.500000     0.010223     0.011627     0.011168
  -33.500000     0.009773     0.012726     0.011726
  -32.500000     0.009940     0.013614     0.011633
  -31.500000     0.010750     0.012806     0.011832
  -30.500000     0.009440     0.012024     0.010784
  -29.500000     0.009106     0.011402     0.011182
  -28.500000     0.009260     0.010025     0.010346
  -27.500000     0.008053     0.008277     0.009338
  -26.500000     0.007256     0.007972     0.007693
  -25.500000     0.005625     0.006489     0.006115
  -24.500000     0.004174     0.005297     0.004802
  -23.500000     0.002761     0.002940     0.002905
  -22.500000     0.001798     0.002172     0.002295
  -21.500000     0.001079     0.001404     0.001446
  -20.500000     0.000796     0.000940     0.001313
  -19.500000     0.000745     0.000503     0.001406
  -18.500000     0.000668     0.000358     0.001247
  -17.500000     0.000334     0.000344     0.001021
  -16.500000     0.000231     0.000583     0.000783
  -15.500000     0.000039     0.000755     0.001300
  -14.500000     0.000013     0.000689     0.001127
  -13.500000     0.000000     0.000437     0.000411
  -12.500000     0.000000     0.000305     0.000305
  -11.500000     0.000000     0.000093     0.000066
  -10.500000     0.000000     0.000013     0.000000
   -9.500000     0.000000     0.000000     0.000000
   -8.500000     0.000000     0.000000     0.000000
   -7.500000     0.000000     0.000000     0.000000
   -6.500000     0.000000     0.000000     0.000000
   -5.500000     0.000000     0.000000     0.000000
   -4.500000     0.000000     0.000000     0.000000
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000000     0.000000     0.000000
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000000
    3.500000     0.000000     0.000000     0.000000
    4.500000     0.000000     0.000000     0.000000
    5.500000     0.000000     0.000000     0.000000
    6.500000     0.000000     0.000000     0.000000
    7.500000     0.000013     0.000000     0.000000
    8.500000     0.000013     0.000000     0.000000
    9.500000     0.000026     0.000000     0.000000
   10.500000     0.000051     0.000000     0.000000
   11.500000     0.000051     0.000000     0.000000
   12.500000     0.000193     0.000000     0.000013
   13.500000     0.000141     0.000000     0.000053
   14.500000     0.000334     0.000026     0.000093
   15.500000     0.000334     0.000079     0.000212
   16.500000     0.000411     0.000119     0.000239
   17.500000     0.000771     0.000119     0.000358
   18.500000     0.000514     0.000093     0.000332
   19.500000     0.000745     0.000225     0.000623
   20.500000     0.000989     0.000583     0.000796
   21.500000     0.001259     0.000953     0.001194
   22.500000     0.001759     0.002026     0.001910
   23.500000     0.002890     0.003086     0.002706
   24.500000     0.004906     0.004450     0.004019
   25.500000     0.006332     0.005403     0.004855
   26.500000     0.008091     0.006462     0.006393
   27.500000     0.009401     0.008012     0.007919
   28.500000     0.010801     0.010091     0.009404
   29.500000     0.012393     0.011495     0.010028
   30.500000     0.012689     0.012091     0.011832
   31.500000     0.013151     0.011402     0.011951
   32.500000     0.012599     0.012700     0.012017
   33.500000     0.012586     0.011561     0.011381
   34.500000     0.013652     0.011654     0.012097
   35.500000     0.013138     0.011707     0.011739
   36.500000     0.013203     0.011177     0.011805
   37.500000     0.013793     0.011190     0.011792
   38.500000     0.012560     0.011044     0.011168
   39.500000     0.012548     0.011707     0.011964
   40.500000     0.012753     0.011534     0.012322
   41.500000     0.012779     0.011958     0.012177
   42.500000     0.012278     0.011561     0.012057
   43.500000     0.012162     0.011164     0.012641
   44.500000     0.012304     0.011534     0.012402
   45.500000     0.012881     0.012289     0.012853
   46.500000     0.011456     0.012064     0.013105
   47.500000     0.011649     0.012422     0.012826
   48.500000     0.011790     0.012077     0.012614
   49.500000     0.011803     0.011521     0.013662
   50.500000     0.011430     0.012038     0.013105
   51.500000     0.011649     0.012965     0.012362
   52.500000     0.011225     0.011693     0.012574
   53.500000     0.011880     0.011985     0.012309
   54.500000     0.011931     0.012501     0.012442
   55.500000     0.012304     0.012806     0.012734
   56.500000     0.012149     0.012408     0.013224
   57.500000     0.012740     0.012104     0.013450
   58.500000     0.012869     0.011442     0.012070
   59.500000     0.012252     0.012024     0.012349
   60.500000     0.012637     0.011866     0.012163
   61.500000     0.012612     0.011866     0.013211
   62.500000     0.012612     0.011084     0.011447
   63.500000     0.012727     0.010502     0.011023
   64.500000     0.012278     0.010925     0.011566
   65.500000     0.011713     0.010290     0.010134
   66.500000     0.011559     0.010316     0.009391
   67.500000     0.010904     0.009111     0.008489
   68.500000     0.010210     0.009151     0.007959
   69.500000     0.008618     0.006648     0.005651
   70.500000     0.006588     0.004264     0.003780
   71.500000     0.004251     0.002357     0.001910
   72.500000     0.002055     0.001046     0.000902
   73.500000     0.001297     0.000463     0.000318
   74.500000     0.000488     0.000066     0.000133
   75.500000     0.000360     0.000000     0.000027
   76.500000     0.000141     0.000000     0.000000
   77.500000     0.000128     0.000000     0.000000
   78.500000     0.000013     0.000000     0.000000
