           z         mean           se
  -24.500000     0.000001     0.000001
  -23.500000     0.000000     0.000000
  -22.500000     0.000000     0.000000
  -21.500000     0.000000     0.000000
  -20.500000     0.000004     0.000002
  -19.500000     0.000010     0.000003
  -18.500000     0.000063     0.000012
  -17.500000     0.000195     0.000024
  -16.500000     0.000535     0.000046
  -15.500000     0.001337     0.000095
  -14.500000     0.002846     0.000150
  -13.500000     0.005190     0.000153
  -12.500000     0.008445     0.000198
  -11.500000     0.012234     0.000243
  -10.500000     0.015680     0.000380
   -9.500000     0.018935     0.000303
   -8.500000     0.021820     0.000275
   -7.500000     0.025394     0.000277
   -6.500000     0.030336     0.000267
   -5.500000     0.037028     0.000343
   -4.500000     0.046254     0.000502
   -3.500000     0.056428     0.000490
   -2.500000     0.066016     0.000538
   -1.500000     0.074053     0.000470
   -0.500000     0.078336     0.000666
    0.500000     0.078188     0.000577
    1.500000     0.074216     0.000443
    2.500000     0.066453     0.000434
    3.500000     0.056574     0.000233
    4.500000     0.046354     0.000377
    5.500000     0.037216     0.000413
    6.500000     0.030224     0.000401
    7.500000     0.025192     0.000452
    8.500000     0.021601     0.000366
    9.500000     0.018531     0.000414
   10.500000     0.015280     0.000342
   11.500000     0.011924     0.000362
   12.500000     0.008122     0.000275
   13.500000     0.004859     0.000196
   14.500000     0.002455     0.000107
   15.500000     0.001060     0.000072
   16.500000     0.000406     0.000040
   17.500000     0.000146     0.000017
   18.500000     0.000045     0.000010
   19.500000     0.000010     0.000004
   20.500000     0.000004     0.000003
   21.500000     0.000000     0.000000
   22.500000     0.000000     0.000000
