           z    400-600ns    600-800ns   800-1000ns
  -21.500000     0.000000     0.000000     0.000004
  -20.500000     0.000000     0.000000     0.000004
  -19.500000     0.000008     0.000000     0.000012
  -18.500000     0.000045     0.000004     0.000025
  -17.500000     0.000158     0.000092     0.000150
  -16.500000     0.000519     0.000369     0.000678
  -15.500000     0.001112     0.001015     0.001423
  -14.500000     0.002239     0.002094     0.002909
  -13.500000     0.004239     0.003842     0.004898
  -12.500000     0.006917     0.006405     0.008243
  -11.500000     0.010763     0.009891     0.011685
  -10.500000     0.014073     0.013389     0.014806
   -9.500000     0.017489     0.017002     0.017103
   -8.500000     0.020799     0.019698     0.020503
   -7.500000     0.024686     0.023227     0.024681
   -6.500000     0.030593     0.029841     0.030315
   -5.500000     0.037729     0.037783     0.037227
   -4.500000     0.047364     0.046366     0.046652
   -3.500000     0.057368     0.058058     0.058416
   -2.500000     0.068269     0.068828     0.069980
   -1.500000     0.076784     0.077359     0.078935
   -0.500000     0.081863     0.082128     0.083608
    0.500000     0.081932     0.081169     0.082822
    1.500000     0.076123     0.076998     0.078373
    2.500000     0.068329     0.067841     0.068607
    3.500000     0.057822     0.057513     0.057034
    4.500000     0.045319     0.046575     0.045462
    5.500000     0.035923     0.037222     0.034913
    6.500000     0.029128     0.030102     0.027331
    7.500000     0.023229     0.025100     0.021976
    8.500000     0.019302     0.020813     0.018472
    9.500000     0.016913     0.017821     0.015326
   10.500000     0.014329     0.014564     0.012609
   11.500000     0.010868     0.011150     0.009550
   12.500000     0.008024     0.007661     0.007082
   13.500000     0.004698     0.004380     0.004428
   14.500000     0.002759     0.002194     0.002214
   15.500000     0.001351     0.000810     0.000965
   16.500000     0.000564     0.000473     0.000404
   17.500000     0.000247     0.000189     0.000137
   18.500000     0.000105     0.000032     0.000029
   19.500000     0.000016     0.000000     0.000008
   20.500000     0.000000     0.000000     0.000000
   21.500000     0.000000     0.000000     0.000000
