           z    400-600ns    600-800ns   800-1000ns
  -70.500000     0.000000     0.000000     0.000000
  -69.500000     0.000000     0.000009     0.000000
  -68.500000     0.000000     0.000018     0.000000
  -67.500000     0.000069     0.000061     0.000000
  -66.500000     0.000147     0.000290     0.000008
  -65.500000     0.000344     0.000606     0.000106
  -64.500000     0.001042     0.001274     0.000327
  -63.500000     0.002281     0.002003     0.000630
  -62.500000     0.004041     0.002881     0.001244
  -61.500000     0.005841     0.004173     0.002021
  -60.500000     0.006608     0.005078     0.003118
  -59.500000     0.007542     0.005754     0.003994
  -58.500000     0.006923     0.005174     0.003863
  -57.500000     0.007473     0.005359     0.004223
  -56.500000     0.007100     0.005543     0.004174
  -55.500000     0.007640     0.005666     0.004035
  -54.500000     0.007463     0.005420     0.004567
  -53.500000     0.007424     0.005965     0.004133
  -52.500000     0.007218     0.005798     0.004313
  -51.500000     0.007621     0.006264     0.004125
  -50.500000     0.007031     0.006185     0.004067
  -49.500000     0.007483     0.006404     0.003609
  -48.500000     0.007316     0.006800     0.003781
  -47.500000     0.007640     0.006211     0.003290
  -46.500000     0.008221     0.006070     0.003274
  -45.500000     0.007601     0.006598     0.003012
  -44.500000     0.007749     0.006439     0.002733
  -43.500000     0.007306     0.006448     0.002750
  -42.500000     0.007129     0.006448     0.002823
  -41.500000     0.007326     0.005745     0.002529
  -40.500000     0.006480     0.005763     0.002750
  -39.500000     0.006519     0.005842     0.002660
  -38.500000     0.007316     0.005350     0.002660
  -37.500000     0.006254     0.005649     0.002472
  -36.500000     0.007109     0.004946     0.002349
  -35.500000     0.006401     0.004884     0.001931
  -34.500000     0.005998     0.004313     0.001792
  -33.500000     0.005507     0.004173     0.001948
  -32.500000     0.005123     0.003409     0.001596
  -31.500000     0.004366     0.003259     0.001260
  -30.500000     0.003599     0.002890     0.000990
  -29.500000     0.003029     0.002706     0.000990
  -28.500000     0.002183     0.002416     0.000687
  -27.500000     0.001937     0.002363     0.000336
  -26.500000     0.001878     0.002223     0.000417
  -25.500000     0.001701     0.002539     0.000671
  -24.500000     0.002350     0.003189     0.001236
  -23.500000     0.002901     0.004516     0.002267
  -22.500000     0.005162     0.007792     0.003503
  -21.500000     0.009017     0.011579     0.007087
  -20.500000     0.010944     0.012791     0.014469
  -19.500000     0.011829     0.016358     0.023521
  -18.500000     0.012115     0.021717     0.031558
  -17.500000     0.014307     0.031125     0.044979
  -16.500000     0.019558     0.037196     0.048482
  -15.500000     0.023885     0.036967     0.051339
  -14.500000     0.021220     0.031529     0.045520
  -13.500000     0.013865     0.024598     0.034537
  -12.500000     0.007985     0.015558     0.021008
  -11.500000     0.003471     0.006290     0.010148
  -10.500000     0.001032     0.002117     0.002603
   -9.500000     0.000079     0.000378     0.000327
   -8.500000     0.000000     0.000202     0.000008
   -7.500000     0.000000     0.000026     0.000000
   -6.500000     0.000000     0.000000     0.000000
   -5.500000     0.000000     0.000000     0.000000
   -4.500000     0.000000     0.000000     0.000000
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000000     0.000000     0.000000
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000000
    3.500000     0.000000     0.000000     0.000000
    4.500000     0.000000     0.000000     0.000000
    5.500000     0.000000     0.000000     0.000000
    6.500000     0.000000     0.000000     0.000000
    7.500000     0.000000     0.000000     0.000074
    8.500000     0.000059     0.000018     0.000761
    9.500000     0.000374     0.000694     0.002062
   10.500000     0.002429     0.003865     0.004395
   11.500000     0.006942     0.010507     0.009002
   12.500000     0.014406     0.020346     0.020476
   13.500000     0.026088     0.036142     0.042066
   14.500000     0.046059     0.051243     0.059228
   15.500000     0.059442     0.055688     0.066561
   16.500000     0.059226     0.049671     0.064032
   17.500000     0.052952     0.036563     0.053090
   18.500000     0.040730     0.028885     0.038023
   19.500000     0.026658     0.022138     0.027785
   20.500000     0.019077     0.015014     0.017710
   21.500000     0.012724     0.009558     0.011032
   22.500000     0.009204     0.006053     0.007202
   23.500000     0.006578     0.003734     0.004436
   24.500000     0.004051     0.003163     0.002308
   25.500000     0.002321     0.002451     0.001874
   26.500000     0.001603     0.001985     0.001612
   27.500000     0.002006     0.001985     0.001743
   28.500000     0.002006     0.001915     0.001391
   29.500000     0.002232     0.002398     0.001457
