z	401-600ns	601-800ns	801-1000ns
  -65.500000     0.000005     0.000000     0.000000
  -64.500000     0.000009     0.000000     0.000000
  -63.500000     0.000027     0.000005     0.000013
  -62.500000     0.000027     0.000032     0.000025
  -61.500000     0.000063     0.000063     0.000063
  -60.500000     0.000099     0.000159     0.000042
  -59.500000     0.000189     0.000240     0.000092
  -58.500000     0.000307     0.000403     0.000201
  -57.500000     0.000325     0.000426     0.000231
  -56.500000     0.000365     0.000490     0.000210
  -55.500000     0.000270     0.000458     0.000260
  -54.500000     0.000316     0.000490     0.000289
  -53.500000     0.000374     0.000517     0.000206
  -52.500000     0.000352     0.000675     0.000189
  -51.500000     0.000266     0.000585     0.000201
  -50.500000     0.000189     0.000680     0.000239
  -49.500000     0.000252     0.000657     0.000189
  -48.500000     0.000221     0.000626     0.000218
  -47.500000     0.000266     0.000630     0.000248
  -46.500000     0.000248     0.000689     0.000294
  -45.500000     0.000261     0.000671     0.000268
  -44.500000     0.000261     0.000626     0.000252
  -43.500000     0.000266     0.000626     0.000277
  -42.500000     0.000270     0.000580     0.000239
  -41.500000     0.000225     0.000571     0.000281
  -40.500000     0.000162     0.000558     0.000243
  -39.500000     0.000162     0.000508     0.000235
  -38.500000     0.000126     0.000639     0.000310
  -37.500000     0.000153     0.000639     0.000281
  -36.500000     0.000144     0.000621     0.000310
  -35.500000     0.000063     0.000576     0.000298
  -34.500000     0.000099     0.000662     0.000285
  -33.500000     0.000063     0.000617     0.000390
  -32.500000     0.000045     0.000594     0.000373
  -31.500000     0.000072     0.000621     0.000369
  -30.500000     0.000095     0.000576     0.000373
  -29.500000     0.000086     0.000589     0.000336
  -28.500000     0.000108     0.000585     0.000340
  -27.500000     0.000185     0.000594     0.000369
  -26.500000     0.000167     0.000594     0.000411
  -25.500000     0.000153     0.000539     0.000336
  -24.500000     0.000162     0.000317     0.000315
  -23.500000     0.000225     0.000422     0.000331
  -22.500000     0.000343     0.000571     0.000491
  -21.500000     0.000654     0.001043     0.000877
  -20.500000     0.001524     0.001881     0.002194
  -19.500000     0.003836     0.003985     0.004795
  -18.500000     0.008831     0.008305     0.009368
  -17.500000     0.018608     0.017144     0.017330
  -16.500000     0.035035     0.032543     0.030020
  -15.500000     0.056406     0.053065     0.044586
  -14.500000     0.077426     0.077009     0.061198
  -13.500000     0.092428     0.095191     0.074727
  -12.500000     0.090463     0.097122     0.079439
  -11.500000     0.075420     0.081469     0.073775
  -10.500000     0.054013     0.058446     0.058136
   -9.500000     0.033416     0.037054     0.037219
   -8.500000     0.017450     0.018890     0.020934
   -7.500000     0.006194     0.008015     0.009947
   -6.500000     0.002182     0.002783     0.003822
   -5.500000     0.000712     0.000707     0.001170
   -4.500000     0.000180     0.000177     0.000168
   -3.500000     0.000005     0.000018     0.000008
   -2.500000     0.000000     0.000018     0.000000
   -1.500000     0.000000     0.000000     0.000004
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000004
    2.500000     0.000000     0.000005     0.000017
    3.500000     0.000023     0.000041     0.000071
    4.500000     0.000230     0.000127     0.000273
    5.500000     0.000784     0.000245     0.000764
    6.500000     0.002092     0.000947     0.002169
    7.500000     0.005216     0.003314     0.005840
    8.500000     0.010575     0.008536     0.013559
    9.500000     0.021475     0.018219     0.026005
   10.500000     0.037469     0.033763     0.045114
