z	401-600ns	601-800ns	801-1000ns
  -50.500000     0.000000     0.000000     0.000000
  -49.500000     0.000000     0.000000     0.000000
  -48.500000     0.000000     0.000000     0.000000
  -47.500000     0.000000     0.000000     0.000000
  -46.500000     0.000000     0.000000     0.000000
  -45.500000     0.000000     0.000000     0.000000
  -44.500000     0.000000     0.000000     0.000000
  -43.500000     0.000000     0.000000     0.000000
  -42.500000     0.000000     0.000000     0.000000
  -41.500000     0.000000     0.000000     0.000000
  -40.500000     0.000000     0.000000     0.000000
  -39.500000     0.000000     0.000000     0.000000
  -38.500000     0.000000     0.000000     0.000000
  -37.500000     0.000000     0.000000     0.000000
  -36.500000     0.000000     0.000000     0.000000
  -35.500000     0.000000     0.000000     0.000000
  -34.500000     0.000000     0.000000     0.000000
  -33.500000     0.000000     0.000000     0.000000
  -32.500000     0.000000     0.000000     0.000000
  -31.500000     0.000000     0.000000     0.000000
  -30.500000     0.000000     0.000000     0.000000
  -29.500000     0.000000     0.000000     0.000000
  -28.500000     0.000000     0.000000     0.000000
  -27.500000     0.000000     0.000000     0.000000
  -26.500000     0.000000     0.000000     0.000000
  -25.500000     0.000000     0.000000     0.000000
  -24.500000     0.000000     0.000000     0.000000
  -23.500000     0.000000     0.000000     0.000000
  -22.500000     0.000000     0.000000     0.000005
  -21.500000     0.000005     0.000000     0.000025
  -20.500000     0.000005     0.000009     0.000030
  -19.500000     0.000009     0.000033     0.000030
  -18.500000     0.000024     0.000038     0.000045
  -17.500000     0.000203     0.000160     0.000270
  -16.500000     0.000368     0.000357     0.000705
  -15.500000     0.000996     0.001145     0.001755
  -14.500000     0.002284     0.002770     0.003934
  -13.500000     0.004643     0.005263     0.006958
  -12.500000     0.007889     0.007474     0.011007
  -11.500000     0.011640     0.010595     0.014821
  -10.500000     0.014046     0.013717     0.018065
   -9.500000     0.017688     0.017168     0.019835
   -8.500000     0.021137     0.020506     0.022249
   -7.500000     0.024657     0.023947     0.025553
   -6.500000     0.030281     0.029416     0.029432
   -5.500000     0.036924     0.036242     0.036075
   -4.500000     0.045619     0.045349     0.043273
   -3.500000     0.056636     0.055362     0.053695
   -2.500000     0.065129     0.065803     0.064497
   -1.500000     0.073942     0.074150     0.074240
   -0.500000     0.078283     0.078980     0.077854
    0.500000     0.080024     0.080093     0.077849
    1.500000     0.075504     0.074145     0.073810
    2.500000     0.067318     0.066038     0.067132
    3.500000     0.056438     0.055630     0.056709
    4.500000     0.046497     0.045781     0.045472
    5.500000     0.037155     0.037303     0.035890
    6.500000     0.029790     0.031627     0.029837
    7.500000     0.024520     0.026064     0.024933
    8.500000     0.021670     0.023163     0.021034
    9.500000     0.017882     0.019980     0.018040
   10.500000     0.015461     0.016792     0.014511
   11.500000     0.012583     0.012905     0.011967
   12.500000     0.009809     0.009445     0.008223
   13.500000     0.006615     0.006164     0.005139
   14.500000     0.003657     0.003465     0.002569
   15.500000     0.001798     0.001821     0.001250
   16.500000     0.000599     0.000793     0.000565
   17.500000     0.000208     0.000221     0.000375
   18.500000     0.000061     0.000089     0.000210
   19.500000     0.000009     0.000000     0.000075
   20.500000     0.000000     0.000000     0.000030
   21.500000     0.000000     0.000000     0.000005
   22.500000     0.000000     0.000000     0.000025
   23.500000     0.000000     0.000000     0.000000
   24.500000     0.000000     0.000000     0.000000
   25.500000     0.000000     0.000000     0.000000
   26.500000     0.000000     0.000000     0.000000
   27.500000     0.000000     0.000000     0.000000
   28.500000     0.000000     0.000000     0.000000
   29.500000     0.000000     0.000000     0.000000
   30.500000     0.000000     0.000000     0.000000
   31.500000     0.000000     0.000000     0.000000
   32.500000     0.000000     0.000000     0.000000
   33.500000     0.000000     0.000000     0.000000
   34.500000     0.000000     0.000000     0.000000
   35.500000     0.000000     0.000000     0.000000
   36.500000     0.000000     0.000000     0.000000
   37.500000     0.000000     0.000000     0.000000
   38.500000     0.000000     0.000000     0.000000
   39.500000     0.000000     0.000000     0.000000
   40.500000     0.000000     0.000000     0.000000
   41.500000     0.000000     0.000000     0.000000
   42.500000     0.000000     0.000000     0.000000
   43.500000     0.000000     0.000000     0.000000
   44.500000     0.000000     0.000000     0.000000
   45.500000     0.000000     0.000000     0.000000
   46.500000     0.000000     0.000000     0.000000
   47.500000     0.000000     0.000000     0.000000
   48.500000     0.000000     0.000000     0.000000
   49.500000     0.000000     0.000000     0.000000
   50.500000     0.000000     0.000000     0.000000
   51.500000     0.000000     0.000000     0.000000
   52.500000     0.000000     0.000000     0.000000
   53.500000     0.000000     0.000000     0.000000
