z	401-600ns	601-800ns	801-1000ns
  -73.500000     0.000000     0.000000     0.000000
  -72.500000     0.000006     0.000000     0.000004
  -71.500000     0.000025     0.000008     0.000025
  -70.500000     0.000075     0.000063     0.000062
  -69.500000     0.000217     0.000210     0.000165
  -68.500000     0.000417     0.000392     0.000387
  -67.500000     0.000790     0.000817     0.000563
  -66.500000     0.001171     0.001246     0.000819
  -65.500000     0.001438     0.001431     0.001056
  -64.500000     0.001681     0.001700     0.001171
  -63.500000     0.001675     0.001858     0.001298
  -62.500000     0.001779     0.002013     0.001281
  -61.500000     0.001773     0.001846     0.001306
  -60.500000     0.001762     0.001842     0.001294
  -59.500000     0.001729     0.001885     0.001321
  -58.500000     0.001900     0.002021     0.001335
  -57.500000     0.001854     0.001962     0.001263
  -56.500000     0.001842     0.001906     0.001263
  -55.500000     0.001744     0.002085     0.001281
  -54.500000     0.001737     0.001988     0.001340
  -53.500000     0.001775     0.002002     0.001381
  -52.500000     0.001752     0.002042     0.001356
  -51.500000     0.001815     0.002015     0.001352
  -50.500000     0.001827     0.001996     0.001213
  -49.500000     0.001756     0.002144     0.001342
  -48.500000     0.001838     0.002163     0.001298
  -47.500000     0.001837     0.002229     0.001227
  -46.500000     0.001979     0.002131     0.001344
  -45.500000     0.001842     0.002319     0.001240
  -44.500000     0.002100     0.002163     0.001156
  -43.500000     0.002067     0.002088     0.001217
  -42.500000     0.001981     0.002019     0.001252
  -41.500000     0.002056     0.001994     0.001246
  -40.500000     0.001906     0.002140     0.001298
  -39.500000     0.001921     0.002127     0.001196
  -38.500000     0.002129     0.002119     0.001196
  -37.500000     0.001979     0.002013     0.001192
  -36.500000     0.002000     0.002102     0.001250
  -35.500000     0.001875     0.002058     0.001242
  -34.500000     0.001773     0.002121     0.001315
  -33.500000     0.001840     0.002069     0.001229
  -32.500000     0.001733     0.002102     0.001462
  -31.500000     0.001762     0.002083     0.001312
  -30.500000     0.001796     0.002104     0.001385
  -29.500000     0.001738     0.002185     0.001365
  -28.500000     0.001629     0.002173     0.001321
  -27.500000     0.001635     0.001921     0.001402
  -26.500000     0.001513     0.001829     0.001325
  -25.500000     0.001283     0.001635     0.001115
  -24.500000     0.001054     0.001333     0.000935
  -23.500000     0.000804     0.000967     0.000723
  -22.500000     0.000560     0.000729     0.000506
  -21.500000     0.000502     0.000537     0.000440
  -20.500000     0.000369     0.000531     0.000608
  -19.500000     0.000492     0.000625     0.000756
  -18.500000     0.001094     0.000935     0.001229
  -17.500000     0.002075     0.001660     0.002092
  -16.500000     0.003494     0.003162     0.004042
  -15.500000     0.005748     0.005221     0.006656
  -14.500000     0.009056     0.008371     0.010217
  -13.500000     0.012800     0.011756     0.013858
  -12.500000     0.015956     0.015171     0.016735
  -11.500000     0.017942     0.017265     0.018600
  -10.500000     0.019129     0.018250     0.019392
   -9.500000     0.019775     0.019035     0.020619
   -8.500000     0.021212     0.020135     0.021298
   -7.500000     0.022344     0.021506     0.022581
   -6.500000     0.024915     0.023746     0.025362
   -5.500000     0.028354     0.027017     0.029879
   -4.500000     0.033308     0.032321     0.035281
   -3.500000     0.038740     0.038023     0.041460
   -2.500000     0.045656     0.043165     0.046931
   -1.500000     0.049933     0.047242     0.052488
   -0.500000     0.051702     0.050550     0.054798
    0.500000     0.051827     0.050629     0.054471
    1.500000     0.049587     0.048688     0.051713
    2.500000     0.045319     0.043492     0.046383
    3.500000     0.038913     0.037798     0.040923
    4.500000     0.032417     0.032271     0.035158
    5.500000     0.026938     0.027240     0.029131
    6.500000     0.023888     0.023513     0.025681
    7.500000     0.021519     0.020790     0.022894
    8.500000     0.019765     0.019602     0.021392
    9.500000     0.018704     0.018929     0.021008
   10.500000     0.017792     0.019154     0.020510
   11.500000     0.016450     0.018485     0.019894
   12.500000     0.013837     0.016038     0.017706
   13.500000     0.011010     0.012737     0.013733
   14.500000     0.007962     0.009433     0.010156
   15.500000     0.004919     0.006098     0.006512
   16.500000     0.002829     0.003404     0.003896
   17.500000     0.001506     0.001854     0.001869
   18.500000     0.000867     0.001087     0.000904
   19.500000     0.000646     0.000688     0.000490
   20.500000     0.000565     0.000458     0.000340
   21.500000     0.000544     0.000554     0.000417
   22.500000     0.000763     0.000815     0.000442
   23.500000     0.000856     0.001040     0.000502
   24.500000     0.001119     0.001254     0.000637
   25.500000     0.001377     0.001569     0.000823
   26.500000     0.001687     0.001750     0.000919
   27.500000     0.001877     0.002096     0.001027
   28.500000     0.001973     0.002063     0.001085
   29.500000     0.002085     0.002031     0.001142
   30.500000     0.002040     0.002037     0.001121
   31.500000     0.002067     0.002052     0.001162
   32.500000     0.002019     0.002067     0.001025
   33.500000     0.002129     0.002040     0.001006
   34.500000     0.002092     0.002112     0.001046
   35.500000     0.002235     0.002104     0.001029
   36.500000     0.002087     0.002246     0.001113
   37.500000     0.002208     0.002229     0.001113
   38.500000     0.002294     0.002246     0.001056
   39.500000     0.002162     0.002121     0.001062
   40.500000     0.002019     0.002108     0.001154
   41.500000     0.002123     0.002075     0.001106
   42.500000     0.001988     0.002054     0.001167
   43.500000     0.002002     0.002192     0.001129
   44.500000     0.002142     0.002221     0.001150
   45.500000     0.002037     0.002290     0.001052
   46.500000     0.001988     0.002208     0.001115
   47.500000     0.001975     0.002058     0.001179
   48.500000     0.001935     0.001969     0.001158
   49.500000     0.001931     0.002033     0.001154
   50.500000     0.001885     0.002037     0.001281
   51.500000     0.001867     0.002079     0.001196
   52.500000     0.002025     0.001990     0.001244
   53.500000     0.001927     0.001954     0.001333
   54.500000     0.001981     0.002006     0.001265
   55.500000     0.002044     0.001979     0.001315
   56.500000     0.001987     0.002006     0.001290
   57.500000     0.001954     0.002023     0.001338
   58.500000     0.001831     0.002019     0.001269
   59.500000     0.001890     0.001950     0.001365
   60.500000     0.002023     0.001983     0.001338
   61.500000     0.001837     0.001912     0.001321
   62.500000     0.001806     0.002088     0.001408
   63.500000     0.001758     0.001906     0.001177
   64.500000     0.001777     0.002008     0.001273
   65.500000     0.001562     0.001863     0.001238
   66.500000     0.001563     0.001725     0.001127
   67.500000     0.001321     0.001562     0.000904
   68.500000     0.000910     0.001123     0.000738
   69.500000     0.000675     0.000658     0.000415
   70.500000     0.000373     0.000319     0.000221
   71.500000     0.000148     0.000140     0.000098
   72.500000     0.000062     0.000033     0.000027
   73.500000     0.000015     0.000002     0.000008
   74.500000     0.000000     0.000000     0.000002
   75.500000     0.000000     0.000000     0.000002
