z	401-600ns	601-800ns	801-1000ns
  -75.500000     0.000002     0.000000     0.000000
  -74.500000     0.000019     0.000000     0.000006
  -73.500000     0.000065     0.000021     0.000054
  -72.500000     0.000198     0.000098     0.000208
  -71.500000     0.000421     0.000298     0.000544
  -70.500000     0.001133     0.000879     0.001300
  -69.500000     0.001942     0.002000     0.002271
  -68.500000     0.003504     0.003335     0.004092
  -67.500000     0.005267     0.005081     0.005825
  -66.500000     0.006963     0.006658     0.007625
  -65.500000     0.007879     0.007735     0.008394
  -64.500000     0.008815     0.008892     0.009063
  -63.500000     0.009304     0.008956     0.009044
  -62.500000     0.009383     0.009250     0.009140
  -61.500000     0.009873     0.009483     0.009394
  -60.500000     0.009867     0.009360     0.009269
  -59.500000     0.009700     0.009225     0.009271
  -58.500000     0.009487     0.009356     0.009242
  -57.500000     0.009635     0.009221     0.009390
  -56.500000     0.009681     0.009379     0.009473
  -55.500000     0.009458     0.009579     0.009179
  -54.500000     0.009538     0.009110     0.009427
  -53.500000     0.009419     0.008979     0.009469
  -52.500000     0.009394     0.008837     0.009098
  -51.500000     0.009512     0.008906     0.008996
  -50.500000     0.009494     0.008592     0.009177
  -49.500000     0.009379     0.008400     0.009094
  -48.500000     0.009377     0.008475     0.009162
  -47.500000     0.009398     0.008508     0.009227
  -46.500000     0.009608     0.008652     0.009231
  -45.500000     0.009483     0.008583     0.009429
  -44.500000     0.009538     0.008710     0.009383
  -43.500000     0.009625     0.008981     0.009246
  -42.500000     0.009679     0.009063     0.009356
  -41.500000     0.009573     0.008846     0.009454
  -40.500000     0.009535     0.009013     0.009675
  -39.500000     0.009752     0.008808     0.010090
  -38.500000     0.009715     0.008821     0.009952
  -37.500000     0.009608     0.008894     0.010233
  -36.500000     0.009423     0.008927     0.010221
  -35.500000     0.009521     0.008867     0.010288
  -34.500000     0.009752     0.009373     0.010256
  -33.500000     0.009837     0.009488     0.010596
  -32.500000     0.010121     0.009758     0.010702
  -31.500000     0.011462     0.010204     0.011675
  -30.500000     0.012500     0.011194     0.013302
  -29.500000     0.013558     0.012113     0.014585
  -28.500000     0.015240     0.013590     0.016537
  -27.500000     0.017194     0.015094     0.018925
  -26.500000     0.017983     0.015717     0.020169
  -25.500000     0.017592     0.015046     0.019987
  -24.500000     0.015575     0.013048     0.017394
  -23.500000     0.012162     0.009635     0.013942
  -22.500000     0.008608     0.006304     0.009785
  -21.500000     0.005679     0.003967     0.005642
  -20.500000     0.003352     0.002308     0.002946
  -19.500000     0.001787     0.001325     0.001694
  -18.500000     0.001106     0.000821     0.000860
  -17.500000     0.000608     0.000358     0.000498
  -16.500000     0.000333     0.000202     0.000198
  -15.500000     0.000131     0.000062     0.000085
  -14.500000     0.000056     0.000025     0.000021
  -13.500000     0.000010     0.000002     0.000019
  -12.500000     0.000002     0.000000     0.000006
  -11.500000     0.000000     0.000000     0.000000
  -10.500000     0.000000     0.000000     0.000000
   -9.500000     0.000000     0.000000     0.000000
   -8.500000     0.000000     0.000000     0.000000
   -7.500000     0.000000     0.000000     0.000000
   -6.500000     0.000000     0.000000     0.000000
   -5.500000     0.000000     0.000000     0.000000
   -4.500000     0.000000     0.000000     0.000000
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000000     0.000000     0.000000
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000000
    3.500000     0.000000     0.000000     0.000000
    4.500000     0.000000     0.000000     0.000000
    5.500000     0.000000     0.000000     0.000000
    6.500000     0.000000     0.000000     0.000000
    7.500000     0.000000     0.000000     0.000000
    8.500000     0.000000     0.000000     0.000000
    9.500000     0.000000     0.000000     0.000000
   10.500000     0.000000     0.000000     0.000000
   11.500000     0.000000     0.000000     0.000002
   12.500000     0.000000     0.000000     0.000004
   13.500000     0.000000     0.000000     0.000017
   14.500000     0.000002     0.000035     0.000038
   15.500000     0.000006     0.000052     0.000104
   16.500000     0.000108     0.000140     0.000135
   17.500000     0.000490     0.000417     0.000279
   18.500000     0.001104     0.000800     0.000535
   19.500000     0.001877     0.001492     0.001002
   20.500000     0.002871     0.003146     0.002083
   21.500000     0.004844     0.005565     0.003963
   22.500000     0.008631     0.009215     0.007263
   23.500000     0.012104     0.013250     0.010813
   24.500000     0.015317     0.017437     0.014625
   25.500000     0.017219     0.019896     0.017037
   26.500000     0.017487     0.019854     0.017540
   27.500000     0.016204     0.019027     0.016848
   28.500000     0.014540     0.016865     0.014873
   29.500000     0.013117     0.014688     0.012937
   30.500000     0.011685     0.013021     0.011742
   31.500000     0.010563     0.012108     0.010931
   32.500000     0.010067     0.011352     0.010094
   33.500000     0.009681     0.011192     0.009723
   34.500000     0.009650     0.010810     0.009121
   35.500000     0.009550     0.010673     0.009073
   36.500000     0.009473     0.010537     0.008937
   37.500000     0.009356     0.010431     0.008854
   38.500000     0.009187     0.010404     0.008983
   39.500000     0.009015     0.010121     0.008935
   40.500000     0.009100     0.010154     0.008527
   41.500000     0.009004     0.010302     0.008442
   42.500000     0.008960     0.010212     0.008638
   43.500000     0.009462     0.010229     0.008619
   44.500000     0.008992     0.009888     0.008785
   45.500000     0.009238     0.009902     0.008665
   46.500000     0.009400     0.009944     0.008533
   47.500000     0.008956     0.009992     0.008612
   48.500000     0.009019     0.010017     0.008610
   49.500000     0.009087     0.009740     0.008625
   50.500000     0.009575     0.009927     0.008577
   51.500000     0.009390     0.009737     0.008706
