z	401-600ns	601-800ns	801-1000ns
  -71.500000     0.000000     0.000002     0.000008
  -70.500000     0.000012     0.000013     0.000038
  -69.500000     0.000069     0.000137     0.000098
  -68.500000     0.000271     0.000519     0.000433
  -67.500000     0.000717     0.001210     0.001037
  -66.500000     0.001558     0.002269     0.002021
  -65.500000     0.002731     0.003296     0.003398
  -64.500000     0.003685     0.004431     0.004587
  -63.500000     0.004873     0.005777     0.005904
  -62.500000     0.005735     0.006215     0.006488
  -61.500000     0.006240     0.006652     0.006792
  -60.500000     0.006648     0.007023     0.006742
  -59.500000     0.006727     0.007088     0.006752
  -58.500000     0.006850     0.007181     0.006827
  -57.500000     0.006723     0.007194     0.006740
  -56.500000     0.006790     0.007162     0.006981
  -55.500000     0.006840     0.006869     0.006960
  -54.500000     0.006688     0.006925     0.006998
  -53.500000     0.006488     0.006908     0.006971
  -52.500000     0.006787     0.007129     0.007219
  -51.500000     0.006671     0.006908     0.007146
  -50.500000     0.006838     0.007019     0.007148
  -49.500000     0.006837     0.007127     0.007540
  -48.500000     0.006892     0.007025     0.007458
  -47.500000     0.006938     0.006888     0.007775
  -46.500000     0.006694     0.006873     0.007621
  -45.500000     0.007088     0.006956     0.007660
  -44.500000     0.007087     0.006815     0.007646
  -43.500000     0.006885     0.006865     0.007196
  -42.500000     0.007169     0.007000     0.007644
  -41.500000     0.006856     0.006990     0.007519
  -40.500000     0.007075     0.006923     0.007750
  -39.500000     0.007137     0.007142     0.007317
  -38.500000     0.007177     0.007221     0.007438
  -37.500000     0.007335     0.007177     0.007423
  -36.500000     0.007171     0.006992     0.007360
  -35.500000     0.007263     0.007233     0.007694
  -34.500000     0.007238     0.007162     0.007733
  -33.500000     0.007219     0.007223     0.007687
  -32.500000     0.007148     0.007277     0.007635
  -31.500000     0.007025     0.007190     0.007625
  -30.500000     0.006987     0.007479     0.007627
  -29.500000     0.007200     0.007513     0.007692
  -28.500000     0.007227     0.007213     0.007633
  -27.500000     0.007238     0.007169     0.007429
  -26.500000     0.006988     0.007165     0.007396
  -25.500000     0.006865     0.006738     0.007019
  -24.500000     0.005965     0.005988     0.006208
  -23.500000     0.005294     0.005567     0.005171
  -22.500000     0.004646     0.005231     0.004296
  -21.500000     0.003958     0.004398     0.003810
  -20.500000     0.003831     0.004725     0.003754
  -19.500000     0.004729     0.005929     0.004279
  -18.500000     0.006977     0.008540     0.005804
  -17.500000     0.010054     0.012610     0.008808
  -16.500000     0.014508     0.018350     0.013363
  -15.500000     0.020352     0.024931     0.018663
  -14.500000     0.025235     0.029058     0.023929
  -13.500000     0.028677     0.031637     0.027815
  -12.500000     0.028377     0.030667     0.027748
  -11.500000     0.023325     0.026204     0.024798
  -10.500000     0.016750     0.018467     0.018588
   -9.500000     0.010544     0.011631     0.012188
   -8.500000     0.005602     0.005931     0.006654
   -7.500000     0.002446     0.002581     0.003412
   -6.500000     0.000998     0.001013     0.001802
   -5.500000     0.000287     0.000452     0.001035
   -4.500000     0.000090     0.000204     0.000444
   -3.500000     0.000037     0.000094     0.000206
   -2.500000     0.000021     0.000060     0.000098
   -1.500000     0.000031     0.000094     0.000081
   -0.500000     0.000027     0.000156     0.000110
    0.500000     0.000038     0.000117     0.000073
    1.500000     0.000033     0.000102     0.000108
    2.500000     0.000029     0.000088     0.000113
    3.500000     0.000077     0.000071     0.000113
    4.500000     0.000227     0.000108     0.000173
    5.500000     0.000512     0.000260     0.000379
    6.500000     0.001200     0.000681     0.000935
    7.500000     0.002602     0.001431     0.001904
    8.500000     0.005435     0.003571     0.003767
    9.500000     0.010637     0.006819     0.006304
   10.500000     0.017252     0.011856     0.010625
   11.500000     0.022854     0.017279     0.016292
   12.500000     0.026454     0.021050     0.021127
   13.500000     0.027008     0.022808     0.021594
   14.500000     0.024298     0.020838     0.019590
   15.500000     0.019073     0.016219     0.015413
   16.500000     0.013587     0.011458     0.010385
   17.500000     0.009165     0.007558     0.006483
   18.500000     0.006098     0.004981     0.004312
   19.500000     0.004162     0.003517     0.003221
   20.500000     0.003550     0.003279     0.002798
   21.500000     0.004008     0.003696     0.003331
   22.500000     0.004475     0.004294     0.004060
   23.500000     0.005242     0.004531     0.005254
   24.500000     0.005663     0.005338     0.006390
   25.500000     0.006371     0.005831     0.006994
   26.500000     0.006558     0.006206     0.007375
   27.500000     0.006896     0.006421     0.007479
   28.500000     0.006940     0.006637     0.007473
   29.500000     0.006837     0.006808     0.007817
   30.500000     0.006915     0.006817     0.007617
   31.500000     0.007152     0.006719     0.007565
   32.500000     0.006919     0.006698     0.007517
   33.500000     0.007067     0.006700     0.007552
   34.500000     0.006898     0.006869     0.007448
   35.500000     0.006910     0.006763     0.007513
   36.500000     0.006619     0.006654     0.007704
   37.500000     0.006810     0.006931     0.007725
   38.500000     0.006908     0.007042     0.007658
   39.500000     0.006712     0.006988     0.007673
   40.500000     0.006833     0.006821     0.007490
   41.500000     0.006746     0.006915     0.007177
   42.500000     0.006654     0.006942     0.007242
   43.500000     0.006529     0.006898     0.007196
   44.500000     0.006435     0.006787     0.007298
   45.500000     0.006638     0.006962     0.007262
   46.500000     0.006452     0.006738     0.007362
   47.500000     0.006713     0.006569     0.007188
   48.500000     0.006610     0.006387     0.007456
   49.500000     0.006492     0.006535     0.007583
   50.500000     0.006627     0.006321     0.007244
   51.500000     0.006702     0.006319     0.007408
   52.500000     0.006881     0.006540     0.007338
   53.500000     0.006654     0.006494     0.007431
   54.500000     0.006815     0.006460     0.007323
   55.500000     0.006685     0.006642     0.007254
   56.500000     0.006954     0.006579     0.007446
   57.500000     0.006754     0.006592     0.007417
   58.500000     0.006596     0.006823     0.007158
   59.500000     0.006863     0.006694     0.006915
   60.500000     0.006796     0.006579     0.006998
   61.500000     0.006558     0.006665     0.006802
   62.500000     0.006621     0.006633     0.007217
   63.500000     0.006608     0.006590     0.006781
   64.500000     0.006083     0.006544     0.006906
   65.500000     0.005663     0.005933     0.006381
   66.500000     0.004563     0.005421     0.005598
   67.500000     0.003452     0.004219     0.004433
   68.500000     0.002333     0.003071     0.003038
   69.500000     0.001200     0.001935     0.001660
   70.500000     0.000598     0.001006     0.000856
   71.500000     0.000212     0.000431     0.000321
   72.500000     0.000048     0.000100     0.000081
   73.500000     0.000002     0.000015     0.000015
   74.500000     0.000000     0.000000     0.000000
   75.500000     0.000000     0.000000     0.000000
