           z    400-600ns    600-800ns   800-1000ns
  -73.500000     0.000004     0.000000     0.000002
  -72.500000     0.000010     0.000021     0.000008
  -71.500000     0.000027     0.000092     0.000079
  -70.500000     0.000190     0.000287     0.000277
  -69.500000     0.000581     0.000788     0.000731
  -68.500000     0.001558     0.001669     0.001623
  -67.500000     0.003204     0.003342     0.003269
  -66.500000     0.005425     0.005406     0.005387
  -65.500000     0.007738     0.007671     0.007388
  -64.500000     0.009604     0.009342     0.009371
  -63.500000     0.011008     0.010588     0.010400
  -62.500000     0.011242     0.011248     0.010977
  -61.500000     0.011523     0.011571     0.011175
  -60.500000     0.011412     0.011538     0.010937
  -59.500000     0.011446     0.011415     0.010979
  -58.500000     0.011329     0.011344     0.010717
  -57.500000     0.011608     0.011448     0.011046
  -56.500000     0.011123     0.011344     0.011360
  -55.500000     0.011523     0.011510     0.011181
  -54.500000     0.011562     0.011312     0.011229
  -53.500000     0.011281     0.011215     0.011165
  -52.500000     0.011383     0.011219     0.010965
  -51.500000     0.010975     0.011413     0.011019
  -50.500000     0.011008     0.011258     0.011262
  -49.500000     0.010923     0.011375     0.010975
  -48.500000     0.010723     0.011344     0.011171
  -47.500000     0.010563     0.010752     0.011333
  -46.500000     0.010160     0.010821     0.011256
  -45.500000     0.010223     0.010981     0.011096
  -44.500000     0.010252     0.010987     0.011219
  -43.500000     0.010265     0.010662     0.011025
  -42.500000     0.010104     0.010781     0.010906
  -41.500000     0.010133     0.010875     0.010615
  -40.500000     0.009904     0.010742     0.010619
  -39.500000     0.010167     0.011019     0.010694
  -38.500000     0.010235     0.011015     0.010390
  -37.500000     0.010044     0.010813     0.010106
  -36.500000     0.009838     0.010721     0.009781
  -35.500000     0.009740     0.010423     0.009413
  -34.500000     0.009706     0.010237     0.009244
  -33.500000     0.009629     0.010273     0.008933
  -32.500000     0.009477     0.009994     0.009087
  -31.500000     0.009298     0.009673     0.008842
  -30.500000     0.009035     0.009546     0.008590
  -29.500000     0.008127     0.008800     0.008183
  -28.500000     0.007258     0.008290     0.007444
  -27.500000     0.006494     0.007167     0.006875
  -26.500000     0.005585     0.006371     0.005935
  -25.500000     0.004883     0.005731     0.005396
  -24.500000     0.004121     0.004921     0.004931
  -23.500000     0.003927     0.003846     0.004537
  -22.500000     0.003756     0.003192     0.004215
  -21.500000     0.004046     0.002713     0.003942
  -20.500000     0.004808     0.002835     0.004123
  -19.500000     0.006008     0.002944     0.004406
  -18.500000     0.007327     0.003187     0.004273
  -17.500000     0.008135     0.003754     0.004546
  -16.500000     0.008267     0.003625     0.004958
  -15.500000     0.007048     0.003308     0.003838
  -14.500000     0.004923     0.002460     0.002335
  -13.500000     0.002610     0.001100     0.001442
  -12.500000     0.001194     0.000471     0.000687
  -11.500000     0.000552     0.000156     0.000312
  -10.500000     0.000173     0.000025     0.000100
   -9.500000     0.000046     0.000000     0.000002
   -8.500000     0.000000     0.000000     0.000002
   -7.500000     0.000000     0.000000     0.000000
   -6.500000     0.000000     0.000000     0.000000
   -5.500000     0.000000     0.000000     0.000000
   -4.500000     0.000000     0.000000     0.000000
   -3.500000     0.000000     0.000000     0.000000
   -2.500000     0.000000     0.000000     0.000000
   -1.500000     0.000000     0.000000     0.000000
   -0.500000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000
    2.500000     0.000000     0.000000     0.000000
    3.500000     0.000000     0.000000     0.000000
    4.500000     0.000000     0.000000     0.000000
    5.500000     0.000000     0.000000     0.000000
    6.500000     0.000000     0.000000     0.000000
    7.500000     0.000000     0.000000     0.000000
    8.500000     0.000000     0.000000     0.000000
    9.500000     0.000012     0.000000     0.000006
   10.500000     0.000073     0.000017     0.000040
   11.500000     0.000156     0.000148     0.000140
   12.500000     0.000608     0.000506     0.000498
   13.500000     0.001175     0.000998     0.001113
   14.500000     0.002137     0.001831     0.002210
   15.500000     0.003065     0.003258     0.003302
   16.500000     0.003804     0.004875     0.004890
   17.500000     0.003908     0.005723     0.005483
   18.500000     0.003637     0.005265     0.005602
   19.500000     0.003100     0.004348     0.005413
   20.500000     0.003312     0.003858     0.004877
   21.500000     0.003479     0.003902     0.004402
   22.500000     0.003567     0.004460     0.004313
