z	401-600ns	601-800ns	801-1000ns
  -68.500000     0.000000     0.000000     0.000000
  -67.500000     0.000000     0.000000     0.000000
  -66.500000     0.000000     0.000002     0.000000
  -65.500000     0.000000     0.000008     0.000002
  -64.500000     0.000000     0.000010     0.000006
  -63.500000     0.000010     0.000044     0.000008
  -62.500000     0.000023     0.000087     0.000031
  -61.500000     0.000058     0.000167     0.000052
  -60.500000     0.000054     0.000215     0.000087
  -59.500000     0.000098     0.000235     0.000088
  -58.500000     0.000127     0.000277     0.000108
  -57.500000     0.000112     0.000275     0.000125
  -56.500000     0.000088     0.000333     0.000096
  -55.500000     0.000092     0.000281     0.000096
  -54.500000     0.000117     0.000283     0.000100
  -53.500000     0.000081     0.000273     0.000088
  -52.500000     0.000112     0.000285     0.000100
  -51.500000     0.000102     0.000302     0.000096
  -50.500000     0.000077     0.000279     0.000115
  -49.500000     0.000096     0.000325     0.000129
  -48.500000     0.000088     0.000267     0.000127
  -47.500000     0.000077     0.000294     0.000112
  -46.500000     0.000062     0.000319     0.000106
  -45.500000     0.000054     0.000333     0.000102
  -44.500000     0.000073     0.000285     0.000092
  -43.500000     0.000063     0.000273     0.000106
  -42.500000     0.000062     0.000315     0.000094
  -41.500000     0.000067     0.000371     0.000075
  -40.500000     0.000104     0.000302     0.000085
  -39.500000     0.000100     0.000300     0.000071
  -38.500000     0.000117     0.000356     0.000073
  -37.500000     0.000102     0.000337     0.000073
  -36.500000     0.000108     0.000400     0.000098
  -35.500000     0.000085     0.000352     0.000096
  -34.500000     0.000112     0.000363     0.000102
  -33.500000     0.000129     0.000344     0.000094
  -32.500000     0.000125     0.000348     0.000094
  -31.500000     0.000167     0.000342     0.000092
  -30.500000     0.000108     0.000369     0.000102
  -29.500000     0.000150     0.000358     0.000133
  -28.500000     0.000158     0.000385     0.000125
  -27.500000     0.000146     0.000356     0.000140
  -26.500000     0.000206     0.000458     0.000158
  -25.500000     0.000221     0.000542     0.000112
  -24.500000     0.000138     0.000492     0.000100
  -23.500000     0.000152     0.000413     0.000100
  -22.500000     0.000154     0.000406     0.000173
  -21.500000     0.000265     0.000410     0.000408
  -20.500000     0.000775     0.000613     0.000802
  -19.500000     0.001937     0.001008     0.001560
  -18.500000     0.004077     0.002598     0.003150
  -17.500000     0.007871     0.006638     0.006621
  -16.500000     0.015160     0.014054     0.013790
  -15.500000     0.026844     0.025504     0.025860
  -14.500000     0.042648     0.041037     0.042406
  -13.500000     0.062435     0.060298     0.060987
  -12.500000     0.076981     0.076083     0.076567
  -11.500000     0.082563     0.083392     0.081858
  -10.500000     0.075112     0.077881     0.075423
   -9.500000     0.057456     0.061188     0.058223
   -8.500000     0.037119     0.040577     0.038512
   -7.500000     0.021656     0.023629     0.021471
   -6.500000     0.010921     0.011760     0.010910
   -5.500000     0.004885     0.005433     0.005048
   -4.500000     0.002138     0.002300     0.001960
   -3.500000     0.000817     0.000852     0.000871
   -2.500000     0.000431     0.000454     0.000373
   -1.500000     0.000181     0.000221     0.000219
   -0.500000     0.000129     0.000188     0.000163
    0.500000     0.000190     0.000217     0.000233
    1.500000     0.000219     0.000406     0.000229
    2.500000     0.000337     0.000417     0.000331
    3.500000     0.000563     0.000665     0.000573
    4.500000     0.001398     0.001648     0.001265
    5.500000     0.003538     0.003815     0.003544
    6.500000     0.008979     0.008927     0.008617
    7.500000     0.018002     0.017652     0.018454
    8.500000     0.032088     0.032121     0.033408
    9.500000     0.048348     0.050637     0.050527
   10.500000     0.062862     0.064371     0.066779
   11.500000     0.071437     0.068337     0.075187
   12.500000     0.068538     0.065042     0.069444
   13.500000     0.056408     0.052194     0.055985
   14.500000     0.038527     0.034948     0.036992
   15.500000     0.023283     0.020540     0.022025
   16.500000     0.012623     0.010640     0.011729
   17.500000     0.005775     0.004975     0.005594
   18.500000     0.002594     0.002398     0.002525
   19.500000     0.001260     0.001083     0.001256
   20.500000     0.000660     0.000388     0.000562
   21.500000     0.000252     0.000181     0.000227
   22.500000     0.000169     0.000090     0.000121
   23.500000     0.000179     0.000088     0.000094
   24.500000     0.000108     0.000119     0.000065
   25.500000     0.000087     0.000138     0.000065
   26.500000     0.000075     0.000219     0.000038
   27.500000     0.000127     0.000227     0.000029
   28.500000     0.000096     0.000152     0.000035
   29.500000     0.000090     0.000140     0.000033
   30.500000     0.000092     0.000106     0.000050
   31.500000     0.000123     0.000133     0.000037
   32.500000     0.000088     0.000138     0.000040
   33.500000     0.000131     0.000110     0.000029
   34.500000     0.000125     0.000140     0.000040
   35.500000     0.000125     0.000156     0.000044
   36.500000     0.000146     0.000150     0.000038
   37.500000     0.000127     0.000125     0.000062
   38.500000     0.000138     0.000190     0.000050
   39.500000     0.000106     0.000177     0.000052
   40.500000     0.000121     0.000196     0.000054
   41.500000     0.000133     0.000125     0.000050
   42.500000     0.000106     0.000181     0.000067
   43.500000     0.000144     0.000213     0.000079
   44.500000     0.000146     0.000188     0.000050
   45.500000     0.000119     0.000223     0.000071
   46.500000     0.000156     0.000213     0.000054
   47.500000     0.000121     0.000238     0.000075
   48.500000     0.000127     0.000223     0.000065
   49.500000     0.000108     0.000262     0.000085
   50.500000     0.000098     0.000258     0.000092
   51.500000     0.000090     0.000262     0.000108
   52.500000     0.000094     0.000256     0.000096
   53.500000     0.000119     0.000304     0.000073
   54.500000     0.000098     0.000208     0.000090
   55.500000     0.000135     0.000244     0.000092
   56.500000     0.000119     0.000198     0.000090
   57.500000     0.000131     0.000198     0.000096
   58.500000     0.000123     0.000196     0.000108
   59.500000     0.000144     0.000238     0.000060
   60.500000     0.000135     0.000329     0.000075
   61.500000     0.000129     0.000262     0.000112
   62.500000     0.000123     0.000304     0.000121
   63.500000     0.000156     0.000288     0.000125
   64.500000     0.000085     0.000260     0.000112
   65.500000     0.000077     0.000202     0.000065
   66.500000     0.000048     0.000133     0.000054
   67.500000     0.000023     0.000088     0.000027
   68.500000     0.000006     0.000021     0.000004
   69.500000     0.000000     0.000008     0.000000
   70.500000     0.000000     0.000000     0.000000
   71.500000     0.000000     0.000000     0.000000
