#resid average_duration max_duration persistent_contacts
1 5.836363636363636 28 55
10 4.507692307692308 16 65
11 4.6231884057971016 18 69
12 5.406593406593407 24 91
13 7.3076923076923075 54 26
14 5.4 54 75
15 4.8875 21 80
16 4.938271604938271 15 81
17 5.0606060606060606 24 33
18 4.658227848101266 13 79
19 4.466666666666667 21 60
2 3.892857142857143 12 56
20 5.127659574468085 24 47
21 4.54054054054054 22 74
22 4.794117647058823 18 68
23 5.157303370786517 28 89
24 4.464788732394366 13 71
25 4.352941176470588 13 17
26 4.530612244897959 17 49
3 4.490909090909091 21 55
4 4.924242424242424 22 66
5 4.833333333333333 14 48
6 4.52542372881356 16 59
7 4.569230769230769 24 65
8 5.224489795918367 24 49
9 4.915492957746479 16 71
#TOTAL_CONTACTS 4624 for 1000 frames
