#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
0 30.769 23.077 53.846 35.897 9.245 0.000 0.000 0.000 0.000 0.000
1 50.000 26.923 53.846 43.590 8.407 0.000 0.000 0.000 0.000 0.000
2 34.615 38.462 61.538 44.872 8.407 0.000 0.000 0.000 0.000 0.000
3 50.000 61.538 38.462 50.000 6.662 0.000 0.000 0.000 0.000 0.000
4 50.000 34.615 34.615 39.744 5.128 0.000 0.000 0.000 0.000 0.000
5 50.000 42.308 50.000 47.436 2.564 0.000 0.000 0.000 0.000 0.000
6 73.077 42.308 42.308 52.564 10.256 0.000 0.000 0.000 0.000 0.000
7 50.000 46.154 42.308 46.154 2.221 0.000 0.000 0.000 0.000 0.000
8 53.846 42.308 57.692 51.282 4.623 0.000 0.000 0.000 0.000 0.000
9 42.308 26.923 42.308 37.179 5.128 0.000 0.000 0.000 0.000 0.000
10 53.846 42.308 50.000 48.718 3.392 0.000 0.000 0.000 0.000 0.000
11 50.000 30.769 50.000 43.590 6.410 0.000 0.000 0.000 0.000 0.000
12 46.154 42.308 42.308 43.590 1.282 0.000 0.000 0.000 0.000 0.000
13 34.615 26.923 53.846 38.462 8.006 0.000 0.000 0.000 0.000 0.000
14 42.308 42.308 50.000 44.872 2.564 0.000 0.000 0.000 0.000 0.000
15 42.308 38.462 50.000 43.590 3.392 0.000 0.000 0.000 0.000 0.000
16 76.923 42.308 30.769 50.000 13.868 0.000 0.000 0.000 0.000 0.000
17 53.846 23.077 42.308 39.744 8.974 0.000 0.000 0.000 0.000 0.000
18 23.077 26.923 38.462 29.487 4.623 0.000 0.000 0.000 0.000 0.000
19 34.615 30.769 23.077 29.487 3.392 0.000 0.000 0.000 0.000 0.000
20 19.231 53.846 34.615 35.897 10.013 0.000 0.000 0.000 0.000 0.000
21 46.154 46.154 34.615 42.308 3.846 0.000 0.000 0.000 0.000 0.000
22 65.385 34.615 42.308 47.436 9.245 0.000 0.000 0.000 0.000 0.000
23 50.000 42.308 46.154 46.154 2.221 0.000 0.000 0.000 0.000 0.000
24 50.000 34.615 38.462 41.026 4.623 0.000 0.000 0.000 0.000 0.000
25 34.615 46.154 53.846 44.872 5.588 0.000 0.000 0.000 0.000 0.000
26 34.615 42.308 57.692 44.872 6.784 0.000 0.000 0.000 0.000 0.000
27 38.462 38.462 69.231 48.718 10.256 0.000 0.000 0.000 0.000 0.000
28 46.154 42.308 57.692 48.718 4.623 0.000 0.000 0.000 0.000 0.000
29 46.154 46.154 50.000 47.436 1.282 0.000 0.000 0.000 0.000 0.000
30 53.846 57.692 69.231 60.256 4.623 0.000 0.000 0.000 0.000 0.000
31 46.154 46.154 46.154 46.154 0.000 0.000 0.000 0.000 0.000 0.000
32 61.538 30.769 65.385 52.564 10.954 0.000 0.000 0.000 0.000 0.000
33 38.462 42.308 42.308 41.026 1.282 0.000 0.000 0.000 0.000 0.000
34 46.154 50.000 50.000 48.718 1.282 0.000 0.000 0.000 0.000 0.000
35 53.846 30.769 46.154 43.590 6.784 0.000 0.000 0.000 0.000 0.000
36 26.923 50.000 46.154 41.026 7.138 0.000 0.000 0.000 0.000 0.000
37 50.000 34.615 42.308 42.308 4.441 0.000 0.000 0.000 0.000 0.000
38 69.231 38.462 53.846 53.846 8.882 0.000 0.000 0.000 0.000 0.000
39 61.538 34.615 34.615 43.590 8.974 0.000 0.000 0.000 0.000 0.000
40 34.615 42.308 26.923 34.615 4.441 0.000 0.000 0.000 0.000 0.000
41 50.000 26.923 34.615 37.179 6.784 0.000 0.000 0.000 0.000 0.000
42 38.462 57.692 34.615 43.590 7.138 0.000 0.000 0.000 0.000 0.000
43 53.846 34.615 69.231 52.564 10.013 0.000 0.000 0.000 0.000 0.000
44 23.077 42.308 65.385 43.590 12.230 0.000 0.000 0.000 0.000 0.000
45 50.000 38.462 26.923 38.462 6.662 0.000 0.000 0.000 0.000 0.000
46 30.769 53.846 61.538 48.718 9.245 0.000 0.000 0.000 0.000 0.000
47 42.308 38.462 26.923 35.897 4.623 0.000 0.000 0.000 0.000 0.000
48 38.462 42.308 23.077 34.615 5.875 0.000 0.000 0.000 0.000 0.000
49 46.154 38.462 26.923 37.179 5.588 0.000 0.000 0.000 0.000 0.000
50 73.077 69.231 38.462 60.256 10.954 0.000 0.000 0.000 0.000 0.000
51 30.769 50.000 30.769 37.179 6.410 0.000 0.000 0.000 0.000 0.000
52 73.077 65.385 30.769 56.410 13.011 0.000 0.000 0.000 0.000 0.000
53 57.692 53.846 61.538 57.692 2.221 0.000 0.000 0.000 0.000 0.000
54 23.077 57.692 30.769 37.179 10.494 0.000 0.000 0.000 0.000 0.000
55 38.462 30.769 53.846 41.026 6.784 0.000 0.000 0.000 0.000 0.000
56 26.923 30.769 53.846 37.179 8.407 0.000 0.000 0.000 0.000 0.000
57 53.846 34.615 61.538 50.000 8.006 0.000 0.000 0.000 0.000 0.000
58 46.154 23.077 61.538 43.590 11.177 0.000 0.000 0.000 0.000 0.000
59 46.154 38.462 38.462 41.026 2.564 0.000 0.000 0.000 0.000 0.000
60 42.308 61.538 50.000 51.282 5.588 0.000 0.000 0.000 0.000 0.000
61 34.615 30.769 53.846 39.744 7.138 0.000 0.000 0.000 0.000 0.000
62 46.154 34.615 65.385 48.718 8.974 0.000 0.000 0.000 0.000 0.000
63 34.615 38.462 38.462 37.179 1.282 0.000 0.000 0.000 0.000 0.000
64 38.462 30.769 38.462 35.897 2.564 0.000 0.000 0.000 0.000 0.000
65 46.154 46.154 57.692 50.000 3.846 0.000 0.000 0.000 0.000 0.000
66 26.923 53.846 53.846 44.872 8.974 0.000 0.000 0.000 0.000 0.000
67 50.000 42.308 50.000 47.436 2.564 0.000 0.000 0.000 0.000 0.000
68 42.308 50.000 53.846 48.718 3.392 0.000 0.000 0.000 0.000 0.000
69 38.462 38.462 34.615 37.179 1.282 0.000 0.000 0.000 0.000 0.000
70 46.154 50.000 34.615 43.590 4.623 0.000 0.000 0.000 0.000 0.000
71 42.308 42.308 42.308 42.308 0.000 0.000 0.000 0.000 0.000 0.000
72 46.154 65.385 23.077 44.872 12.230 0.000 0.000 0.000 0.000 0.000
73 46.154 57.692 69.231 57.692 6.662 0.000 0.000 0.000 0.000 0.000
74 30.769 42.308 38.462 37.179 3.392 0.000 0.000 0.000 0.000 0.000
75 30.769 50.000 23.077 34.615 8.006 0.000 0.000 0.000 0.000 0.000
76 38.462 38.462 30.769 35.897 2.564 0.000 0.000 0.000 0.000 0.000
77 34.615 34.615 23.077 30.769 3.846 0.000 0.000 0.000 0.000 0.000
78 46.154 38.462 61.538 48.718 6.784 0.000 0.000 0.000 0.000 0.000
79 30.769 30.769 57.692 39.744 8.974 0.000 0.000 0.000 0.000 0.000
80 38.462 50.000 46.154 44.872 3.392 0.000 0.000 0.000 0.000 0.000
81 53.846 57.692 65.385 58.974 3.392 0.000 0.000 0.000 0.000 0.000
82 38.462 19.231 38.462 32.051 6.410 0.000 0.000 0.000 0.000 0.000
83 38.462 42.308 76.923 52.564 12.230 0.000 0.000 0.000 0.000 0.000
84 57.692 50.000 42.308 50.000 4.441 0.000 0.000 0.000 0.000 0.000
85 42.308 57.692 46.154 48.718 4.623 0.000 0.000 0.000 0.000 0.000
86 42.308 30.769 61.538 44.872 8.974 0.000 0.000 0.000 0.000 0.000
87 50.000 38.462 50.000 46.154 3.846 0.000 0.000 0.000 0.000 0.000
88 30.769 50.000 57.692 46.154 8.006 0.000 0.000 0.000 0.000 0.000
89 46.154 46.154 50.000 47.436 1.282 0.000 0.000 0.000 0.000 0.000
