#resid average_duration max_duration persistent_contacts
1 4.247191011235955 29 89
10 4.941860465116279 28 86
11 5.765217391304348 31 115
12 5.823529411764706 33 102
13 6.236363636363636 64 110
14 5.698630136986301 42 73
15 4.548076923076923 34 104
16 5.527472527472527 39 91
17 6.246666666666667 29 150
18 5.5210084033613445 28 119
19 6.142857142857143 42 119
2 5.62962962962963 37 135
20 5.678571428571429 37 112
21 4.1866666666666665 22 75
22 6.1441441441441444 39 111
23 4.555555555555555 17 135
24 3.2222222222222223 13 27
25 5.214876033057851 20 121
26 5.210884353741497 30 147
3 5.758620689655173 64 116
4 5.082706766917293 30 133
5 6.191304347826087 34 115
6 5.729166666666667 35 144
7 4.769230769230769 26 104
8 5.087719298245614 26 114
9 5.283464566929134 36 127
#TOTAL_CONTACTS 9512 for 1000 frames
