#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
0 53.846 46.154 38.462 46.154 4.441 0.000 0.000 0.000 0.000 0.000
1 50.000 50.000 57.692 52.564 2.564 0.000 0.000 0.000 0.000 0.000
2 42.308 61.538 46.154 50.000 5.875 0.000 0.000 0.000 0.000 0.000
3 50.000 42.308 53.846 48.718 3.392 0.000 0.000 0.000 0.000 0.000
4 57.692 34.615 57.692 50.000 7.692 0.000 0.000 0.000 0.000 0.000
5 57.692 50.000 46.154 51.282 3.392 0.000 0.000 0.000 0.000 0.000
6 53.846 38.462 50.000 47.436 4.623 0.000 0.000 0.000 0.000 0.000
7 80.769 38.462 38.462 52.564 14.103 0.000 0.000 0.000 0.000 0.000
8 50.000 57.692 42.308 50.000 4.441 0.000 0.000 0.000 0.000 0.000
9 61.538 30.769 38.462 43.590 9.245 0.000 0.000 0.000 0.000 0.000
10 42.308 42.308 50.000 44.872 2.564 0.000 0.000 0.000 0.000 0.000
11 57.692 57.692 50.000 55.128 2.564 0.000 0.000 0.000 0.000 0.000
12 69.231 38.462 53.846 53.846 8.882 0.000 0.000 0.000 0.000 0.000
13 57.692 50.000 42.308 50.000 4.441 0.000 0.000 0.000 0.000 0.000
14 38.462 69.231 42.308 50.000 9.679 0.000 0.000 0.000 0.000 0.000
15 34.615 84.615 65.385 61.538 14.561 0.000 0.000 0.000 0.000 0.000
16 46.154 73.077 34.615 51.282 11.395 0.000 0.000 0.000 0.000 0.000
17 50.000 50.000 46.154 48.718 1.282 0.000 0.000 0.000 0.000 0.000
18 61.538 65.385 42.308 56.410 7.138 0.000 0.000 0.000 0.000 0.000
19 50.000 73.077 50.000 57.692 7.692 0.000 0.000 0.000 0.000 0.000
20 53.846 73.077 46.154 57.692 8.006 0.000 0.000 0.000 0.000 0.000
21 50.000 61.538 53.846 55.128 3.392 0.000 0.000 0.000 0.000 0.000
22 38.462 69.231 53.846 53.846 8.882 0.000 0.000 0.000 0.000 0.000
23 50.000 73.077 53.846 58.974 7.138 0.000 0.000 0.000 0.000 0.000
24 26.923 61.538 46.154 44.872 10.013 0.000 0.000 0.000 0.000 0.000
25 30.769 65.385 26.923 41.026 12.230 0.000 0.000 0.000 0.000 0.000
26 42.308 61.538 46.154 50.000 5.875 0.000 0.000 0.000 0.000 0.000
27 61.538 61.538 42.308 55.128 6.410 0.000 0.000 0.000 0.000 0.000
28 50.000 42.308 38.462 43.590 3.392 0.000 0.000 0.000 0.000 0.000
29 46.154 57.692 50.000 51.282 3.392 0.000 0.000 0.000 0.000 0.000
30 38.462 50.000 50.000 46.154 3.846 0.000 0.000 0.000 0.000 0.000
31 46.154 53.846 50.000 50.000 2.221 0.000 0.000 0.000 0.000 0.000
32 53.846 46.154 80.769 60.256 10.494 0.000 0.000 0.000 0.000 0.000
33 46.154 76.923 84.615 69.231 11.750 0.000 0.000 0.000 0.000 0.000
34 42.308 61.538 53.846 52.564 5.588 0.000 0.000 0.000 0.000 0.000
35 50.000 61.538 38.462 50.000 6.662 0.000 0.000 0.000 0.000 0.000
36 50.000 69.231 46.154 55.128 7.138 0.000 0.000 0.000 0.000 0.000
