#mol_name avg_per_traj standard_error max_max_duration nb_total_of_persistent_contacts nb_frames
SCY 3.589 0.031 26.0 6306 601
SCI 2.081 0.006 5.0 2516 601
SCL 2.107 0.007 5.0 3070 601
SCF 2.201 0.007 6.0 3654 601
SCS 0.744 0.095 3.0 34 601
SCT 2.064 0.109 5.0 160 601
SCKN 2.690 0.020 11.0 2650 601
SCRN 3.744 0.036 20.0 5312 601
SCDN 2.574 0.042 7.0 826 601
SCEN 2.966 0.026 13.0 2598 601
SCQ 2.373 0.077 8.0 332 601
SCN 1.218 0.125 4.0 68 601
SCHE 1.487 0.093 2.0 106 601
SCHD 2.007 0.070 5.0 204 601
SCC 2.101 0.010 4.0 834 601
SCM 2.128 0.006 4.0 2762 601
SCYM 0.051 0.036 2.0 2 61
SCHP 0.782 0.112 3.0 38 601
SCK 2.360 0.099 10.0 264 601
SCR 4.095 0.112 34.0 1508 601
SCCM 0.051 0.036 2.0 2 601
SCD 0.103 0.048 2.0 4 601
SCE 0.513 0.107 2.0 24 601
SCV 2.062 0.007 4.0 1726 601
GLYD 2.252 0.044 22.0 818 601
SCA 1.985 0.027 3.0 284 601
SCP 2.815 0.031 11.0 1514 601
SCW 3.998 0.034 29.0 7266 601
