#resid average_duration max_duration persistent_contacts
1 4.485632183908046 35 348
10 5.143790849673203 35 306
11 4.154929577464789 33 426
12 5.1702702702702705 107 370
13 5.362068965517241 107 406
14 4.319361277445109 20 501
15 4.472350230414746 26 434
16 4.416666666666667 21 456
17 4.648401826484018 28 438
18 4.728929384965832 31 439
19 4.638115631691649 31 467
2 4.6706586826347305 24 334
20 4.327751196172249 23 418
21 4.245569620253165 18 395
22 4.532863849765258 33 426
23 4.4770408163265305 28 392
24 4.488038277511961 18 418
25 4.569651741293533 24 402
26 4.360623781676413 36 513
3 4.5090439276485785 38 387
4 4.302267002518891 30 397
5 4.323529411764706 26 442
6 4.846575342465753 38 365
7 4.424821002386635 28 419
8 4.293981481481482 22 432
9 4.541176470588235 24 425
#TOTAL_CONTACTS 29361 for 10100 frames
