#resid average_duration max_duration persistent_contacts
1 4.2908587257617725 23 722
10 4.2803234501347704 27 742
11 4.706944444444445 69 720
12 4.643533123028392 69 634
13 4.397471910112359 22 712
14 4.565562913907285 135 755
15 4.242339832869081 26 718
16 4.2444444444444445 23 630
17 4.173602853745541 26 841
18 4.119480519480519 27 770
19 4.4853128991060025 29 783
2 4.291420118343195 24 676
20 4.382228490832158 23 709
21 4.296395193591455 24 749
22 4.189261744966443 27 745
23 4.18508655126498 30 751
24 4.651079136690647 33 834
25 4.105985037406484 28 802
26 4.21497919556172 20 721
3 4.392466585662212 27 823
4 4.255700325732899 37 614
5 4.404371584699454 24 732
6 4.23543990086741 25 807
7 4.1021711366538955 28 783
8 4.791574279379158 135 451
9 3.979905437352246 19 846
#TOTAL_CONTACTS 50116 for 10100 frames
