#resid average_duration max_duration persistent_contacts
1 5.584149184149184 73 2145
10 5.8882352941176475 84 1870
11 6.014425553838228 92 1941
12 6.321194029850746 71 1675
13 6.222106901920083 119 1927
14 6.140575079872204 146 1878
15 5.876432486297957 83 2007
16 6.019020446980504 85 2103
17 6.012484394506866 106 1602
18 5.599086236436322 85 1751
19 6.099103848181339 74 1897
2 6.238119834710743 89 1936
20 5.584833606110202 80 1833
21 5.6775631500742945 84 2019
22 6.022679324894515 98 1896
23 6.240235420010701 106 1869
24 5.641176470588236 84 2040
25 5.9169921875 84 2048
26 5.694068678459938 87 1922
3 6.083503054989817 98 1964
4 6.141533710756562 88 1943
5 5.908002177463255 70 1837
6 6.060368921185019 66 1789
7 5.867656153370439 92 1617
8 6.016912165848336 89 1833
9 5.996145374449339 146 1816
#TOTAL_CONTACTS 171642 for 10100 frames
