x	PMF_mean	std_dev	std_error
0.500000	6.000934	6.512595	3.760048
1.500000	5.696985	5.857585	3.381878
2.500000	5.050162	4.536168	2.618958
3.500000	4.246278	3.043862	1.757375
4.500000	3.072473	1.656951	0.956641
5.500000	1.624736	0.784771	0.453088
6.500000	0.009633	0.290309	0.167610
7.500000	-1.509766	0.036919	0.021315
8.500000	-2.836746	0.155233	0.089624
9.500000	-3.901623	0.264291	0.152589
10.500000	-4.691943	0.374490	0.216212
11.500000	-5.208415	0.471617	0.272288
12.500000	-5.491792	0.559434	0.322989
13.500000	-5.512282	0.630928	0.364267
14.500000	-5.247362	0.713692	0.412050
15.500000	-4.707710	0.764984	0.441664
16.500000	-3.864517	0.802701	0.463440
17.500000	-2.741738	0.837551	0.483560
18.500000	-1.377525	0.853817	0.492952
19.500000	0.060392	0.830967	0.479759
20.500000	1.292717	0.764639	0.441465
21.500000	1.995168	0.562151	0.324558
22.500000	1.909049	0.391229	0.225876
23.500000	1.441939	0.303716	0.175350
24.500000	1.027668	0.217280	0.125447
25.500000	0.649883	0.149670	0.086412
26.500000	0.375815	0.116073	0.067015
27.500000	0.231807	0.078721	0.045450
28.500000	0.110760	0.044029	0.025420
29.500000	0.079948	0.040130	0.023169
30.500000	0.064088	0.067095	0.038737
31.500000	0.092219	0.075427	0.043548
32.500000	0.146164	0.098231	0.056714
33.500000	0.177399	0.075945	0.043847
34.500000	0.160013	0.080099	0.046245
35.500000	0.171856	0.062949	0.036344
36.500000	0.166907	0.081907	0.047289
37.500000	0.165004	0.079559	0.045933
38.500000	0.124532	0.080118	0.046256
39.500000	0.143036	0.055516	0.032052
40.500000	0.140756	0.052307	0.030199
41.500000	0.104677	0.056592	0.032673
42.500000	0.061466	0.037389	0.021587
43.500000	0.039131	0.036812	0.021253
44.500000	-0.065952	0.002584	0.001492
45.500000	-0.086656	0.013574	0.007837
46.500000	-0.062857	0.027380	0.015808
47.500000	-0.083063	0.034224	0.019759
48.500000	-0.033726	0.041693	0.024071
49.500000	-0.013777	0.067153	0.038771
50.500000	0.019737	0.057411	0.033146
