x	PMF_mean	std_dev	std_error
0.500000	2.928175	1.058614	0.611191
1.500000	2.905020	1.260401	0.727693
2.500000	2.587736	1.488443	0.859353
3.500000	1.673028	1.502567	0.867507
4.500000	0.298576	1.412103	0.815278
5.500000	-1.265128	1.247206	0.720075
6.500000	-2.891015	1.135788	0.655748
7.500000	-4.310719	1.072686	0.619316
8.500000	-5.531319	1.095729	0.632619
9.500000	-6.544558	1.066905	0.615978
10.500000	-7.242079	1.067770	0.616478
11.500000	-7.673981	1.022411	0.590289
12.500000	-7.794275	1.011518	0.584000
13.500000	-7.628945	1.006999	0.581391
14.500000	-7.146141	0.979178	0.565329
15.500000	-6.511488	0.861325	0.497286
16.500000	-5.704412	0.600468	0.346680
17.500000	-4.641949	0.369021	0.213055
18.500000	-3.410605	0.255938	0.147766
19.500000	-1.874918	0.104393	0.060271
20.500000	-0.264562	0.805395	0.464995
21.500000	0.715149	1.094286	0.631786
22.500000	1.155936	1.072510	0.619214
23.500000	1.171235	0.962146	0.555495
24.500000	1.032303	0.809817	0.467548
25.500000	0.803987	0.807647	0.466295
26.500000	0.500906	0.767851	0.443319
27.500000	0.343809	0.749860	0.432932
28.500000	0.290447	0.665371	0.384152
29.500000	0.222411	0.579477	0.334561
30.500000	0.195469	0.568138	0.328015
31.500000	0.171827	0.514806	0.297223
32.500000	0.186867	0.498584	0.287857
33.500000	0.301826	0.533804	0.308192
34.500000	0.342140	0.503828	0.290885
35.500000	0.293014	0.430056	0.248293
36.500000	0.178253	0.328219	0.189497
37.500000	0.195086	0.323760	0.186923
38.500000	0.187920	0.219899	0.126958
39.500000	0.193290	0.323907	0.187008
40.500000	0.268742	0.333094	0.192312
41.500000	0.158296	0.161310	0.093132
42.500000	0.084733	0.053381	0.030820
43.500000	-0.074632	0.152731	0.088179
44.500000	-0.104911	0.118839	0.068612
45.500000	-0.119037	0.132516	0.076508
46.500000	-0.104593	0.080190	0.046297
47.500000	-0.014685	0.135657	0.078322
48.500000	-0.017644	0.104139	0.060125
49.500000	-0.076268	0.165496	0.095549
50.500000	-0.108161	0.080755	0.046624
