x	PMF_mean	std_dev	std_error
0.500000	-16.049498	0.420475	0.242761
1.500000	-15.938198	0.386712	0.223268
2.500000	-15.746595	0.328046	0.189397
3.500000	-15.472336	0.253167	0.146166
4.500000	-15.132237	0.158151	0.091308
5.500000	-14.792771	0.059973	0.034625
6.500000	-14.501616	0.055892	0.032269
7.500000	-14.316780	0.176620	0.101971
8.500000	-14.220920	0.290371	0.167646
9.500000	-14.128022	0.410299	0.236886
10.500000	-13.966756	0.505421	0.291805
11.500000	-13.624108	0.562404	0.324704
12.500000	-13.044216	0.614934	0.355032
13.500000	-12.174801	0.669177	0.386349
14.500000	-10.996714	0.722104	0.416907
15.500000	-9.502274	0.775297	0.447618
16.500000	-7.722222	0.809354	0.467281
17.500000	-5.752368	0.794972	0.458977
18.500000	-3.832272	0.709633	0.409707
19.500000	-2.057283	0.551240	0.318258
20.500000	-1.005845	0.333925	0.192791
21.500000	-0.452967	0.208093	0.120143
22.500000	-0.159994	0.138570	0.080003
23.500000	0.000000	0.000000	0.000000
24.500000	0.000000	0.000000	0.000000
25.500000	0.000000	0.000000	0.000000
26.500000	0.000000	0.000000	0.000000
27.500000	0.000000	0.000000	0.000000
28.500000	0.000000	0.000000	0.000000
29.500000	0.000000	0.000000	0.000000
30.500000	0.000000	0.000000	0.000000
31.500000	0.000000	0.000000	0.000000
32.500000	0.000000	0.000000	0.000000
33.500000	0.000000	0.000000	0.000000
34.500000	0.000000	0.000000	0.000000
35.500000	0.000000	0.000000	0.000000
36.500000	0.000000	0.000000	0.000000
37.500000	0.000000	0.000000	0.000000
38.500000	0.000000	0.000000	0.000000
39.500000	0.000000	0.000000	0.000000
40.500000	0.000000	0.000000	0.000000
41.500000	0.000000	0.000000	0.000000
42.500000	0.000000	0.000000	0.000000
43.500000	0.000000	0.000000	0.000000
44.500000	0.000000	0.000000	0.000000
45.500000	0.000000	0.000000	0.000000
46.500000	0.000000	0.000000	0.000000
47.500000	0.000000	0.000000	0.000000
48.500000	0.000000	0.000000	0.000000
49.500000	0.000000	0.000000	0.000000
50.500000	0.000000	0.000000	0.000000
