x	PMF_mean	std_dev	std_error
0.500000	18.285224	0.684693	0.395308
1.500000	18.285224	0.684693	0.395308
2.500000	18.285224	0.684693	0.395308
3.500000	18.285224	0.684693	0.395308
4.500000	18.285224	0.684693	0.395308
5.500000	17.537948	1.849503	1.067811
6.500000	16.165245	4.192058	2.420286
7.500000	15.105714	6.018995	3.475068
8.500000	14.546935	6.984227	4.032346
9.500000	13.354897	9.045207	5.222253
10.500000	10.846366	9.707797	5.604799
11.500000	7.961128	10.394714	6.001391
12.500000	3.704402	7.005717	4.044753
13.500000	1.555308	5.900771	3.406812
14.500000	0.416831	4.883926	2.819736
15.500000	-0.073714	4.775522	2.757149
16.500000	-0.592560	3.630074	2.095824
17.500000	-0.769659	2.523119	1.456723
18.500000	-0.373818	1.610417	0.929775
19.500000	0.316542	1.484499	0.857076
20.500000	1.420676	1.692620	0.977234
21.500000	3.087650	1.522387	0.878950
22.500000	4.491571	1.803845	1.041451
23.500000	4.815243	1.458002	0.841778
24.500000	5.034221	1.151361	0.664739
25.500000	5.125061	1.701865	0.982572
26.500000	5.400514	1.960061	1.131641
27.500000	5.144525	2.023623	1.168339
28.500000	4.198919	2.043903	1.180048
29.500000	2.600153	1.404390	0.810825
30.500000	2.092055	1.164341	0.672233
31.500000	1.479080	1.268823	0.732556
32.500000	1.676859	1.267509	0.731796
33.500000	0.972823	0.987332	0.570037
34.500000	0.762542	0.791717	0.457098
35.500000	0.382679	0.153979	0.088900
36.500000	-0.095832	0.277049	0.159954
37.500000	-0.236128	0.458510	0.264721
38.500000	-0.340441	0.630965	0.364288
39.500000	-0.279888	0.455236	0.262831
40.500000	0.071366	0.327917	0.189323
41.500000	0.283813	0.132161	0.076303
42.500000	0.418789	0.260321	0.150296
43.500000	0.251124	0.183320	0.105840
44.500000	0.400606	0.240980	0.139130
45.500000	-0.060440	0.291043	0.168034
46.500000	-0.200042	0.359691	0.207668
47.500000	-0.443728	0.179343	0.103544
48.500000	-0.286058	0.331796	0.191563
49.500000	-0.435430	0.086809	0.050119
50.500000	-0.493126	0.130865	0.075555
