x	PMF_mean	std_dev	std_error
0.500000	12.800810	0.126668	0.073132
1.500000	12.785381	0.112623	0.065023
2.500000	12.654442	0.202368	0.116837
3.500000	12.376863	0.635998	0.367194
4.500000	12.166374	0.844631	0.487648
5.500000	11.471411	1.042014	0.601607
6.500000	8.867010	2.174468	1.255430
7.500000	6.771646	2.737784	1.580660
8.500000	5.232272	2.268484	1.309710
9.500000	3.859682	1.834932	1.059399
10.500000	3.016463	0.855546	0.493950
11.500000	2.271773	0.460861	0.266078
12.500000	1.753691	0.355344	0.205158
13.500000	1.474890	0.540404	0.312002
14.500000	1.349391	0.502967	0.290388
15.500000	1.502303	0.436933	0.252264
16.500000	1.865819	0.199104	0.114953
17.500000	2.396464	0.070413	0.040653
18.500000	3.209088	0.376130	0.217159
19.500000	3.676106	0.516869	0.298414
20.500000	3.890272	0.402662	0.232477
21.500000	3.723045	0.100306	0.057912
22.500000	3.262780	0.114510	0.066113
23.500000	2.576418	0.060275	0.034800
24.500000	2.004536	0.153035	0.088355
25.500000	1.433154	0.242933	0.140257
26.500000	0.967472	0.220855	0.127511
27.500000	0.556336	0.370546	0.213935
28.500000	0.295370	0.381531	0.220277
29.500000	0.111105	0.341218	0.197002
30.500000	0.057122	0.140972	0.081390
31.500000	-0.069309	0.167080	0.096464
32.500000	-0.100040	0.129767	0.074921
33.500000	-0.044645	0.120438	0.069535
34.500000	-0.056702	0.143738	0.082987
35.500000	-0.019537	0.103850	0.059958
36.500000	-0.021270	0.113121	0.065311
37.500000	-0.035073	0.102295	0.059060
38.500000	0.030148	0.109188	0.063040
39.500000	0.061073	0.104232	0.060178
40.500000	0.024055	0.059239	0.034202
41.500000	0.002848	0.080812	0.046657
42.500000	-0.012479	0.076265	0.044032
43.500000	-0.002411	0.058599	0.033832
44.500000	0.007885	0.047211	0.027257
45.500000	0.022179	0.064114	0.037016
46.500000	0.022616	0.018339	0.010588
47.500000	-0.007049	0.042664	0.024632
48.500000	-0.010636	0.126241	0.072885
49.500000	-0.047007	0.167289	0.096585
50.500000	0.030619	0.167512	0.096713
