x	PMF_mean	std_dev	std_error
0.500000	2.608638	0.438537	0.253189
1.500000	2.629754	0.489772	0.282770
2.500000	2.676973	0.448530	0.258959
3.500000	2.739944	0.335997	0.193988
4.500000	2.798285	0.287452	0.165960
5.500000	2.600115	0.251872	0.145419
6.500000	1.944962	0.291438	0.168262
7.500000	0.756119	0.245635	0.141817
8.500000	-0.549904	0.165351	0.095466
9.500000	-1.748485	0.105157	0.060712
10.500000	-2.696989	0.067237	0.038819
11.500000	-3.327921	0.073282	0.042310
12.500000	-3.597513	0.072757	0.042006
13.500000	-3.534751	0.082611	0.047695
14.500000	-3.126446	0.107700	0.062181
15.500000	-2.409951	0.169638	0.097941
16.500000	-1.406318	0.248103	0.143242
17.500000	-0.253392	0.266338	0.153770
18.500000	0.943350	0.242111	0.139783
19.500000	1.957481	0.183323	0.105841
20.500000	2.517612	0.144454	0.083400
21.500000	2.522771	0.046555	0.026878
22.500000	2.033777	0.044957	0.025956
23.500000	1.377097	0.051292	0.029613
24.500000	0.771269	0.104876	0.060550
25.500000	0.331935	0.136880	0.079028
26.500000	0.035004	0.155505	0.089781
27.500000	-0.137151	0.171414	0.098966
28.500000	-0.211714	0.168369	0.097208
29.500000	-0.237596	0.169093	0.097626
30.500000	-0.225279	0.140451	0.081089
31.500000	-0.164730	0.120983	0.069850
32.500000	-0.127468	0.101283	0.058476
33.500000	-0.079472	0.087526	0.050533
34.500000	-0.066097	0.086733	0.050076
35.500000	-0.051561	0.074921	0.043255
36.500000	-0.046394	0.056484	0.032611
37.500000	-0.047218	0.024081	0.013903
38.500000	-0.036545	0.030489	0.017603
39.500000	-0.024776	0.003048	0.001760
40.500000	-0.011274	0.002945	0.001700
41.500000	-0.007569	0.023280	0.013441
42.500000	-0.001520	0.018617	0.010748
43.500000	-0.010832	0.012358	0.007135
44.500000	-0.014460	0.028327	0.016354
45.500000	-0.007240	0.021015	0.012133
46.500000	0.011471	0.026264	0.015163
47.500000	0.013371	0.022635	0.013068
48.500000	0.006075	0.020084	0.011595
49.500000	0.021977	0.012624	0.007288
50.500000	0.028986	0.004964	0.002866
