z	401-600ns	601-800ns	801-1000ns
    0.500000    19.316605    19.316625    19.347040
    1.500000    19.316605    19.316625    19.347040
    2.500000    19.316605    19.316625    19.347040
    3.500000    19.316605    19.316625    19.347040
    4.500000    19.316605    19.316625    19.347040
    5.500000    19.316605    19.316625    19.347040
    6.500000    19.316605    19.316625    19.347040
    7.500000    19.316605    19.316625    19.347040
    8.500000    19.316605    19.316625    19.347040
    9.500000    19.316605    19.316625    19.347040
   10.500000    19.316605    19.316625    19.347040
   11.500000    19.316605    19.316625    19.347040
   12.500000    19.316605    19.316625    18.887560
   13.500000    19.316605    19.316625    17.140662
   14.500000    16.721689    18.857125    15.446775
   15.500000    13.538702    15.760486    13.191601
   16.500000    11.370671    13.161077    11.244559
   17.500000    10.076741    10.229492     9.354909
   18.500000     9.554619     9.026987     8.575432
   19.500000     8.708077     8.234814     7.470634
   20.500000     7.060378     6.819050     6.766027
   21.500000     5.534098     5.160304     5.369313
   22.500000     3.845164     3.428472     3.757190
   23.500000     2.453588     2.132616     2.486267
   24.500000     1.236987     1.098036     1.382119
   25.500000     0.363430     0.248402     0.529633
   26.500000    -0.223832    -0.326534    -0.137090
   27.500000    -0.602313    -0.715291    -0.419198
   28.500000    -0.721114    -0.741869    -0.552753
   29.500000    -0.670948    -0.783473    -0.591219
   30.500000    -0.616060    -0.659003    -0.549842
   31.500000    -0.483010    -0.581785    -0.436063
   32.500000    -0.384627    -0.428265    -0.339067
   33.500000    -0.296063    -0.326741    -0.265472
   34.500000    -0.258339    -0.332865    -0.153967
   35.500000    -0.221775    -0.250152    -0.098164
   36.500000    -0.211789    -0.257212    -0.037069
   37.500000    -0.206673    -0.205849     0.007310
   38.500000    -0.142773    -0.227774    -0.010326
   39.500000    -0.128874    -0.199736     0.021768
   40.500000    -0.094474    -0.127348     0.037021
   41.500000    -0.073536    -0.065068     0.001808
   42.500000    -0.021182    -0.068524     0.050935
   43.500000     0.001677    -0.063108     0.032518
   44.500000     0.009382     0.018255     0.027196
   45.500000    -0.004943     0.052927     0.047479
   46.500000    -0.008364     0.012899    -0.050392
   47.500000     0.059022     0.069410    -0.040637
   48.500000     0.079082     0.077448    -0.014629
   49.500000     0.053337     0.093110    -0.091298
   50.500000     0.103859     0.080377    -0.084752
   51.500000     0.053337     0.075375    -0.091185
   52.500000     0.139111     0.160026    -0.086785
   53.500000     0.047062     0.096549    -0.070360
   54.500000     0.073108     0.176211    -0.049705
   55.500000     0.060112     0.177480     0.020589
   56.500000     0.017588     0.140064     0.051292
   57.500000     0.035279     0.104674     0.035124
   58.500000     0.023193     0.102209     0.095934
   59.500000     0.022954     0.085267     0.075741
   60.500000     0.049836     0.083432     0.075741
   61.500000    -0.007893     0.117035     0.080201
   62.500000     0.013304     0.079766     0.102498
   63.500000    -0.006123     0.164820     0.075260
   64.500000     0.097457     0.271088     0.174352
   65.500000     0.273639     0.428574     0.388048
   66.500000     0.599308     0.844585     0.625147
   67.500000     1.132145     1.181514     1.105995
   68.500000     1.681750     1.819574     1.727265
   69.500000     2.595606     2.685600     2.523522
   70.500000     3.753309     3.672751     3.443379
   71.500000     5.286256     5.102320     4.814392
   72.500000     7.129488     6.611871     6.379465
   73.500000     8.826931     8.645156     7.909856
   74.500000    11.436139    11.134328    10.474349
   75.500000    12.852116    13.616217    12.176994
   76.500000    15.699783    16.908443    15.982500
   77.500000    17.835241    19.316625    19.347040
   78.500000    19.316605    19.316625    19.347040
