z	401-600ns	601-800ns	801-1000ns
    0.500000   -16.546834   -11.295061   -11.469582
    1.500000   -16.523324   -11.218221   -11.387952
    2.500000   -16.419263   -11.053049   -11.263188
    3.500000   -16.305732   -10.822883   -11.063743
    4.500000   -16.082943   -10.518123   -10.808628
    5.500000   -15.818772   -10.255283   -10.520913
    6.500000   -15.734443   -10.215053   -10.473533
    7.500000   -15.895980   -10.430661   -10.617532
    8.500000   -16.255666   -10.893412   -11.074312
    9.500000   -16.672407   -11.328515   -11.521429
   10.500000   -17.036193   -11.562598   -11.805763
   11.500000   -16.999116   -11.623510   -11.842573
   12.500000   -16.622149   -11.231450   -11.500642
   13.500000   -15.842316   -10.461016   -10.773130
   14.500000   -14.735976    -9.353352    -9.729450
   15.500000   -13.399260    -7.886988    -8.423661
   16.500000   -11.690823    -6.295475    -6.781599
   17.500000    -9.789552    -4.203587    -5.085362
   18.500000    -8.057114    -2.221753    -2.784017
   19.500000    -6.289284    -0.270286    -0.750759
   20.500000    -3.727074     1.393452     0.707746
   21.500000    -2.424132     3.082985     2.066225
   22.500000    -0.323907     2.903594     2.175824
   23.500000     0.035048     1.614196     0.676657
   24.500000    -0.899663     1.512463    -0.287226
   25.500000    -2.082036     1.239723    -0.352617
   26.500000    -1.991608     0.712356    -0.870625
   27.500000    -1.909732     0.552216    -1.314169
   28.500000    -2.315179     0.720434    -1.032541
   29.500000    -1.873812     1.076129    -1.109758
   30.500000    -1.152757     1.029967    -1.543802
   31.500000    -0.638054     0.832102    -1.369651
   32.500000    -0.475392     1.166237    -1.057065
   33.500000    -0.772251     0.944522    -1.079154
   34.500000    -0.827647     0.802673    -1.063712
   35.500000    -0.065781     0.708327    -0.943617
   36.500000    -0.323907     0.452055    -0.913264
   37.500000    -0.772251     0.605762    -0.861051
   38.500000    -0.065781     0.160455    -0.410626
   39.500000    -1.525172     0.065095    -0.453274
   40.500000    -1.368043     0.147530    -0.340854
   41.500000    -0.827647     0.273080    -0.320134
   42.500000    -0.233072     0.099643     0.050615
   43.500000    -0.558035    -0.023779     0.013022
   44.500000     0.335124    -0.002612    -0.024018
   45.500000     0.035048     0.043354    -0.125568
   46.500000     1.069871     0.006514    -0.070386
   47.500000    -0.065781    -0.267554     0.047175
   48.500000     0.423568    -0.187006     0.288769
   49.500000     1.188967    -0.089170     0.481378
   50.500000     1.069871     0.031014     0.452945
   51.500000     1.887082     0.102807     0.526718
   52.500000     2.357352     0.594191     0.385199
   53.500000     2.111265     0.320958     0.424829
   54.500000     2.855951     0.815243     0.357825
   55.500000     1.887082     0.345243     0.319227
   56.500000     1.537160     0.708327     0.412874
   57.500000     1.069871     0.769455     0.440857
   58.500000     1.400889     0.636878     0.526718
   59.500000     1.731132     0.345243     0.071359
   60.500000     2.559091     0.232753     0.326899
   61.500000     1.731132    -0.035795     0.485467
   62.500000     0.453753     0.664423     0.170488
   63.500000     1.229950     1.043727     0.456987
   64.500000     1.537160     1.529135     0.922178
   65.500000     2.111265     1.979750     0.869217
   66.500000     2.111265     2.479596     1.624643
   67.500000     3.478136     3.242894     1.983335
   68.500000     4.450159     4.115260     2.708403
   69.500000     5.787556     4.631418     4.029041
   70.500000     5.787556     4.829975     5.017801
   71.500000     5.787556     5.770585     6.715842
   72.500000     5.787556     8.202912     9.389582
   73.500000     5.787556    11.134319    10.870947
