           z    400-600ns    600-800ns   800-1000ns
    0.500000    19.274195    19.268742    19.306143
    1.500000    19.274195    19.268742    19.306143
    2.500000    19.274195    19.268742    19.306143
    3.500000    19.274195    19.268742    19.306143
    4.500000    19.274195    19.268742    19.306143
    5.500000    18.252264    19.268742    19.306143
    6.500000    17.936804    19.268742    19.306143
    7.500000    15.373733    15.971244    17.099625
    8.500000    11.879731    13.202316    13.194702
    9.500000     8.164473    10.713273    10.602849
   10.500000     6.010165     7.669507     8.704928
   11.500000     4.186004     5.278025     6.562442
   12.500000     3.003787     3.947843     4.887085
   13.500000     2.221627     3.064173     3.608374
   14.500000     1.778717     2.673215     2.882434
   15.500000     1.834145     2.442130     2.484293
   16.500000     2.294713     2.555191     2.606913
   17.500000     2.943118     2.953977     3.116658
   18.500000     3.456030     3.396197     3.738988
   19.500000     4.069676     3.744373     3.982351
   20.500000     4.094592     3.760402     3.868460
   21.500000     3.583389     3.266895     3.293295
   22.500000     2.630367     2.552866     2.410888
   23.500000     1.907945     1.894059     1.739564
   24.500000     1.156785     1.261472     1.126131
   25.500000     0.586432     0.822352     0.719846
   26.500000     0.282985     0.490484     0.422039
   27.500000     0.123017     0.262117     0.195596
   28.500000    -0.001926     0.132530     0.045465
   29.500000     0.050180     0.079840    -0.046222
   30.500000     0.006503     0.017281    -0.065971
   31.500000    -0.004929    -0.006401    -0.101706
   32.500000    -0.029424    -0.000260    -0.082810
   33.500000     0.007227    -0.007724    -0.070480
   34.500000     0.012178     0.060625    -0.070942
   35.500000    -0.040459     0.041187    -0.033242
   36.500000     0.012178     0.046462    -0.038161
   37.500000    -0.048260     0.026280    -0.050417
   38.500000    -0.045308     0.025793    -0.015241
   39.500000    -0.042944    -0.014446    -0.037108
   40.500000    -0.025497     0.005050    -0.026904
   41.500000     0.004574     0.022749     0.020791
   42.500000     0.014113    -0.017560     0.016483
   43.500000     0.041971    -0.041749     0.044618
   44.500000     0.021504    -0.019236    -0.020903
   45.500000    -0.059213    -0.014326    -0.003169
   46.500000    -0.044481     0.034945    -0.028314
   47.500000    -0.006610    -0.004476     0.008365
   48.500000    -0.000964     0.006983    -0.022316
   49.500000     0.054602     0.027620     0.011347
   50.500000     0.061620     0.031524     0.043772
   51.500000     0.083660    -0.019116     0.050429
   52.500000     0.083660    -0.038189     0.006221
   53.500000     0.110039    -0.036882    -0.012997
   54.500000     0.062729    -0.053107    -0.028079
   55.500000     0.010487     0.005050     0.036289
   56.500000     0.032204    -0.026047     0.018397
   57.500000     0.001322    -0.034742     0.032556
   58.500000    -0.020371    -0.103249     0.006816
   59.500000     0.027821    -0.127779    -0.007792
   60.500000     0.056324    -0.111106     0.048127
   61.500000     0.007589    -0.022345     0.053946
   62.500000     0.029403    -0.029266     0.082260
   63.500000     0.085651     0.004204     0.141618
   64.500000     0.255409     0.100082     0.262723
   65.500000     0.492554     0.319487     0.502230
   66.500000     0.861090     0.577202     0.815854
   67.500000     1.315706     1.071894     1.327266
   68.500000     1.996160     1.608016     1.888619
   69.500000     2.727170     2.216190     2.578336
   70.500000     3.873153     3.187509     3.743706
   71.500000     5.374144     4.370565     5.225997
   72.500000     7.513388     6.212896     6.995772
   73.500000     9.730840     8.330514    10.021370
   74.500000    12.193404    10.952646    13.853732
   75.500000    15.657221    14.882101    17.968756
   76.500000    18.426153    17.521748    19.306143
   77.500000    19.274195    19.268742    19.306143
   78.500000    19.274195    19.268742    19.306143
