           z         mean           se
    0.500000    19.407978     0.016316
    1.500000    19.407978     0.016316
    2.500000    19.407978     0.016316
    3.500000    19.407978     0.016316
    4.500000    19.407978     0.016316
    5.500000    19.407978     0.016316
    6.500000    19.407978     0.016316
    7.500000    19.407978     0.016316
    8.500000    19.305882     0.065535
    9.500000    18.041428     0.485948
   10.500000    14.287868     0.596730
   11.500000    10.377172     0.442128
   12.500000     7.546655     0.279384
   13.500000     5.412737     0.218314
   14.500000     3.808659     0.203786
   15.500000     2.691257     0.178740
   16.500000     2.029221     0.151543
   17.500000     1.829600     0.117502
   18.500000     1.981006     0.100211
   19.500000     2.326800     0.092838
   20.500000     2.593674     0.094065
   21.500000     2.677764     0.078914
   22.500000     2.546749     0.057908
   23.500000     2.285464     0.062170
   24.500000     2.000468     0.058628
   25.500000     1.699327     0.049444
   26.500000     1.409424     0.037239
   27.500000     1.116657     0.036762
   28.500000     0.860514     0.036579
   29.500000     0.623274     0.029927
   30.500000     0.464737     0.026780
   31.500000     0.368842     0.030080
   32.500000     0.291522     0.025072
   33.500000     0.247449     0.028327
   34.500000     0.212555     0.027746
   35.500000     0.168099     0.030491
   36.500000     0.124511     0.025030
   37.500000     0.101356     0.017711
   38.500000     0.066986     0.019273
   39.500000     0.052933     0.014664
   40.500000     0.037313     0.010099
   41.500000     0.033659     0.009011
   42.500000     0.010844     0.007472
   43.500000     0.006434     0.012301
   44.500000     0.011701     0.005437
   45.500000    -0.017058     0.004890
   46.500000    -0.006319     0.010438
   47.500000    -0.024789     0.008841
   48.500000    -0.035112     0.009010
   49.500000    -0.016674     0.013169
   50.500000    -0.029150     0.013639
   51.500000    -0.013614     0.013638
   52.500000    -0.019829     0.020048
   53.500000    -0.010659     0.014989
   54.500000    -0.027202     0.017925
   55.500000    -0.014607     0.025907
   56.500000    -0.022580     0.015190
   57.500000    -0.019024     0.029473
   58.500000    -0.013598     0.022350
   59.500000    -0.017923     0.027890
   60.500000    -0.016200     0.022949
   61.500000    -0.014900     0.031254
   62.500000     0.002709     0.028993
   63.500000     0.076032     0.038393
   64.500000     0.223179     0.028307
   65.500000     0.497956     0.048161
   66.500000     0.859641     0.056830
   67.500000     1.350475     0.074661
   68.500000     1.945936     0.092382
   69.500000     2.699477     0.112789
   70.500000     3.798643     0.160938
   71.500000     5.319799     0.192028
   72.500000     7.154729     0.261048
   73.500000     9.497229     0.338008
   74.500000    10.631032     0.516828
   75.500000    13.980831     0.492126
   76.500000    17.617147     0.487969
   77.500000    19.219574     0.119099
