           z    400-600ns    600-800ns   800-1000ns
    0.500000   -15.063225   -20.634690   -12.969934
    1.500000   -14.920420   -20.524697   -12.836571
    2.500000   -14.700442   -20.278409   -12.603119
    3.500000   -14.314743   -19.964760   -12.273243
    4.500000   -13.913352   -19.568333   -11.829482
    5.500000   -13.452101   -19.142869   -11.463195
    6.500000   -13.170700   -18.922193   -11.207630
    7.500000   -13.078505   -18.713514   -11.123956
    8.500000   -13.057957   -18.804949   -11.103615
    9.500000   -13.143430   -18.845616   -11.176878
   10.500000   -13.145768   -18.873158   -11.197271
   11.500000   -12.926827   -18.636540   -10.928474
   12.500000   -12.417809   -18.112722   -10.433801
   13.500000   -11.607673   -17.307036    -9.539786
   14.500000   -10.471769   -16.031188    -8.322947
   15.500000    -8.885362   -14.484758    -6.844092
   16.500000    -7.092501   -12.460664    -5.041132
   17.500000    -4.705797   -10.328495    -2.541746
   18.500000    -2.670399    -7.472097    -0.262248
   19.500000     0.092687    -5.180827     2.035086
   20.500000     1.305436    -3.617737     4.202337
   21.500000     3.352826    -1.926131     5.607700
   22.500000     3.963545    -2.202615     5.643450
   23.500000     5.630501    -1.656519     3.790697
   24.500000     3.228338    -0.286396     1.697460
   25.500000     1.753653     1.604669     0.833350
   26.500000     0.748700     2.094019     0.275218
   27.500000     1.194632     2.094019    -0.223928
   28.500000    -0.295832     0.347015    -0.272599
   29.500000    -0.531956     2.094019    -0.357240
   30.500000    -0.258045     0.347015    -0.564863
   31.500000    -0.476712     0.632648    -0.426206
   32.500000    -0.325660     1.072087    -0.487019
   33.500000    -0.645476     0.347015    -0.134606
   34.500000    -0.809769     0.010464    -0.159937
   35.500000    -0.828055     1.072087    -0.042003
   36.500000    -0.760349     0.632648    -0.416469
   37.500000    -0.722636     1.604669    -0.094279
   38.500000    -0.483684     2.942063    -0.000154
   39.500000    -0.347801    -0.551946    -0.109018
   40.500000    -0.125156     0.010464    -0.015452
   41.500000    -0.204172     0.010464     0.245441
   42.500000    -0.347801     0.010464     0.384532
   43.500000     0.264700    -0.286396     0.054134
   44.500000    -0.084700    -0.551946     0.305351
   45.500000     0.292967     0.347015    -0.333826
   46.500000    -0.060111     0.632648    -0.213375
   47.500000    -0.427360     1.072087     0.065920
   48.500000     0.659473    -0.958404    -0.145494
   49.500000     0.032160    -0.286396    -0.347232
   50.500000    -0.369749    -0.286396    -0.185016
   51.500000     0.163688    -0.551946    -0.393601
   52.500000     0.510547    -2.068162    -0.310192
   53.500000     0.369931    -0.958404    -0.742428
   54.500000     0.331155     0.347015    -0.518445
   55.500000    -0.377023    -1.488431    -1.113743
   56.500000    -0.092843    -0.958404    -0.690459
   57.500000    -0.766579    -1.775615    -0.918982
   58.500000    -0.060111    -1.488431    -0.921645
   59.500000    -0.092843    -2.705406    -0.948120
   60.500000    -0.295832    -2.068162    -0.987318
   61.500000    -0.858240    -3.483540    -0.892198
   62.500000    -0.605991    -2.810438    -0.804524
   63.500000    -1.048875    -2.421918    -0.733841
   64.500000     0.092687    -1.488431    -0.552568
   65.500000    -0.001785    -2.068162     0.335849
   66.500000     1.101521    -0.734222     0.759681
   67.500000     0.782991     0.632648     2.104859
   68.500000     2.156307     2.094019     3.392334
   69.500000     2.541519     2.942063     4.573973
   70.500000     3.198154     2.942063     4.504281
   71.500000     4.715854     2.942063     6.392631
   72.500000     7.080602     2.942063    10.547748
