           z    400-600ns    600-800ns   800-1000ns
    0.500000    12.953759    15.114154    14.858081
    1.500000    12.552882    15.114154    14.858081
    2.500000    10.843300    12.345476    12.548796
    3.500000    11.038770    11.323588    13.836220
    4.500000     8.762146     7.706681     9.210806
    5.500000     6.683768     5.107845     5.101351
    6.500000     3.704791     2.377253     2.117793
    7.500000     0.479913    -0.469330    -0.562808
    8.500000    -2.284083    -2.996775    -3.286950
    9.500000    -4.261669    -5.228236    -5.495715
   10.500000    -5.913428    -6.968457    -7.171084
   11.500000    -7.180024    -8.161909    -8.278688
   12.500000    -7.938023    -8.838724    -8.965022
   13.500000    -8.246140    -8.920346    -9.180735
   14.500000    -8.069092    -8.598389    -8.954135
   15.500000    -7.422617    -7.877010    -8.311831
   16.500000    -6.385076    -6.725185    -7.338422
   17.500000    -4.931473    -5.241507    -5.937340
   18.500000    -3.269744    -3.613591    -4.097268
   19.500000    -1.697588    -1.721290    -2.412296
   20.500000    -0.262349    -0.191904    -0.689950
   21.500000     0.560031     1.051441     0.181200
   22.500000     0.732422     1.753159     0.558439
   23.500000     0.545446     2.048762     0.466624
   24.500000     0.241992     1.594899     0.170043
   25.500000    -0.054867     1.236905    -0.101955
   26.500000    -0.222569     1.278190    -0.293062
   27.500000    -0.322210     1.453789    -0.358895
   28.500000    -0.375422     1.177218    -0.338355
   29.500000    -0.404650     1.655807    -0.204442
   30.500000    -0.362665     1.753159    -0.028954
   31.500000    -0.040375     1.324398    -0.011750
   32.500000    -0.064317     1.509060     0.181200
   33.500000    -0.059348     1.298040    -0.166415
   34.500000    -0.014178     1.267805    -0.039220
   35.500000     0.056693     0.795707    -0.072468
   36.500000     0.325775     0.619012    -0.081888
   37.500000     0.087085     0.635086    -0.028954
   38.500000     0.263385     0.537041    -0.194829
   39.500000     0.061907     0.373410    -0.104618
   40.500000     0.014853     0.240355    -0.229268
   41.500000     0.059299     0.337332    -0.041951
   42.500000     0.002589     0.139675    -0.114582
   43.500000     0.126936     0.116597    -0.062337
   44.500000     0.036978     0.189174    -0.111265
   45.500000    -0.066302     0.110042     0.074648
   46.500000     0.039563    -0.165634    -0.134391
   47.500000    -0.040375    -0.208689     0.022315
   48.500000    -0.073732    -0.309891     0.206674
   49.500000    -0.099809    -0.448960     0.390155
   50.500000    -0.054867    -0.638811     0.251499
   51.500000    -0.090492    -0.802172    -0.143582
   52.500000     0.051490    -0.667345    -0.127805
   53.500000    -0.115911    -0.799892     0.091138
   54.500000    -0.047382    -0.804450     0.022315
   55.500000    -0.165993    -0.803995     0.137598
   56.500000    -0.061834    -0.978642     0.152294
   57.500000    -0.155002    -0.914505     0.374814
   58.500000    -0.268766    -0.944409     0.133937
   59.500000    -0.143483    -0.855842     0.301042
   60.500000    -0.080646    -0.837929     0.343614
   61.500000     0.109324    -0.751988     0.446667
   62.500000     0.178882    -0.419950     0.546347
   63.500000     0.630979    -0.012616     1.085170
   64.500000     0.883262     0.119881     1.677904
   65.500000     1.292958     0.904581     2.046478
   66.500000     1.837777     1.442657     2.330674
   67.500000     2.301313     2.098701     3.302384
   68.500000     3.113317     3.082019     4.257064
   69.500000     4.015529     5.131735     5.710127
   70.500000     5.998737     6.734134     7.056219
   71.500000     6.871103     7.233863     8.637699
   72.500000     9.291814     9.576630    10.801837
   73.500000    13.890159    15.114154    14.858081
   74.500000    15.636886    15.114154    14.858081
   75.500000    15.636886    15.114154    14.858081
   76.500000    15.636886    15.114154    14.858081
