           z    400-600ns    600-800ns   800-1000ns
    0.500000    16.065468    16.526336    16.955172
    1.500000    16.065468    16.526336    16.955172
    2.500000    15.217521    16.526336    15.770842
    3.500000    13.470638    15.865199    14.024059
    4.500000     9.450588     9.476600    11.053541
    5.500000     6.272368     6.477740     7.441241
    6.500000     2.922129     2.529296     4.374607
    7.500000    -0.255201     0.083104     1.157217
    8.500000    -2.759775    -2.270080    -1.214473
    9.500000    -4.604056    -4.070876    -3.195669
   10.500000    -5.990086    -5.450191    -4.730653
   11.500000    -7.007131    -6.381907    -5.744223
   12.500000    -7.562782    -6.919717    -6.283948
   13.500000    -7.681232    -7.001801    -6.369652
   14.500000    -7.312757    -6.662128    -6.020238
   15.500000    -6.651908    -5.944537    -5.356687
   16.500000    -5.544944    -4.854100    -4.276891
   17.500000    -4.178793    -3.523013    -2.993335
   18.500000    -2.590953    -2.024899    -1.594296
   19.500000    -1.026250    -0.484403    -0.281463
   20.500000     0.094085     0.935735     0.816370
   21.500000     0.799165     1.368734     0.954449
   22.500000     0.675970     1.106883     0.749255
   23.500000     0.131378     0.852071     0.207326
   24.500000    -0.037557     0.384451     0.014047
   25.500000    -0.096548     0.112117    -0.199989
   26.500000    -0.221191    -0.005557    -0.306710
   27.500000    -0.382402    -0.094653    -0.393135
   28.500000    -0.316953    -0.091204    -0.339896
   29.500000    -0.218435    -0.116614    -0.363784
   30.500000     0.009443    -0.128204    -0.280653
   31.500000     0.126855    -0.120028    -0.206116
   32.500000     0.120087     0.015958    -0.306710
   33.500000     0.228745    -0.043474    -0.206672
   34.500000     0.210463     0.090511    -0.180678
   35.500000     0.305170     0.044204    -0.257051
   36.500000     0.263327    -0.051550    -0.065422
   37.500000     0.163265     0.102036    -0.100179
   38.500000     0.236284     0.109126    -0.083882
   39.500000     0.102126     0.086064    -0.033160
   40.500000     0.120087     0.048942    -0.063657
   41.500000     0.098549     0.133155     0.052275
   42.500000     0.120087     0.116985     0.015868
   43.500000    -0.006464     0.027146     0.016780
   44.500000     0.066583    -0.042418     0.014047
   45.500000     0.004703    -0.058902     0.002842
   46.500000     0.012463    -0.031840    -0.058059
   47.500000    -0.027802    -0.030427    -0.055108
   48.500000    -0.140004    -0.113195    -0.049787
   49.500000    -0.248202    -0.049446     0.124800
   50.500000    -0.208566    -0.086713     0.005563
   51.500000    -0.151763    -0.041363     0.137518
   52.500000    -0.173916    -0.039954     0.180921
   53.500000    -0.133900    -0.106343     0.120680
   54.500000     0.045933    -0.107372     0.193274
   55.500000     0.128664    -0.173368     0.089527
   56.500000     0.131831    -0.139402     0.174120
   57.500000     0.366532    -0.066929     0.304540
   58.500000     0.729343     0.171548     0.509147
   59.500000     0.986490     0.461904     0.786503
   60.500000     1.239642     0.929001     1.238777
   61.500000     1.797312     1.267917     1.575610
   62.500000     2.266143     1.950930     2.259473
   63.500000     2.775786     2.458078     2.969056
   64.500000     3.683994     3.606490     3.831449
   65.500000     5.065879     4.892471     5.272097
   66.500000     6.819297     7.179535     7.085974
   67.500000     8.440871     7.921128     7.511582
   68.500000    11.549812     9.911645    10.912177
   69.500000    13.859139    14.320125    13.002202
   70.500000    14.584163    16.526336    16.955172
   71.500000    16.065468    16.526336    16.955172
