           z         mean           se
    0.500000   -18.071692     1.397797
    1.500000   -17.966918     1.397398
    2.500000   -17.754994     1.398793
    3.500000   -17.417780     1.394805
    4.500000   -16.999073     1.396041
    5.500000   -16.621887     1.397993
    6.500000   -16.345627     1.396622
    7.500000   -16.191992     1.396592
    8.500000   -16.187522     1.400894
    9.500000   -16.273593     1.401957
   10.500000   -16.310750     1.403032
   11.500000   -16.191225     1.396633
   12.500000   -15.757521     1.381603
   13.500000   -14.979791     1.375739
   14.500000   -13.834704     1.366682
   15.500000   -12.398211     1.359809
   16.500000   -10.629134     1.347561
   17.500000    -8.643366     1.319494
   18.500000    -6.600111     1.308315
   19.500000    -4.492901     1.208325
   20.500000    -2.499868     0.986804
   21.500000    -0.303522     0.756376
   22.500000     0.436256     0.702683
   23.500000     0.493469     0.501737
   24.500000     0.110078     0.416590
   25.500000     0.071501     0.384464
   26.500000    -0.374191     0.341546
   27.500000    -0.630046     0.309531
   28.500000    -0.575972     0.445213
   29.500000    -0.819452     0.328345
   30.500000    -0.717591     0.302518
   31.500000    -0.686327     0.319952
   32.500000    -0.807699     0.383417
   33.500000    -0.516274     0.226482
   34.500000    -0.420107     0.331971
   35.500000    -0.315976     0.242000
   36.500000    -0.344195     0.200985
   37.500000    -0.191099     0.167254
   38.500000    -0.301079     0.220508
   39.500000    -0.259655     0.230989
   40.500000     0.026632     0.113970
   41.500000     0.094579     0.134594
   42.500000     0.181233     0.149543
   43.500000    -0.165143     0.077261
   44.500000    -0.002483     0.120533
   45.500000     0.051019     0.050828
   46.500000     0.069480     0.073673
   47.500000     0.041042     0.061917
   48.500000    -0.197436     0.070385
   49.500000    -0.098923     0.089345
   50.500000    -0.135918     0.112454
   51.500000    -0.053886     0.179152
   52.500000    -0.021594     0.179187
   53.500000     0.057343     0.151618
   54.500000    -0.268458     0.163975
   55.500000     0.043180     0.082803
   56.500000    -0.293458     0.170354
   57.500000    -0.184682     0.212899
   58.500000     0.106852     0.172474
   59.500000     0.262790     0.179127
   60.500000     0.305547     0.300253
   61.500000     0.544822     0.306185
   62.500000     0.637041     0.395415
   63.500000     0.841216     0.409843
   64.500000     1.037238     0.428424
   65.500000     1.292772     0.425119
   66.500000     1.598656     0.391584
   67.500000     1.923536     0.414652
   68.500000     2.512231     0.505921
   69.500000     1.936242     0.412684
   70.500000     3.429524     0.731234
   71.500000     4.643197     1.125013
