x	PMF_mean	std_dev	std_error
0.500000	-0.687573	0.243814	0.140766
1.500000	-1.192260	0.259072	0.149575
2.500000	-2.191745	0.234348	0.135301
3.500000	-3.925259	0.104799	0.060506
4.500000	-5.900960	0.041418	0.023913
5.500000	-7.792905	0.120007	0.069286
6.500000	-9.461264	0.181996	0.105075
7.500000	-10.847877	0.238973	0.137971
8.500000	-11.952378	0.280388	0.161882
9.500000	-12.762403	0.312875	0.180638
10.500000	-13.298938	0.333261	0.192408
11.500000	-13.540519	0.344177	0.198710
12.500000	-13.492090	0.355190	0.205069
13.500000	-13.156136	0.349852	0.201987
14.500000	-12.526855	0.329500	0.190237
15.500000	-11.606673	0.287056	0.165732
16.500000	-10.419505	0.213461	0.123242
17.500000	-8.953216	0.142384	0.082206
18.500000	-7.299187	0.059061	0.034099
19.500000	-5.550103	0.100906	0.058258
20.500000	-3.891239	0.209315	0.120848
21.500000	-2.450452	0.399760	0.230801
22.500000	-1.405043	0.502114	0.289896
23.500000	-0.879100	0.621420	0.358777
24.500000	-0.574399	0.865911	0.499934
25.500000	-0.531894	0.926359	0.534834
26.500000	-0.591532	0.813038	0.469408
27.500000	-0.495676	0.714295	0.412398
28.500000	-0.293036	0.782632	0.451853
29.500000	-0.163016	0.750843	0.433499
30.500000	0.059879	0.825057	0.476347
31.500000	0.148967	0.694270	0.400837
32.500000	0.234286	0.735436	0.424604
33.500000	0.110218	0.711685	0.410891
34.500000	0.064253	0.733505	0.423490
35.500000	0.042837	0.726416	0.419396
36.500000	0.021702	0.583300	0.336769
37.500000	0.011278	0.609934	0.352146
38.500000	-0.059683	0.537554	0.310357
39.500000	-0.107077	0.422314	0.243823
40.500000	-0.022214	0.403003	0.232674
41.500000	0.036434	0.354762	0.204822
42.500000	-0.021511	0.193654	0.111806
43.500000	-0.088426	0.129074	0.074521
44.500000	-0.083285	0.113446	0.065498
45.500000	-0.049497	0.098465	0.056849
46.500000	0.045234	0.079163	0.045705
47.500000	0.052471	0.265954	0.153548
48.500000	0.043511	0.355529	0.205265
49.500000	0.087283	0.427310	0.246708
50.500000	0.062691	0.531876	0.307079
