           z    400-600ns    600-800ns   800-1000ns
    0.500000    17.204372    14.979805    17.459056
    1.500000    11.115763    17.387751    17.459056
    2.500000     9.012621    13.831901    15.252537
    3.500000     7.179208    10.546141    11.461679
    4.500000     5.039651     7.468657     8.616135
    5.500000     3.347778     5.321916     4.278679
    6.500000     1.817830     2.845912     1.340093
    7.500000     0.111370     1.275190    -0.200993
    8.500000    -1.760246    -0.735989    -1.357872
    9.500000    -3.300278    -2.798952    -2.843390
   10.500000    -4.405846    -3.936386    -3.936831
   11.500000    -5.249279    -4.874068    -4.661617
   12.500000    -5.774056    -5.139919    -5.145557
   13.500000    -5.779693    -5.190226    -5.245169
   14.500000    -5.535098    -5.022223    -4.895557
   15.500000    -4.849081    -4.545534    -4.104103
   16.500000    -4.017660    -3.971235    -3.155351
   17.500000    -2.828799    -3.022243    -2.063213
   18.500000    -1.274916    -1.758362    -0.960804
   19.500000    -0.104071    -0.486107     0.468245
   20.500000     0.889680     0.762951     1.102974
   21.500000     1.769365     1.613609     1.582332
   22.500000     1.568985     1.698455     1.430461
   23.500000     1.576640     1.109156     1.023446
   24.500000     0.953131     0.621434     0.451335
   25.500000     0.683514     0.305668     0.109283
   26.500000     0.521368     0.170168     0.109541
   27.500000     0.420835    -0.061728    -0.096127
   28.500000     0.566152    -0.142058    -0.416565
   29.500000     0.596110    -0.046050    -0.213970
   30.500000     0.360177    -0.156913    -0.201222
   31.500000     0.626428    -0.149496    -0.380901
   32.500000     0.616281    -0.219905    -0.242646
   33.500000     0.521704    -0.138210    -0.217148
   34.500000     0.305879    -0.194144    -0.194594
   35.500000     0.296942     0.053501     0.076963
   36.500000     0.132032    -0.014650     0.052109
   37.500000     0.187382    -0.115484    -0.069335
   38.500000     0.128001    -0.201431    -0.207604
   39.500000     0.090593    -0.138210     0.013293
   40.500000    -0.018680    -0.100137     0.116780
   41.500000    -0.073450    -0.337578     0.172015
   42.500000     0.017129    -0.149496     0.209611
   43.500000     0.073925    -0.123001     0.134971
   44.500000    -0.002889    -0.111595     0.009816
   45.500000     0.049546    -0.022726     0.076963
   46.500000    -0.045946     0.119543    -0.052201
   47.500000     0.029271     0.230452    -0.264776
   48.500000    -0.042184     0.328446    -0.280306
   49.500000     0.013277     0.166091    -0.122873
   50.500000    -0.038416     0.411176    -0.011191
   51.500000     0.153154     0.319194    -0.184965
   52.500000     0.094565     0.221831    -0.106338
   53.500000     0.078153     0.178887     0.138625
   54.500000     0.270015     0.252557     0.160660
   55.500000     0.090310     0.411475     0.337449
   56.500000     0.191509     0.487442     0.228487
   57.500000     0.161595     0.472984     0.160923
   58.500000     0.178561     0.401914     0.259258
   59.500000     0.453684     0.314870     0.270792
   60.500000     0.310205     0.406690     0.091276
   61.500000     0.449105     0.369324     0.172015
   62.500000     0.601311     0.355819     0.305993
   63.500000     0.901383     0.506952     0.645815
   64.500000     0.988095     0.895783     1.086943
   65.500000     1.274958     1.481606     1.213339
   66.500000     2.022805     1.675120     2.054110
   67.500000     2.958374     2.375275     2.830141
   68.500000     3.863658     3.809157     4.537188
   69.500000     5.523523     4.984315     6.910984
   70.500000     7.395937     6.318765     8.413236
   71.500000    11.452308     7.891039    10.862205
   72.500000     8.879438     8.621934    17.459056
   73.500000    11.452308    12.412739    17.459056
   74.500000    13.710728    13.771169    17.459056
