           z    400-600ns    600-800ns   800-1000ns
    0.500000    18.969584    19.223724    19.209076
    1.500000    18.969584    19.223724    19.209076
    2.500000    18.969584    19.223724    19.209076
    3.500000    18.969584    19.223724    19.209076
    4.500000    18.969584    19.223724    19.209076
    5.500000    18.969584    19.223724    19.209076
    6.500000    18.969584    19.223724    19.209076
    7.500000    15.741649    19.223724    10.979102
    8.500000    10.898103    10.084306     6.410843
    9.500000     4.429522     6.509542     5.076691
   10.500000     1.785059     3.533520     3.400509
   11.500000    -0.246707     0.938908     1.256105
   12.500000    -1.719392    -0.912089    -0.109847
   13.500000    -2.391616    -1.813294    -1.340648
   14.500000    -2.458198    -2.305511    -1.765361
   15.500000    -2.007576    -2.253640    -1.518844
   16.500000    -1.373493    -1.685080    -0.874012
   17.500000    -0.243506    -0.315028     0.349297
   18.500000     1.196006     1.188096     1.200060
   19.500000     2.935165     2.716710     2.384771
   20.500000     4.250341     4.005028     3.427287
   21.500000     5.278507     4.450768     4.284091
   22.500000     4.137827     4.451485     4.420061
   23.500000     4.428736     4.606031     4.784462
   24.500000     4.250341     4.469480     4.902495
   25.500000     4.577799     3.958595     4.155082
   26.500000     3.960576     3.560069     4.015302
   27.500000     3.827609     2.984903     3.111431
   28.500000     2.957884     3.016769     2.666655
   29.500000     2.605038     2.138066     2.229152
   30.500000     1.880826     2.086465     1.849785
   31.500000     1.590751     1.750160     1.023061
   32.500000     1.207594     1.391604     1.222409
   33.500000     0.825061     1.425271     0.762220
   34.500000     0.672020     0.962334     0.526012
   35.500000     0.325720     0.733394     0.467254
   36.500000     0.395561     0.468878     0.165778
   37.500000     0.131394     0.344523     0.236885
   38.500000    -0.201133     0.194555     0.282851
   39.500000     0.028707     0.026971     0.064641
   40.500000    -0.010522    -0.011531     0.046978
   41.500000     0.025140    -0.037038    -0.008603
   42.500000    -0.069828     0.001197     0.093162
   43.500000    -0.066525    -0.040178     0.154863
   44.500000    -0.164909    -0.046446     0.229440
   45.500000     0.090688    -0.202259    -0.025884
   46.500000    -0.024539    -0.087052    -0.073314
   47.500000     0.161601     0.156818    -0.076549
   48.500000     0.090547     0.092648    -0.210361
   49.500000    -0.031653     0.173841    -0.129734
   50.500000    -0.191339     0.069472    -0.282317
   51.500000    -0.174932     0.198002    -0.279226
   52.500000    -0.366159     0.236500    -0.260712
   53.500000    -0.456763     0.297028    -0.197500
   54.500000    -0.432987     0.492176    -0.116454
   55.500000    -0.399852     0.488154    -0.420451
   56.500000    -0.393707     0.247164    -0.229248
   57.500000    -0.168212     0.170428    -0.254472
   58.500000    -0.378453     0.116039    -0.119751
   59.500000    -0.246707     0.184243    -0.158983
   60.500000    -0.111073     0.056396    -0.197614
   61.500000    -0.024539     0.187676    -0.005280
   62.500000    -0.148072     0.363009     0.195474
   63.500000     0.109045     0.438194     0.405628
   64.500000     0.254157     0.865584     0.608224
   65.500000     0.810231     1.112225     1.023061
   66.500000     1.441663     1.737178     1.469873
   67.500000     1.911062     2.035350     2.357896
   68.500000     2.614977     3.181569     3.041172
   69.500000     3.580470     4.068916     4.926779
   70.500000     4.758553     5.653635     7.002867
   71.500000     7.223755     6.778158     8.184675
   72.500000     9.202872     7.360501     9.020046
   73.500000    12.836584     9.200153    11.263960
   74.500000    18.969584    14.626910    14.453818
   75.500000    18.969584    19.223724    19.209076
