           z    400-600ns    600-800ns   800-1000ns
    0.500000     6.777009     9.229789     2.398302
    1.500000     6.254075     8.916299     2.298677
    2.500000     4.838504     7.064663     1.752638
    3.500000     3.498880     6.006475     1.099236
    4.500000     1.699948     4.619703     0.306389
    5.500000     0.076425     2.624704    -0.651763
    6.500000    -1.706382     0.954455    -1.702823
    7.500000    -3.214472    -0.502640    -3.299870
    8.500000    -4.505594    -2.032412    -4.646769
    9.500000    -5.534649    -3.265007    -5.771403
   10.500000    -6.467616    -4.035836    -6.682191
   11.500000    -7.088001    -4.506324    -7.202214
   12.500000    -7.307922    -4.640684    -7.382203
   13.500000    -7.202135    -4.400887    -7.179612
   14.500000    -6.700757    -3.908794    -6.640406
   15.500000    -5.776973    -3.260309    -5.778337
   16.500000    -4.593066    -2.177876    -4.520429
   17.500000    -3.164826    -1.082823    -3.217984
   18.500000    -1.815657     0.482601    -1.764378
   19.500000    -0.463940     1.509987    -0.110078
   20.500000     0.789723     2.826240     1.685264
   21.500000     1.615430     3.491514     2.397185
   22.500000     1.824309     3.513879     2.323488
   23.500000     1.639996     3.274211     2.191500
   24.500000     0.789723     2.468729     1.354505
   25.500000     0.249966     1.870956     0.819852
   26.500000    -0.003705     1.198777     0.257682
   27.500000    -0.528804     0.683216    -0.110078
   28.500000    -0.553738     0.227351    -0.255630
   29.500000    -0.557182     0.217987    -0.233324
   30.500000    -0.677463     0.153621    -0.312643
   31.500000    -0.630104     0.061700    -0.151833
   32.500000    -0.667601    -0.283593     0.198209
   33.500000    -0.674180     0.159779     0.141020
   34.500000    -0.588644    -0.115525     0.279267
   35.500000    -0.528804     0.021178     0.306876
   36.500000    -0.285660    -0.224497     0.334791
   37.500000    -0.359312    -0.115525     0.419930
   38.500000    -0.123407     0.058847     0.351590
   39.500000    -0.241974    -0.055029     0.262941
   40.500000    -0.090079     0.162520     0.322999
   41.500000    -0.152667    -0.063403     0.054511
   42.500000     0.036041    -0.068830     0.125563
   43.500000    -0.059659    -0.115729     0.074417
   44.500000    -0.185582     0.208657    -0.100567
   45.500000    -0.038610     0.041358     0.004773
   46.500000     0.211859    -0.131849    -0.014593
   47.500000     0.235785     0.029838    -0.072233
   48.500000     0.076867    -0.015723    -0.233717
   49.500000    -0.033956    -0.046838    -0.161154
   50.500000    -0.038188    -0.015936    -0.389541
   51.500000     0.027347     0.108696     0.005205
   52.500000     0.136426    -0.129203     0.064666
   53.500000    -0.094217    -0.010180    -0.100567
   54.500000     0.173861     0.058627     0.182862
   55.500000    -0.064267    -0.015723    -0.019732
   56.500000     0.009618     0.093971    -0.133497
   57.500000     0.122868     0.120583     0.130553
   58.500000    -0.055464    -0.142605     0.064666
   59.500000    -0.077206     0.067417    -0.014593
   60.500000     0.108935     0.035482     0.136009
   61.500000     0.192788     0.277571     0.246721
   62.500000     0.783858     0.649992     0.532429
   63.500000     1.022729     1.052092     0.895599
   64.500000     1.524993     1.648317     1.536579
   65.500000     2.132814     2.731997     2.750054
   66.500000     3.078369     3.858713     4.427408
   67.500000     5.030017     4.566668     6.513457
   68.500000     6.708466     6.444252     8.468870
   69.500000     6.913279     6.373405    13.125180
   70.500000     9.176414    12.280910    10.253389
   71.500000    13.298967    13.140116    16.056688
   72.500000    13.298967    14.590093    16.056688
