z	401-600ns	601-800ns	801-1000ns
    0.500000    19.206492    19.314050    19.055389
    1.500000    19.206492    19.314050    19.055389
    2.500000    19.206492    19.314050    19.055389
    3.500000    19.206492    17.327375    15.155514
    4.500000    17.219847    16.157313    13.722255
    5.500000    14.776878    11.665738    12.316186
    6.500000    11.498364     9.361209     8.597857
    7.500000     8.359613     7.488706     6.899024
    8.500000     5.656250     6.563321     5.314148
    9.500000     3.551380     5.532342     3.412128
   10.500000     2.011580     4.843676     1.576300
   11.500000     0.963535     3.479877     0.615918
   12.500000     0.259509     2.214150    -0.354345
   13.500000    -0.220762     1.640199    -0.741138
   14.500000    -0.126917     1.500504    -0.714703
   15.500000     0.539905     1.662994    -0.280913
   16.500000     1.303788     2.393949     0.396309
   17.500000     2.292574     3.213386     1.430781
   18.500000     3.217611     4.418221     2.646997
   19.500000     4.242641     5.493314     3.815592
   20.500000     4.892157     5.796592     4.739025
   21.500000     5.074111     5.518560     4.706558
   22.500000     4.546909     4.145849     4.133477
   23.500000     3.746262     3.705822     3.494738
   24.500000     2.848778     2.575368     2.610887
   25.500000     2.098682     1.895257     1.957515
   26.500000     1.637173     1.516657     1.277044
   27.500000     0.972059     0.889785     1.007231
   28.500000     0.616032     0.702174     0.731238
   29.500000     0.249669     0.497105     0.372170
   30.500000     0.139455     0.281000     0.094440
   31.500000     0.047543     0.230431     0.133002
   32.500000    -0.041136     0.095458     0.015609
   33.500000    -0.084511     0.117065    -0.021211
   34.500000    -0.036879     0.012859    -0.038581
   35.500000    -0.149369     0.120043     0.166971
   36.500000    -0.055677     0.038209    -0.134649
   37.500000    -0.044172     0.050135    -0.035479
   38.500000     0.008694    -0.009174    -0.244748
   39.500000    -0.065806     0.078671    -0.046449
   40.500000    -0.057247     0.004070     0.018911
   41.500000    -0.006013     0.121533     0.018911
   42.500000     0.013161    -0.042682     0.031896
   43.500000     0.014651     0.012859     0.010730
   44.500000    -0.026632    -0.042682     0.144784
   45.500000     0.071701    -0.082861     0.160113
   46.500000    -0.000091     0.050014    -0.008431
   47.500000    -0.042715     0.008460    -0.027577
   48.500000    -0.031028    -0.018004    -0.166407
   49.500000     0.064214    -0.010707    -0.182930
   50.500000     0.029606    -0.022349    -0.208057
   51.500000     0.079338    -0.067120    -0.142223
   52.500000    -0.049992    -0.088581    -0.059038
   53.500000    -0.160521    -0.130852    -0.143834
   54.500000    -0.078770    -0.087210    -0.160382
   55.500000    -0.031028    -0.233474    -0.114799
   56.500000    -0.046962    -0.129391    -0.202131
   57.500000    -0.108644    -0.252072    -0.247722
   58.500000     0.033984    -0.190161    -0.355826
   59.500000    -0.023697    -0.320433    -0.329145
   60.500000    -0.061470    -0.339747    -0.125555
   61.500000     0.100846    -0.285163    -0.234610
   62.500000     0.134890    -0.320329    -0.146806
   63.500000     0.191693    -0.085723    -0.076278
   64.500000     0.425468     0.041095     0.336989
   65.500000     0.635031     0.274261     0.567316
   66.500000     1.067396     0.605068     1.089952
   67.500000     1.680111     1.213300     1.627819
   68.500000     2.463265     2.089891     2.561477
   69.500000     3.244320     2.944070     3.164164
   70.500000     4.528965     4.063206     4.791154
   71.500000     6.063873     5.697060     6.027362
   72.500000     8.400819     7.959803     9.395516
   73.500000     8.854804     8.864732     9.330887
   74.500000    11.950786    11.974737    12.552926
   75.500000    13.904180    19.314050    19.055389
   76.500000    19.206492    19.314050    19.055389
